kdrama_name,episodes,start_airing,end_airing,duration,score,scored_by,ranked,popularity,content_rating,watchers
Dating Agency: Cyrano,16,2013-05-27,2013-07-16,47.0,7.3,5540.0,6939,1154,15+ - Teens 15 or older,12150
Dear Archimedes,16,2016-05-13,2016-07-02,70.0,8.7,3762.0,197,1114,15+ - Teens 15 or older,12693
Dear Heaven,85,2005-09-10,2006-07-02,60.0,7.5,113.0,76203,12512,Not Yet Rated,383
Dear My Friends,16,2016-05-13,2016-07-02,70.0,8.7,3762.0,197,1114,15+ - Teens 15 or older,12693
Dear X Who Doesn't Love Me,10,2022-07-14,2022-07-28,30.0,7.0,1374.0,8445,2688,15+ - Teens 15 or older,4642
Dear. M,10,2022-07-14,2022-07-28,30.0,7.0,1374.0,8445,2688,15+ - Teens 15 or older,4642
Deep Rooted Tree,24,2011-10-05,2011-12-22,69.0,8.3,3222.0,1022,1377,15+ - Teens 15 or older,10043
Definitely Neighbors,65,2010-03-13,2010-10-31,70.0,6.8,45.0,86512,15910,Not Yet Rated,233
Delayed Justice,20,2020-10-30,2021-01-23,65.0,7.7,540.0,3750,4832,15+ - Teens 15 or older,2024
Delicious Proposal,16,2001-02-07,2001-03-29,60.0,7.3,182.0,79639,8150,13+ - Teens 13 or older,866
Delightfully Deceitful,16,2023-05-29,2023-07-18,70.0,7.9,2524.0,2914,1237,15+ - Teens 15 or older,11283
Delivery,8,,,9.0,6.7,255.0,8949,7037,Not Yet Rated,1118
Delivery Man,12,2023-03-01,2023-04-06,70.0,7.8,3071.0,3124,1472,Not Yet Rated,9419
Descendants of the Sun,16,2016-02-24,2016-04-14,60.0,8.6,92795.0,304,4,15+ - Teens 15 or older,177411
Designated Survivor: 60 Days,16,2019-07-01,2019-08-20,74.0,8.5,6087.0,428,946,15+ - Teens 15 or older,14855
Destined With You,16,2023-08-23,2023-10-12,70.0,8.3,3335.0,1057,559,15+ - Teens 15 or older,23109
Detectives in Trouble,16,2022-07-30,2022-09-18,70.0,8.1,1978.0,1666,2270,15+ - Teens 15 or older,5625
Devilish Charm,16,2018-09-05,2018-10-25,65.0,7.9,10330.0,2814,460,15+ - Teens 15 or older,26002
Diary of a Night Watchman,24,2014-08-04,2014-10-21,59.0,7.2,3090.0,7581,1557,15+ - Teens 15 or older,8827
Diary of a Prosecutor,16,2019-12-16,2020-02-11,65.0,8.2,2233.0,1385,1870,15+ - Teens 15 or older,7107
Did We Really Love?,44,1999-01-27,1999-06-24,55.0,7.1,33.0,82316,99999,15+ - Teens 15 or older,168
Different Dreams,40,2019-05-04,2019-07-13,27.0,7.9,665.0,2769,3288,15+ - Teens 15 or older,3564
Dinner Mate,32,2020-05-25,2020-07-14,35.0,8.0,7624.0,2349,649,15+ - Teens 15 or older,20414
Discovery of Love,16,2014-08-18,2014-10-07,62.0,7.6,5908.0,5085,999,15+ - Teens 15 or older,14174
Distorted,32,2017-07-24,2017-09-12,35.0,7.9,1734.0,2452,2058,15+ - Teens 15 or older,6369
Diva of the Deserted Island,12,,,,,,37480,2893,15+ - Teens 15 or older,4210
Divorce Attorney Shin,12,2023-03-04,2023-04-09,60.0,8.3,3909.0,870,1545,15+ - Teens 15 or older,8930
Divorce Lawyer in Love,18,2015-04-18,2015-06-14,64.0,7.3,2734.0,6831,1821,Not Yet Rated,7321
Do Do Sol Sol La La Sol,16,2020-10-07,2020-11-26,63.0,7.7,18930.0,4298,262,15+ - Teens 15 or older,39296
Do You Like Brahms?,16,2020-08-31,2020-10-20,65.0,8.1,12467.0,1902,418,15+ - Teens 15 or older,28033
Doctor Detective,32,2019-07-17,2019-09-05,35.0,7.7,603.0,3837,3673,15+ - Teens 15 or older,3059
Doctor Doctor,32,2019-07-19,2019-09-07,35.0,8.5,16659.0,525,286,15+ - Teens 15 or older,36843
Doctor John,32,2019-07-19,2019-09-07,35.0,8.5,16659.0,525,286,15+ - Teens 15 or older,36843
Doctor Lawyer,16,2022-06-03,2022-07-23,63.0,7.9,2819.0,2505,1367,15+ - Teens 15 or older,10077
Doctor Prisoner,32,2019-03-20,2019-05-15,35.0,8.3,7831.0,840,594,15+ - Teens 15 or older,21684
Doctor Slump,16,,,45.0,,,37460,2584,Not Yet Rated,4892
Doctor Stranger,20,2014-05-05,2014-07-08,60.0,7.9,33225.0,2844,91,15+ - Teens 15 or older,72631
Dokgo Rewind,20,,,10.0,8.0,3523.0,2190,1269,15+ - Teens 15 or older,10925
Don't Cry My Love,132,2008-11-17,2009-05-22,35.0,6.8,203.0,85838,9617,15+ - Teens 15 or older,636
Don't Dare to Dream,24,2016-08-24,2016-11-10,60.0,8.1,17101.0,1809,239,15+ - Teens 15 or older,41033
Don't Hesitate,98,2009-10-05,2010-02-26,40.0,7.1,650.0,8141,5983,15+ - Teens 15 or older,1443
Don't Look Back: The Legend of Orpheus,20,2013-05-27,2013-07-30,65.0,7.7,3181.0,3972,1655,Not Yet Rated,8228
Doom at Your Service,16,2021-05-10,2021-06-29,65.0,8.4,43189.0,621,58,15+ - Teens 15 or older,85505
Doona!,9,,,,,,37294,1520,15+ - Teens 15 or older,9096
Drama City: What Should I Do?,156,2008-10-20,2009-04-18,,6.5,8.0,88779,99999,Not Yet Rated,107
Puberty Medley,0,1993-04-15,1996-08-14,45.0,,,99999,99999,Not Yet Rated,11
"Rock, Rock, Rock",0,,,,,,99999,99999,Not Yet Rated,83
White Christmas,8,1997-12-17,1998-01-08,,7.9,21.0,70033,14608,Not Yet Rated,280
The Apartment Is Beautiful,50,2022-04-02,2022-09-18,70.0,7.9,1984.0,2664,1792,15+ - Teens 15 or older,7474
Dream,20,2009-07-27,2009-09-29,70.0,6.8,793.0,8877,4183,15+ - Teens 15 or older,2529
Dream High,16,2012-01-30,2012-03-20,65.0,6.9,19158.0,8739,285,15+ - Teens 15 or older,36927
Dream High 2,16,2012-01-30,2012-03-20,65.0,6.9,19158.0,8739,285,15+ - Teens 15 or older,36927
Dream of the Emperor,70,2012-09-08,2013-06-09,57.0,7.5,157.0,76084,8193,Not Yet Rated,858
Drinking Solo,16,2016-09-05,2016-10-25,64.0,7.6,6228.0,4589,945,15+ - Teens 15 or older,14865
Dr. Brain,6,2021-11-04,2021-12-10,60.0,7.9,1969.0,2504,2108,15+ - Teens 15 or older,6164
Dr. Frost,10,2014-11-23,2015-02-01,64.0,7.6,2884.0,4444,1720,Not Yet Rated,7872
Dr. Ian,9,2015-03-29,2015-04-08,10.0,7.1,1655.0,8117,2813,Not Yet Rated,4378
Dr. Jin,22,2012-05-26,2012-08-12,65.0,6.8,4086.0,8793,1396,13+ - Teens 13 or older,9913
Dr. Kkang,16,2006-04-05,2006-05-25,60.0,7.4,207.0,6537,8977,Not Yet Rated,724
Dr. Park's Clinic,12,2022-01-14,2022-02-18,32.0,7.8,406.0,3672,5844,15+ - Teens 15 or older,1504
Dr. Romantic,20,2016-11-07,2017-01-16,60.0,8.7,29764.0,272,116,15+ - Teens 15 or older,62958
Duel,16,2017-06-03,2017-07-23,63.0,8.4,4652.0,741,879,Not Yet Rated,15833
Dummy Mommy,20,2012-03-17,2012-05-20,65.0,7.4,249.0,6416,7568,Not Yet Rated,984
Duty After School,4,,,70.0,7.1,6525.0,7954,1225,18+ Restricted (violence & profanity),11352
Eccentric! Chef Moon,16,2020-03-27,2020-05-16,65.0,7.6,1506.0,4848,2971,15+ - Teens 15 or older,4080
"Eight Days, Assassination Attempts against King Jeongjo",10,2007-11-17,2007-12-16,60.0,7.0,63.0,84034,14352,18+ Restricted (violence & profanity),291
"Eighteen, Twenty-Nine",16,2019-07-22,2019-09-10,70.0,8.0,13104.0,2084,304,15+ - Teens 15 or older,35205
Emergency Couple,21,2014-01-24,2014-04-05,60.0,7.9,24518.0,2742,173,Not Yet Rated,49685
Emperor of the Sea,51,2004-11-24,2005-05-25,65.0,7.7,902.0,3705,4972,15+ - Teens 15 or older,1920
Empire of Gold,24,2013-07-01,2013-09-17,63.0,7.4,632.0,6194,4175,13+ - Teens 13 or older,2534
Empress Cheonchu,51,2013-10-28,2014-04-29,65.0,8.6,16162.0,386,248,15+ - Teens 15 or older,40366
Empress Ki,51,2013-10-28,2014-04-29,65.0,8.6,16162.0,386,248,15+ - Teens 15 or older,40366
Empress Myeongseong,124,2001-05-09,2002-07-18,70.0,7.2,27.0,82020,13667,15+ - Teens 15 or older,321
Enchanting Neighbor,120,2015-01-05,2015-06-22,35.0,7.5,28.0,76264,11127,15+ - Teens 15 or older,485
Encounter,2,,,,7.7,26.0,72298,13721,Not Yet Rated,318
Endless Love,37,2014-06-21,2014-10-26,65.0,7.2,707.0,7755,3604,Not Yet Rated,3141
Endless Love Series,37,2014-06-21,2014-10-26,65.0,7.2,707.0,7755,3604,Not Yet Rated,3141
Spring Waltz,16,2014-09-10,2014-10-30,60.0,7.6,1377.0,4603,2891,15+ - Teens 15 or older,4211
Summer Scent,20,2003-07-07,2003-09-09,64.0,7.3,1643.0,7237,2976,Not Yet Rated,4071
Enemies from the Past,123,2017-11-27,2018-06-01,35.0,7.6,217.0,4785,7848,15+ - Teens 15 or older,927
Entertainer,18,2016-04-20,2016-06-16,60.0,7.7,7890.0,4312,699,15+ - Teens 15 or older,19238
Entourage,16,2016-11-04,2016-12-24,70.0,6.5,2153.0,9190,1379,15+ - Teens 15 or older,10007
Erexion,26,2006-11-24,2007-04-27,,6.5,2.0,99999,99999,G - All Ages,29
Eve,16,2022-06-01,2022-07-21,67.0,7.9,7809.0,2943,553,18+ Restricted (violence & profanity),23237
Evergreen,16,2018-03-05,2018-04-24,50.0,7.0,4717.0,8450,1201,15+ - Teens 15 or older,11570
Everybody Say Kimchi,132,2014-04-07,2014-10-31,40.0,6.7,47.0,87748,15075,15+ - Teens 15 or older,262
Exo Next Door,16,2015-04-09,2015-05-28,15.0,7.7,26323.0,4217,191,13+ - Teens 13 or older,46985
Extracurricular,10,,,55.0,8.4,34981.0,701,98,18+ Restricted (violence & profanity),69734
Extraordinary Attorney Woo,16,2022-06-29,2022-08-18,77.0,8.9,55025.0,65,49,15+ - Teens 15 or older,91499
Extraordinary You,32,2019-10-02,2019-11-21,35.0,8.4,52117.0,767,29,13+ - Teens 13 or older,107093
Ex-Girlfriends' Club,12,2015-05-08,2015-06-13,60.0,7.6,6112.0,5088,955,Not Yet Rated,14755
Eyes of Dawn,36,1991-10-07,1992-02-06,48.0,8.5,62.0,66153,12310,Not Yet Rated,396
Faith,24,2012-08-13,2012-10-30,63.0,8.1,21758.0,1942,197,15+ - Teens 15 or older,45692
Falling for Challenge,6,2015-10-26,2015-10-30,13.0,7.1,3967.0,8045,1615,Not Yet Rated,8502
Familiar Wife,16,2018-08-01,2018-09-20,75.0,8.1,11246.0,1796,464,15+ - Teens 15 or older,25859
Family,265,1984-09-10,1985-09-13,30.0,8.0,1.0,99999,99999,Not Yet Rated,7
Family Secret,103,2014-10-27,2015-04-30,40.0,7.8,17.0,71428,12618,Not Yet Rated,377
Family's Honor,54,2008-10-11,2009-04-19,70.0,8.0,834.0,2384,4969,15+ - Teens 15 or older,1922
Family: The Unbreakable Bond,12,2023-04-17,2023-05-23,80.0,7.5,2141.0,5475,1346,15+ - Teens 15 or older,10284
Fanletter Please,4,2022-11-18,2022-11-26,62.0,8.2,4828.0,1308,1415,15+ - Teens 15 or older,9817
Fantastic,16,2016-09-02,2016-10-22,60.0,7.6,2451.0,4857,1865,15+ - Teens 15 or older,7143
Fashion 70s,28,2005-05-23,2005-08-29,60.0,7.2,288.0,7582,8340,15+ - Teens 15 or older,832
Fashion King,20,2012-03-19,2012-05-22,75.0,5.8,4734.0,9430,1349,Not Yet Rated,10263
Fatal Promise,104,2020-03-30,2020-08-28,36.0,7.2,202.0,7642,7426,15+ - Teens 15 or older,1015
Fates & Furies,40,2018-12-01,2019-02-09,30.0,7.4,1523.0,6421,2705,15+ - Teens 15 or older,4609
"Father, I'll Take Care of You",50,2016-11-12,2017-05-07,67.0,7.6,1455.0,4874,2388,15+ - Teens 15 or older,5295
Father's House,2,2009-12-28,2009-12-29,67.0,7.5,211.0,5536,8268,15+ - Teens 15 or older,845
Feast of the Gods,32,2012-02-04,2012-05-20,65.0,7.4,1193.0,6348,3647,Not Yet Rated,3084
Feel Good to Die,32,2018-11-07,2018-12-27,35.0,7.7,2681.0,4316,1656,15+ - Teens 15 or older,8227
Fight for My Way,16,2017-05-22,2017-07-11,60.0,8.5,62216.0,520,22,15+ - Teens 15 or older,121453
Find Me in Your Memory,32,2020-03-18,2020-05-13,35.0,8.2,13449.0,1350,328,15+ - Teens 15 or older,33861
Fireworks,6,1997-07-21,1997-08-12,60.0,6.0,1.0,99999,99999,Not Yet Rated,24
First Love Again,6,2022-02-10,2022-03-18,25.0,7.2,8876.0,7626,742,13+ - Teens 13 or older,18361
First Love of a Royal Prince,0,,,,,,37580,10866,Not Yet Rated,509
First Wives' Club,104,2007-09-29,2008-10-05,70.0,7.4,104.0,78047,13560,15+ - Teens 15 or older,327
Five Enough,54,2016-02-20,2016-08-21,70.0,8.3,3769.0,978,1413,15+ - Teens 15 or older,9831
Five Fingers,30,2012-08-18,2012-11-25,66.0,7.4,1768.0,6151,2080,15+ - Teens 15 or older,6298
Flames of Desire,50,1995-10-02,1996-03-26,,2.0,1.0,99999,99999,Not Yet Rated,10
Flower Band,16,2012-01-30,2012-03-20,45.0,8.0,18347.0,2215,241,15+ - Teens 15 or older,40869
Flower Crew: Joseon Marriage Agency,16,2019-09-16,2019-11-05,70.0,7.8,6063.0,3584,785,15+ - Teens 15 or older,17472
Flower Grandpa Investigation Unit,12,2014-05-09,2014-07-25,60.0,7.8,1589.0,3159,2828,15+ - Teens 15 or older,4351
Flower of Evil,16,2020-07-29,2020-09-23,70.0,9.1,52043.0,23,28,15+ - Teens 15 or older,109461
Flower of Queen,50,2015-03-14,2015-08-30,65.0,7.3,303.0,7086,4618,15+ - Teens 15 or older,2160
Flower of Revenge,120,2013-02-04,2013-08-01,33.0,7.5,62.0,76524,9538,15+ - Teens 15 or older,646
Flower That Blooms at Night,12,,,,,,37446,10809,Not Yet Rated,513
Flowers of the Prison,51,2016-04-30,2016-11-06,65.0,7.8,1565.0,3202,2407,15+ - Teens 15 or older,5248
Fly High Butterfly,16,,,70.0,8.3,1106.0,1124,2380,15+ - Teens 15 or older,5308
Forecasting Love and Weather,16,2022-02-12,2022-04-03,70.0,7.6,20045.0,5091,228,15+ - Teens 15 or older,42093
Forest,32,2020-01-29,2020-03-19,31.0,7.8,6589.0,3350,701,15+ - Teens 15 or older,19183
Forever Young,36,2014-12-17,2015-04-23,45.0,7.7,64.0,73439,9422,Not Yet Rated,660
Foundation of the Kingdom,49,1983-01-02,1983-12-18,60.0,,,99999,99999,Not Yet Rated,24
Four Sisters,20,2001-06-13,2001-08-16,60.0,7.0,94.0,83420,13665,Not Yet Rated,321
"Freedom Fighter, Lee Hoe-young",5,2010-08-29,2010-09-12,50.0,7.5,34.0,75543,17122,15+ - Teens 15 or older,200
Freeze,16,2022-10-05,2022-12-01,60.0,7.5,4611.0,5801,1079,15+ - Teens 15 or older,12991
"From Now On, Showtime!",16,2022-04-23,2022-06-12,73.0,8.4,8494.0,746,596,15+ - Teens 15 or older,21631
Full House,32,2012-10-22,2012-12-13,30.0,7.1,7735.0,7969,903,15+ - Teens 15 or older,15502
Full House Take 2,32,2012-10-22,2012-12-13,30.0,7.1,7735.0,7969,903,15+ - Teens 15 or older,15502
Gangnam Beauty,16,2018-07-27,2018-09-15,60.0,7.9,62311.0,2768,25,15+ - Teens 15 or older,117294
Gangnam Scandal,123,2018-11-26,2019-05-17,35.0,7.3,410.0,6919,4056,15+ - Teens 15 or older,2646
Gap-dong,20,2014-04-11,2014-06-21,60.0,7.9,4874.0,2671,980,15+ - Teens 15 or older,14420
Gaus Electronics,12,2022-09-30,2022-11-05,50.0,8.4,8114.0,810,613,15+ - Teens 15 or older,21352
Get Revenge,16,2020-11-21,2021-01-17,62.0,7.7,1163.0,4239,2977,15+ - Teens 15 or older,4069
Get Up,1,,,78.0,7.5,85.0,76407,7858,Not Yet Rated,925
Ghost Doctor,16,2022-01-03,2022-02-22,70.0,8.6,14171.0,367,344,15+ - Teens 15 or older,32489
Girls' Generation 1979,8,2017-09-11,2017-10-03,60.0,8.1,3321.0,1626,1560,15+ - Teens 15 or older,8809
Glamorous Temptation,50,2015-10-05,2016-03-22,63.0,7.2,779.0,7748,3348,15+ - Teens 15 or older,3482
Glass Castle,51,2008-09-06,2009-03-01,70.0,6.4,77.0,89406,12633,15+ - Teens 15 or older,377
Glass Mask,122,2012-09-03,2013-04-04,45.0,7.1,467.0,8183,5211,15+ - Teens 15 or older,1782
Glass Slippers,40,2002-03-02,2002-07-28,60.0,7.5,527.0,5352,6271,15+ - Teens 15 or older,1341
Glitch,10,,,53.0,7.4,3224.0,6163,1297,15+ - Teens 15 or older,10714
Gloria,8,,,55.0,9.0,34889.0,48,169,18+ Restricted (violence & profanity),50411
Glorious Day,44,2014-04-26,2014-10-05,70.0,7.8,1466.0,3065,2747,15+ - Teens 15 or older,4503
Glory Jane,24,2011-10-12,2011-12-28,66.0,6.9,2021.0,8531,2725,Not Yet Rated,4553
Go Back,12,2017-10-13,2017-11-18,70.0,8.6,19715.0,383,238,15+ - Teens 15 or older,41400
God of War,56,2012-02-11,2012-09-15,65.0,7.6,312.0,4485,6404,Not Yet Rated,1296
Goddess of Fire,32,2013-07-01,2013-10-22,64.0,7.3,1879.0,7170,2320,15+ - Teens 15 or older,5509
Goddess of Marriage,36,2013-06-29,2013-10-27,65.0,6.7,626.0,9053,5037,13+ - Teens 13 or older,1882
God's Gift: 14 Days,16,2014-03-03,2014-04-22,65.0,8.3,6475.0,917,895,15+ - Teens 15 or older,15641
"Gogh, The Starry Night",20,2016-07-02,2016-07-31,20.0,8.2,10687.0,1516,520,13+ - Teens 13 or older,23895
Gold Mask,100,2022-05-23,2022-10-07,35.0,7.3,339.0,7221,6421,15+ - Teens 15 or older,1290
Golden Apple,30,2005-11-16,2006-02-23,70.0,6.9,42.0,84920,15962,15+ - Teens 15 or older,232
Golden Bride,64,2007-06-23,2008-02-03,70.0,7.4,585.0,6059,5531,13+ - Teens 13 or older,1637
Golden Cross,20,2014-04-09,2014-06-19,60.0,7.3,693.0,7213,4250,Not Yet Rated,2485
Golden Fish,133,2010-05-03,2010-11-11,30.0,7.3,58.0,79767,10853,Not Yet Rated,510
Golden Pouch,122,2016-11-14,2017-05-30,35.0,7.6,408.0,4747,5377,15+ - Teens 15 or older,1707
Golden Rainbow,41,2013-11-02,2014-03-30,66.0,7.4,1976.0,6019,2165,15+ - Teens 15 or older,5985
Golden Time,23,2012-07-09,2012-09-25,65.0,7.4,750.0,6166,4363,Not Yet Rated,2387
Good Casting,16,2020-04-27,2020-06-16,65.0,7.9,3270.0,2998,1529,15+ - Teens 15 or older,9058
Good Doctor,20,2013-08-05,2013-10-08,65.0,8.3,19483.0,889,234,15+ - Teens 15 or older,41527
Good Job,12,2022-08-24,2022-09-29,60.0,7.9,5112.0,2760,1085,15+ - Teens 15 or older,12927
"Good Job, Good Job",40,2009-03-14,2009-08-02,70.0,6.8,159.0,86580,10540,15+ - Teens 15 or older,537
Good Manager,20,2017-01-25,2017-03-30,60.0,8.6,15302.0,393,288,15+ - Teens 15 or older,36742
Goodbye Dear Wife,20,2012-05-07,2012-07-10,65.0,7.1,452.0,7976,6236,Not Yet Rated,1351
Goodbye Earth,12,,,,,,37202,3763,Not Yet Rated,2950
Goodbye Mr. Black,20,2016-03-16,2016-05-19,65.0,7.4,3424.0,6197,1360,15+ - Teens 15 or older,10144
Goodbye My Love,16,1999-09-01,1999-10-21,65.0,7.1,43.0,82373,15586,Not Yet Rated,243
Goodbye Solo,16,2006-03-01,2006-04-20,70.0,7.2,146.0,80649,9577,15+ - Teens 15 or older,640
Goodbye to Goodbye,40,2018-05-26,2018-08-04,30.0,7.9,1456.0,2419,2349,15+ - Teens 15 or older,5398
Graceful Family,16,2019-08-21,2019-10-17,80.0,8.3,9341.0,1025,560,15+ - Teens 15 or older,23046
Graceful Friends,17,2020-07-10,2020-09-05,70.0,7.5,1286.0,5742,2789,18+ Restricted (violence & profanity),4420
Gracious Revenge,103,2019-11-04,2020-03-27,33.0,7.4,282.0,6437,7237,15+ - Teens 15 or older,1063
Grand Prince,20,2018-03-03,2018-05-06,70.0,7.8,2719.0,3347,1700,15+ - Teens 15 or older,7991
Green Mothers' Club,16,2022-04-06,2022-05-26,70.0,7.7,1679.0,4290,2844,15+ - Teens 15 or older,4316
Green Rose,12,2022-05-13,2022-05-27,45.0,7.7,735.0,4193,3272,18+ Restricted (violence & profanity),3590
Grid,10,2022-02-16,2022-04-20,60.0,7.5,3331.0,5747,1208,15+ - Teens 15 or older,11494
Gu Family Book,24,2013-04-08,2013-06-25,65.0,8.3,20119.0,985,218,15+ - Teens 15 or older,43237
Guardian Angel,16,2001-08-01,2001-09-20,65.0,7.2,113.0,81052,11691,Not Yet Rated,441
Guardian: The Lonely and Great God,16,2016-12-02,2017-01-21,82.0,8.8,111717.0,126,1,15+ - Teens 15 or older,211199
Gunman in Joseon,22,2014-06-25,2014-09-04,70.0,7.7,3606.0,4229,1333,15+ - Teens 15 or older,10341
"Gwanggaeto, The Great Conqueror",92,2011-06-04,2012-04-29,55.0,7.8,254.0,3499,8001,15+ - Teens 15 or older,894
Gyebaek,36,2011-07-25,2011-11-22,65.0,7.6,481.0,4616,5721,15+ - Teens 15 or older,1556
Gyeongseong Creature,10,,,60.0,,,37110,1185,18+ Restricted (violence & profanity),11749
Haechi,48,2019-02-11,2019-04-30,30.0,8.1,2414.0,1783,1592,15+ - Teens 15 or older,8613
Happiness,58,2008-02-09,2008-08-31,70.0,7.1,90.0,82725,11408,15+ - Teens 15 or older,462
Happiness in the Wind,179,2005-01-31,2005-08-27,25.0,8.0,2.0,99999,99999,Not Yet Rated,29
Happy Ending,24,2012-04-23,2012-07-16,65.0,7.3,133.0,78754,11637,15+ - Teens 15 or older,444
Happy Home,51,2016-02-27,2016-08-21,70.0,7.3,388.0,6895,5003,15+ - Teens 15 or older,1901
Happy Sisters,120,2017-12-04,2018-05-25,35.0,7.5,163.0,75589,10688,15+ - Teens 15 or older,524
Happy Together,16,1999-06-16,1999-08-05,65.0,7.3,159.0,79330,9661,Not Yet Rated,631
He Is Psychometric,16,2019-03-11,2019-04-30,64.0,8.3,34020.0,903,69,15+ - Teens 15 or older,81255
Healer,20,2014-12-08,2015-02-10,60.0,8.8,67209.0,116,14,15+ - Teens 15 or older,134802
Heard It Through the Grapevine,30,2015-02-23,2015-06-02,60.0,7.6,1994.0,4828,1803,15+ - Teens 15 or older,7439
Heart Surgeons,32,2018-09-27,2018-11-15,35.0,8.0,1166.0,2232,2906,15+ - Teens 15 or older,4185
Heart to Heart,16,2015-01-09,2015-03-07,60.0,7.9,5926.0,2879,973,15+ - Teens 15 or older,14500
Heartbeat,16,2023-06-26,2023-08-15,60.0,7.4,6008.0,6282,567,15+ - Teens 15 or older,22680
Heartless City,20,2013-05-27,2013-07-30,60.0,8.5,9619.0,412,506,15+ - Teens 15 or older,24481
Hearts and Hari,12,2020-01-17,2020-03-21,10.0,6.9,44.0,85492,17111,13+ - Teens 13 or older,200
Heartstrings,15,2011-06-29,2011-08-18,65.0,7.6,34646.0,5096,123,15+ - Teens 15 or older,60427
Hell Is Other People,10,2019-08-31,2019-10-06,60.0,8.7,26931.0,275,118,15+ - Teens 15 or older,61924
Hellbound,6,,,50.0,7.5,16771.0,5400,360,18+ Restricted (violence & profanity),31481
Hello Franceska,14,2005-05-02,2005-08-01,50.0,7.3,35.0,80221,99999,15+ - Teens 15 or older,157
Hello Monster,16,2015-06-22,2015-08-11,70.0,8.4,25042.0,732,132,15+ - Teens 15 or older,58082
"Hello, Me!",16,2021-02-17,2021-04-08,70.0,8.0,7680.0,2368,788,15+ - Teens 15 or older,17441
"Hello, My Twenties!",14,2017-08-25,2017-10-07,60.0,8.4,19119.0,807,310,15+ - Teens 15 or older,34633
Her Private Life,16,2019-04-10,2019-05-30,75.0,8.4,57303.0,811,27,15+ - Teens 15 or older,112487
Here Comes Mr. Oh,129,2012-11-19,2013-05-17,40.0,7.4,100.0,78031,9150,15+ - Teens 15 or older,698
Here's My Plan,4,2021-05-19,2021-05-27,58.0,8.0,1903.0,2182,2383,15+ - Teens 15 or older,5302
Hero,9,2012-03-18,2012-05-13,54.0,7.3,356.0,6987,6058,Not Yet Rated,1415
"Hi Bye, Mama!",16,2020-02-22,2020-04-19,70.0,8.5,18141.0,516,259,15+ - Teens 15 or older,39445
Hi! School: Love On,20,2014-07-11,2014-12-19,55.0,7.6,19473.0,4937,245,15+ - Teens 15 or older,40587
Hidden Identity,16,2015-06-16,2015-08-04,60.0,7.7,1947.0,4313,2054,Not Yet Rated,6384
Hide and Seek,48,2018-08-25,2018-11-17,30.0,7.5,654.0,5741,4063,15+ - Teens 15 or older,2638
High Class,16,2021-09-06,2021-11-01,70.0,7.6,1455.0,4549,2532,15+ - Teens 15 or older,4995
High End Crush,20,2015-11-14,2016-01-17,15.0,7.7,10499.0,4028,561,15+ - Teens 15 or older,23027
High Kick Through the Roof,167,2006-11-06,2007-07-13,30.0,8.2,1300.0,1464,2904,13+ - Teens 13 or older,4191
High Kick!,123,2011-09-19,2012-03-29,23.0,8.1,2005.0,1845,2069,Not Yet Rated,6328
High Kick: Revenge of the Short Legged,123,2011-09-19,2012-03-29,23.0,8.1,2005.0,1845,2069,Not Yet Rated,6328
High School King of Savvy,17,2014-06-16,2014-08-11,65.0,7.7,10515.0,4145,475,13+ - Teens 13 or older,25474
High Society,16,2015-06-08,2015-07-28,60.0,7.3,12961.0,7253,364,Not Yet Rated,31382
History of a Salaryman,22,2012-01-02,2012-03-13,65.0,8.2,2228.0,1337,1914,Not Yet Rated,6917
Hit the Top,32,2017-06-02,2017-07-22,30.0,8.0,16416.0,1985,225,15+ - Teens 15 or older,42613
Hogu's Love,16,2015-02-09,2015-03-31,60.0,8.0,8022.0,2179,601,15+ - Teens 15 or older,21592
Hold Me Tight,32,2018-03-21,2018-05-10,35.0,6.8,196.0,8900,6995,15+ - Teens 15 or older,1128
Hold My Hand,130,2013-10-07,2014-04-04,40.0,7.6,20.0,74152,12013,15+ - Teens 15 or older,415
Home for Summer,128,2019-04-29,2019-10-25,30.0,7.3,381.0,6738,6052,15+ - Teens 15 or older,1418
Homemade Love Story,100,2020-09-19,2021-03-07,35.0,7.8,1200.0,3661,3177,15+ - Teens 15 or older,3725
Hometown,12,2021-09-22,2021-10-28,70.0,7.5,1579.0,5866,2158,15+ - Teens 15 or older,5998
Hometown Cha-Cha-Cha,16,2021-08-28,2021-10-17,80.0,8.7,56922.0,201,41,15+ - Teens 15 or older,96702
Hong Gil-dong,16,1998-07-22,1998-09-10,,7.0,6.0,83712,99999,Not Yet Rated,69
Hong Kong Express,16,2005-02-16,2005-04-07,,6.6,4.0,88342,99999,Not Yet Rated,71
Hospital Playlist,12,2020-03-12,2020-05-28,90.0,9.1,41523.0,25,48,15+ - Teens 15 or older,91557
Hospital Ship,40,2017-08-30,2017-11-02,35.0,7.8,6506.0,3142,918,15+ - Teens 15 or older,15291
Hot Stove League,16,2019-12-13,2020-02-14,62.0,8.7,10207.0,271,542,15+ - Teens 15 or older,23410
Hotel del Luna,16,2019-07-13,2019-09-01,80.0,8.6,71953.0,306,9,15+ - Teens 15 or older,149664
Hotel King,32,2014-04-05,2014-07-27,65.0,7.7,7096.0,4088,678,15+ - Teens 15 or older,19637
Hotelier,20,2001-04-04,2001-06-07,65.0,7.5,772.0,5500,5360,Not Yet Rated,1718
House of Bluebird,50,2015-02-21,2015-08-09,60.0,7.4,842.0,6126,4046,Not Yet Rated,2655
