kdrama_name,episodes,start_airing,end_airing,duration,score,scored_by,ranked,popularity,content_rating,watchers
Alone in Love,16,2006-04-03,2006-05-23,63.0,7.6,514.0,5216,4568,15+ - Teens 15 or older,2195
Amanza,10,2020-09-01,2020-11-03,15.0,8.4,972.0,779,2866,15+ - Teens 15 or older,4263
Amor Fati,120,2021-04-12,2021-10-01,35.0,7.2,100.0,81868,10939,15+ - Teens 15 or older,502
Andante,16,2017-09-24,2018-01-07,60.0,7.4,3335.0,6373,1324,15+ - Teens 15 or older,10409
Ang Shim Jung,13,2010-10-28,2011-01-20,60.0,7.2,9.0,81071,99999,Not Yet Rated,163
Angel Eyes,20,2014-04-05,2014-06-15,65.0,7.5,9200.0,5439,610,15+ - Teens 15 or older,21374
Angel's Choice,140,2012-04-02,2012-10-12,,7.4,23.0,78401,16125,Not Yet Rated,228
Angel's Last Mission: Love,32,2019-05-22,2019-07-11,35.0,8.4,36109.0,662,72,15+ - Teens 15 or older,79428
Angel's Revenge,103,2014-01-06,2014-06-02,40.0,7.3,447.0,7240,5918,Not Yet Rated,1470
Angry Mom,16,2015-03-18,2015-05-07,70.0,8.3,13743.0,1146,393,15+ - Teens 15 or older,29336
Anna,6,2022-06-24,2022-07-08,50.0,7.9,4788.0,2994,1033,15+ - Teens 15 or older,13588
Another Miss Oh,18,2016-05-02,2016-06-28,70.0,8.2,26552.0,1418,149,15+ - Teens 15 or older,54086
Another Peaceful Day of Second-Hand Items,6,2021-01-21,2021-02-25,15.0,7.4,127.0,77593,10156,13+ - Teens 13 or older,578
Apgujeong Midnight Sun,149,2014-10-06,2015-05-15,35.0,7.4,185.0,6407,9563,15+ - Teens 15 or older,642
April Kiss,24,2004-04-21,2004-07-08,65.0,6.9,33.0,85659,14315,Not Yet Rated,292
Arang and the Magistrate,20,2012-08-15,2012-10-18,65.0,7.9,12571.0,2617,411,13+ - Teens 13 or older,28209
Are You Human?,36,2018-06-04,2018-08-07,35.0,8.3,29571.0,1139,101,15+ - Teens 15 or older,68239
Argon,8,2017-09-04,2017-09-26,70.0,8.0,1826.0,2149,2643,15+ - Teens 15 or older,4751
Arthdal Chronicles,6,2019-06-22,2019-07-07,81.0,8.7,12596.0,206,509,15+ - Teens 15 or older,24268
Artificial City,20,2021-12-08,2022-02-10,70.0,7.2,418.0,7733,4024,15+ - Teens 15 or older,2677
Ask the Stars,20,,,,,,37052,2471,15+ - Teens 15 or older,5114
Asphalt Man,16,1995-05-17,1995-07-06,60.0,7.1,18.0,82777,99999,Not Yet Rated,136
Assembly,20,2015-07-15,2015-09-17,62.0,7.6,312.0,5054,5899,Not Yet Rated,1481
At Eighteen,16,2019-07-22,2019-09-10,70.0,8.0,13104.0,2084,304,15+ - Teens 15 or older,35205
"At a Distance, Spring Is Green",12,2021-06-14,2021-07-20,63.0,8.3,15060.0,900,290,15+ - Teens 15 or older,36657
Autumn Shower,16,2005-09-21,2005-11-10,60.0,7.1,114.0,82744,11725,Not Yet Rated,439
Avengers Social Club,12,2017-10-11,2017-11-16,66.0,8.5,5657.0,417,907,15+ - Teens 15 or older,15428
Awaken,16,2020-11-30,2021-01-19,70.0,8.3,6518.0,1152,791,15+ - Teens 15 or older,17373
Babel,16,2019-01-27,2019-03-24,60.0,7.3,773.0,6754,3498,18+ Restricted (violence & profanity),3272
Baby Faced Beauty,20,2011-05-02,2011-07-05,65.0,7.0,4882.0,8273,1387,15+ - Teens 15 or older,9969
Babysitter,4,2016-03-14,2016-03-22,60.0,7.4,422.0,6393,6752,Not Yet Rated,1195
Bachelor's Vegetable Store,24,2011-12-21,2012-03-08,70.0,6.9,2112.0,8530,2113,13+ - Teens 13 or older,6152
Backstreet Rookie,16,2020-06-19,2020-08-08,70.0,7.6,22884.0,4571,177,15+ - Teens 15 or older,49237
Bad and Crazy,12,2021-12-17,2022-01-28,70.0,8.5,20064.0,443,168,15+ - Teens 15 or older,50424
Bad Guy,16,2017-12-16,2018-02-04,65.0,7.6,2105.0,4441,1680,15+ - Teens 15 or older,8078
Bad Guys,11,2014-10-04,2014-12-13,65.0,8.5,13909.0,478,335,18+ Restricted (violence & profanity),33368
Bad Guys 2,16,2017-12-16,2018-02-04,65.0,7.6,2105.0,4441,1680,15+ - Teens 15 or older,8078
Bad Housewife,18,2005-03-21,2005-05-17,70.0,6.8,69.0,85823,14083,15+ - Teens 15 or older,301
Bad Papa,32,2018-10-01,2018-11-27,35.0,7.7,954.0,4240,3486,13+ - Teens 13 or older,3287
Bad Prosecutor,12,2022-10-05,2022-11-10,61.0,8.2,4276.0,1354,1069,15+ - Teens 15 or older,13120
"Bad Thief, Good Thief",50,2017-05-13,2017-11-05,75.0,7.6,1245.0,4858,2315,15+ - Teens 15 or older,5519
"Bad Woman, Good Woman",140,2007-01-01,2007-07-13,35.0,7.3,9.0,79624,99999,Not Yet Rated,96
Ballad of Seodong,55,2005-09-05,2006-03-21,60.0,7.6,254.0,4495,7487,Not Yet Rated,1000
Band of Sisters,68,2017-04-15,2017-10-14,65.0,7.8,554.0,3682,4815,15+ - Teens 15 or older,2033
Banjun Drama,1,,,15.0,6.3,3.0,99999,99999,Not Yet Rated,21
Basketball,18,2013-10-21,2013-12-17,65.0,6.7,479.0,9006,4884,Not Yet Rated,1982
Battle for Happiness,16,2023-05-31,2023-07-20,60.0,7.9,691.0,2977,3607,Not Yet Rated,3138
Be Melodramatic,16,2019-08-09,2019-09-28,65.0,8.4,11205.0,715,336,15+ - Teens 15 or older,33199
Be My Dream Family,120,2021-03-29,2021-10-01,30.0,8.1,477.0,1874,5477,15+ - Teens 15 or older,1663
Be Positive,6,2016-10-31,2016-11-04,10.0,7.3,4012.0,6847,1528,13+ - Teens 13 or older,9060
"Be Strong, Geum-soon!",163,2005-02-14,2005-09-30,30.0,7.5,400.0,5748,6963,13+ - Teens 13 or older,1135
Beating Again,16,2015-04-03,2015-05-23,60.0,8.1,16398.0,1641,296,15+ - Teens 15 or older,36195
Beating Heart,12,2005-04-02,2005-05-08,70.0,7.2,61.0,80974,14228,15+ - Teens 15 or older,296
Beautiful Days,149,2007-11-12,2008-06-06,35.0,8.1,20.0,68924,99999,15+ - Teens 15 or older,154
Beautiful Gong Shim,20,2016-05-14,2016-07-17,60.0,7.8,15495.0,3476,361,13+ - Teens 13 or older,31480
"Beautiful Love, Wonderful Life",100,2019-09-28,2020-03-22,35.0,7.7,2302.0,3730,1598,13+ - Teens 13 or older,8586
Beautiful World,16,2019-04-05,2019-05-25,60.0,8.6,3227.0,398,1313,15+ - Teens 15 or older,10504
Because This Is My First Life,16,2017-10-09,2017-11-28,70.0,8.4,56798.0,613,33,15+ - Teens 15 or older,102261
Because This Is My First Twenty,16,2017-10-09,2017-11-28,70.0,8.4,56798.0,613,33,15+ - Teens 15 or older,102261
Becky's Back,4,2016-06-06,2016-06-14,63.0,7.7,1124.0,4279,4020,15+ - Teens 15 or older,2679
