kdrama_name,imdb_rating,imdb_users,imdb_description
"['comedy', 'romance', 'drama']",Goddess of Marriage,7.7,36
"['thriller', 'mystery', 'drama', 'supernatural']",14,7.9,571
"['business', 'comedy', 'romance', 'drama']","Gogh, The Starry Night",N/A,N/A
"['drama', 'melodrama']",Gold Mask,N/A,N/A
"['romance', 'drama']",Golden Apple,N/A,N/A
"['comedy', 'romance', 'drama', 'melodrama']",Golden Bride,N/A,N/A
"['thriller', 'romance', 'drama', 'melodrama']",Golden Cross,7.1,48
"['romance', 'drama', 'melodrama']",Golden Fish,N/A,N/A
"['food', 'romance', 'drama', 'melodrama']",Golden Pouch,8.2,27
"['romance', 'drama', 'melodrama']",Golden Rainbow,N/A,N/A
"['comedy', 'romance', 'medical']",Golden Time,8,102
"['action', 'mystery', 'comedy', 'crime']",Good Casting,7.1,143
"['romance', 'life', 'drama', 'medical']",Good Doctor,8,"2,167"
"['mystery', 'comedy', 'romance', 'fantasy']",Good Job,6.9,302
"['romance', 'family']","Good Job, Good Job",N/A,N/A
"['business', 'comedy', 'crime', 'drama']",Good Manager,7.9,"1,425"
"['comedy', 'romance']",Goodbye Dear Wife,N/A,N/A
"['thriller', 'psychological', 'drama', 'sci-fi']",Goodbye Earth,N/A,N/A
"['thriller', 'business', 'romance', 'drama']",Goodbye Mr. Black,7.1,231
"['romance', 'drama']",Goodbye My Love,N/A,N/A
"['romance', 'life']",Goodbye Solo,N/A,N/A
"['romance', 'life', 'drama', 'melodrama']",Goodbye to Goodbye,7.6,74
"['thriller', 'mystery', 'drama', 'melodrama']",Graceful Family,7.6,421
"['mystery', 'life', 'drama']",Graceful Friends,6.8,181
"['romance', 'drama', 'melodrama']",Gracious Revenge,7.8,19
"['historical', 'romance', 'drama', 'political']",Grand Prince,7.4,186
"['mystery', 'drama']",Green Mothers' Club,N/A,N/A
"['thriller', 'mystery']",Green Rose,7.4,108
"['action', 'thriller', 'mystery', 'sci-fi']",Grid,N/A,N/A
"['action', 'historical', 'romance', 'fantasy']",Gu Family Book,N/A,N/A
"['comedy', 'romance', 'life', 'drama']",Guardian Angel,N/A,N/A
"['comedy', 'romance', 'fantasy', 'melodrama']",Guardian: The Lonely and Great God,8.6,"25,534"
"['action', 'historical', 'romance', 'melodrama']",Gunman in Joseon,7,401
"['historical', 'political']","Gwanggaeto, The Great Conqueror",7.9,130
"['historical', 'romance', 'drama']",Gyebaek,N/A,N/A
"['action', 'thriller', 'historical', 'sci-fi']",Gyeongseong Creature,N/A,N/A
"['action', 'adventure', 'historical', 'political']",Haechi,7.6,332
"['business', 'comedy', 'romance', 'drama']",Happiness,7.9,"8,050"
"['romance', 'drama']",Happiness in the Wind,N/A,N/A
"['drama', 'family']",Happy Ending,8,10
"['romance', 'drama', 'melodrama']",Happy Home,N/A,N/A
"['romance', 'melodrama']",Happy Sisters,7.9,8
"['romance', 'drama', 'melodrama']",Happy Together,7.5,39
"['thriller', 'mystery', 'romance', 'supernatural']",He Is Psychometric,7.7,"2,103"
"['action', 'thriller', 'mystery', 'romance']",Healer,8.5,"10,031"
"['comedy', 'romance', 'melodrama']",Heard It Through the Grapevine,7.8,98
"['action', 'life', 'drama', 'medical']",Heart Surgeons,7.6,73
"['psychological', 'comedy', 'romance']",Heart to Heart,7.3,184
"['comedy', 'romance', 'fantasy']",Heartbeat,7.1,"1,530"
"['action', 'thriller', 'romance', 'crime']",Heartless City,8,519
"['horror', 'comedy', 'romance', 'supernatural']",Hearts and Hari,N/A,N/A
"['music', 'romance', 'youth', 'drama']",Heartstrings,N/A,N/A
"['thriller', 'horror', 'psychological', 'drama']",Hell Is Other People,7.8,"6,294"
"['mystery', 'horror', 'drama', 'supernatural']",Hellbound,6.6,"27,320"
"['comedy', 'supernatural', 'sitcom']",Hello Franceska,N/A,N/A
"['thriller', 'mystery', 'psychological', 'drama']",Hello Monster,7.7,"1,692"
"['comedy', 'romance', 'life', 'fantasy']","Hello, Me!",7.3,811
"['mystery', 'comedy', 'romance', 'life']","Hello, My Twenties!",N/A,N/A
"['business', 'comedy', 'romance', 'drama']",Her Private Life,7.7,"5,674"
"['comedy', 'romance', 'drama', 'family']",Here Comes Mr. Oh,8.3,7
"['romance', 'drama']",Here's My Plan,N/A,N/A
"['action', 'fantasy', 'supernatural']",Hero,4.8,11
"['drama', 'family', 'melodrama', 'supernatural']","Hi Bye, Mama!",7.9,"2,009"
"['romance', 'youth', 'fantasy']",Hi! School: Love On,N/A,N/A
"['mystery', 'drama']",Hidden Identity,6.6,137
"['romance', 'drama', 'melodrama']",Hide and Seek,6.9,56
"['thriller', 'mystery', 'drama']",High Class,6.7,148
"['comedy', 'romance', 'drama']",High End Crush,N/A,N/A
"['comedy', 'romance', 'drama', 'sitcom']",High Kick Through the Roof,N/A,N/A
"['comedy', 'romance', 'drama', 'sitcom']",High Kick!,8.4,467
"['comedy', 'romance', 'drama', 'sitcom']",High Kick: Revenge of the Short Legged,N/A,N/A
"['comedy', 'romance', 'sports']",High School King of Savvy,7.1,446
"['business', 'comedy', 'romance', 'melodrama']",High Society,6.7,572
"['mystery', 'comedy', 'melodrama', 'political']",History of a Salaryman,N/A,N/A
"['comedy', 'romance', 'life', 'drama']",Hit the Top,N/A,N/A
"['comedy', 'romance', 'youth', 'melodrama']",Hogu's Love,N/A,N/A
"['romance', 'drama', 'family', 'melodrama']",Hold Me Tight,N/A,N/A
"['romance', 'drama', 'family', 'melodrama']",Hold My Hand,N/A,N/A
"['romance', 'drama', 'melodrama']",Home for Summer,6.9,16
"['comedy', 'romance', 'drama']",Homemade Love Story,7.4,52
"['thriller', 'historical', 'mystery', 'horror']",Hometown,6.1,244
"['comedy', 'romance', 'life', 'drama']",Hometown Cha-Cha-Cha,8.4,"17,281"
"['action', 'historical', 'romance', 'drama']",Hong Gil-dong,N/A,N/A
"['romance', 'drama']",Hong Kong Express,N/A,N/A
"['romance', 'life', 'drama', 'medical']",Hospital Playlist,8.8,"6,860"
"['romance', 'drama', 'medical']",Hospital Ship,6.8,418
"['drama', 'sports', 'melodrama']",Hot Stove League,N/A,N/A
"['horror', 'comedy', 'romance', 'fantasy']",Hotel del Luna,8.1,"11,954"
"['business', 'romance', 'drama', 'melodrama']",Hotel King,7,489
"['business', 'romance', 'drama']",Hotelier,7.3,200
"['comedy', 'romance', 'drama']",House of Bluebird,N/A,N/A
"['food', 'romance', 'drama', 'fantasy']",How Are U Bread,N/A,N/A
"['romance', 'drama', 'family', 'melodrama']",How Long I've Kissed,N/A,N/A
"['comedy', 'romance', 'drama']",How to Be Thirty,N/A,N/A
"['mystery', 'comedy', 'romance', 'drama']",How to Buy a Friend,7.2,69
"['mystery', 'comedy', 'romance']",How to Meet a Perfect Neighbor,6.7,10
['drama'],How Should I Be,N/A,N/A
"['historical', 'medical']",Hur Jun,8.7,90
"['historical', 'drama', 'medical']","Hur Jun, The Original Story",N/A,N/A
"['mystery', 'business', 'comedy', 'life']",Hush,6.8,138
['historical'],Hwang Jini,N/A,N/A
"['action', 'historical', 'comedy', 'romance']",Hwarang: The Poet Warrior Youth,8,"5,297"
"['psychological', 'comedy', 'romance', 'drama']","Hyde Jekyll, Me",N/A,N/A
"['comedy', 'romance', 'mature']",Hyena,7.7,"1,017"
"['comedy', 'romance', 'youth', 'sci-fi']",I Am Legend,5.7,22
"['mystery', 'law', 'romance', 'supernatural']",I Can Hear Your Voice,N/A,N/A
"['comedy', 'romance']","I Do, I Do",6.7,201
"['romance', 'drama', 'melodrama']",I Have a Lover,8,172
"['comedy', 'romance', 'fantasy', 'supernatural']",I Love Lee Taly,N/A,N/A
"['comedy', 'romance']",I Need Romance,7,296
"['comedy', 'romance']",2012,7,105
"['comedy', 'romance', 'drama']",3,7.4,165
"['food', 'comedy', 'romance', 'melodrama']",I Order You,6.5,58
"['comedy', 'romance']",I Picked Up a Celebrity on the Street,N/A,N/A
"['music', 'mystery', 'comedy', 'romance']",I Wanna Hear Your Song,7,205
"['mystery', 'romance', 'drama']",I'm After You,N/A,N/A
"['comedy', 'romance', 'drama', 'sci-fi']",I'm Not a Robot,8,"6,629"
"['romance', 'drama', 'melodrama']","I'm Sorry, But I Love You",N/A,N/A
"['romance', 'drama', 'melodrama']","I'm Sorry, I Love You",8.3,"1,269"
"['romance', 'drama', 'melodrama']",Ice Adonis,8,29
"['romance', 'youth', 'drama']",Ice Girl,7.4,9
"['music', 'comedy', 'life', 'youth']",Idol Drama Operation Team,N/A,N/A
"['music', 'youth', 'drama']",Idol: The Coup,7.5,106
['drama'],If Tomorrow Comes,N/A,N/A
"['romance', 'life', 'drama', 'medical']",If You Wish Upon Me,8,"1,167"
"['historical', 'drama']",Iljimae,8,20
"['life', 'supernatural']",Imaginary Cat,N/A,N/A
"['music', 'comedy', 'romance', 'drama']",Imitation,7.3,869
"['action', 'military', 'historical', 'drama']",Immortal Admiral Yi Sun-sin,N/A,N/A
"['romance', 'drama']",In-soon Is Pretty,N/A,N/A
"['business', 'romance', 'drama']",Incarnation of Money,7.7,73
"['thriller', 'mystery', 'law', 'drama']",Innocent Defendant,N/A,N/A
"['action', 'thriller', 'law']",Insider,7.4,306
"['action', 'thriller', 'mystery', 'comedy']",Inspector Koo,N/A,N/A
"['action', 'historical', 'romance', 'drama']",Inspiring Generation,7.6,250
"['historical', 'drama']","Insu, the Queen Mother",N/A,N/A
"['historical', 'drama', 'political']",Into the Flames,7.9,13
"['business', 'comedy', 'romance', 'drama']",Introverted Boss,N/A,N/A
"['romance', 'youth']",Invincible Lee Pyung Kang,5.8,14
"['romance', 'drama', 'melodrama']",Ireland,N/A,N/A
"['action', 'romance', 'drama']",Iris,N/A,N/A
"['action', 'romance', 'drama']",Iris II: New Generation,N/A,N/A
"['comedy', 'romance', 'youth']",Is It Fate?,N/A,N/A
"['action', 'thriller', 'horror', 'fantasy']",Island,6.9,"2,374"
"['business', 'romance', 'life', 'drama']",Itaewon Class,8.2,"17,330"
"['action', 'thriller', 'mystery', 'supernatural']",Item,6.3,182
['romance'],It's My Life,6.9,10
"['psychological', 'comedy', 'romance', 'drama']",It's Okay to Not Be Okay,8.6,"30,283"
"['psychological', 'comedy', 'romance', 'drama']","It's Okay, Daddy's Girl",N/A,N/A
"['psychological', 'comedy', 'romance', 'drama']","It's Okay, That's Love",8.3,"4,368"
"['comedy', 'romance', 'life', 'drama']",Ja Myung Go,7.4,173
"['romance', 'drama', 'melodrama']",Jang Bo-ri Is Here!,N/A,N/A
"['historical', 'romance', 'drama']","Jang Ok-jung, Living by Love",7.6,276
"['historical', 'drama']",Jang Yeong-sil,7.6,131
"['action', 'adventure', 'historical', 'comedy', 'romance', 'martial arts', 'supernatural']",Jeon Woo-chi,N/A,N/A
"['action', 'thriller', 'historical', 'political']",Jeong Do-jeon,8.4,52
"['comedy', 'romance', 'life']",Ji Woon-soo's Stroke of Luck,N/A,N/A
"['mystery', 'romance', 'fantasy', 'melodrama']",Jinxed at First,6.3,293
"['thriller', 'mystery', 'drama', 'fantasy']",Jirisan,7.3,"1,218"
"['comedy', 'romance']",Jolly Widows,N/A,N/A
"['action', 'historical', 'drama', 'fantasy']",Joseon Exorcist,6.8,130
"['historical', 'law', 'romance', 'drama']",Joseon Lawyer,N/A,N/A
"['historical', 'romance', 'fantasy']",Joseon Survival Period,N/A,N/A
"['action', 'historical', 'drama', 'fantasy']",Joseon X-Files,N/A,N/A
"['music', 'comedy', 'life']",JTBC Drama Festa,N/A,N/A
"['thriller', 'mystery', 'psychological', 'drama']",Hello Dracula,N/A,N/A
"['comedy', 'law', 'romance', 'drama']",Judge vs. Judge,N/A,N/A
"['business', 'comedy', 'romance', 'drama']",Jugglers,7.1,322
"['comedy', 'sitcom']",Jump,N/A,N/A
"['youth', 'drama']",Jungle Fish,N/A,N/A
"['mystery', 'life', 'youth', 'drama']",2,N/A,N/A
"['comedy', 'romance', 'life', 'drama']",Junwoo,N/A,N/A
"['romance', 'life', 'drama', 'sports']",Just Dance,7.3,51
"['thriller', 'mystery', 'law', 'drama']",Justice,7.8,100
"['law', 'drama']",Juvenile Justice,7.9,"4,664"
"['action', 'thriller', 'drama', 'sci-fi']",Kairos,7.9,803
['drama'],KBS Drama Special,N/A,N/A
"['comedy', 'romance', 'fantasy']",Do You Know Taekwondo?,N/A,N/A
"['romance', 'drama']",If We Were a Season,N/A,N/A
"['romance', 'drama', 'melodrama']",My Prettiest Moments,N/A,N/A
"['thriller', 'mystery', 'comedy', 'romance']",Pinocchio's Nose,N/A,N/A
"['life', 'drama']",Reason,N/A,N/A
"['romance', 'drama', 'melodrama']",KBS TV Novel,N/A,N/A
"['drama', 'family', 'melodrama']",A Sea of Her Own,N/A,N/A
"['drama', 'family', 'melodrama']",Dal Soon's Spring,N/A,N/A
"['historical', 'drama']",Dear My Sister,N/A,N/A
"['romance', 'drama', 'family', 'melodrama']",Eunhui,N/A,N/A
"['historical', 'romance', 'drama', 'family']",In Still Green Days,N/A,N/A
"['historical', 'romance', 'drama', 'family', 'melodrama']",Land of Gold,N/A,N/A
"['drama', 'melodrama']",Landscape in My Heart,N/A,N/A
"['romance', 'melodrama']","Love, My Love",N/A,N/A
"['romance', 'life', 'drama', 'melodrama']",My Mind's Flower Rain,N/A,N/A
"['romance', 'medical']",Samsaengi,N/A,N/A
"['romance', 'family']",Single-minded Dandelion,N/A,N/A
['drama'],Sunok,N/A,N/A
"['romance', 'drama', 'family', 'melodrama']",That Sun in the Sky,N/A,N/A
"['historical', 'romance', 'drama', 'family', 'melodrama']",The Stars Are Shining,6.9,11
"['thriller', 'drama']",Kill Heel,N/A,N/A
"['action', 'thriller', 'mystery', 'drama']",Kill It,7.7,"1,105"
"['psychological', 'comedy', 'romance', 'drama']","Kill Me, Heal Me",8.3,"5,664"
"['drama', 'fantasy']",Kim Is a Genius,N/A,N/A
"['mystery', 'comedy', 'sci-fi']","Kim Su-ro, The Iron King",N/A,N/A
"['mystery', 'comedy', 'drama', 'sitcom']",Kimcheed Radish Cubes,N/A,N/A
"['mystery', 'comedy', 'drama', 'sitcom']",Kimchi Cheese Smile,N/A,N/A
"['food', 'mystery', 'romance', 'family']",Kimchi Family,N/A,N/A
"['romance', 'drama', 'melodrama']",King of Ambition,N/A,N/A
"['comedy', 'romance']",King the Land,4.4,"129,750"
"['thriller', 'historical', 'horror', 'political']",Kingdom,8.3,"51,375"
"['historical', 'romance', 'drama', 'supernatural']",Kingmaker: The Change of Destiny,7.4,86
"['comedy', 'romance', 'fantasy', 'supernatural']",Kiss Sixth Sense,7.2,739
"['business', 'comedy', 'life', 'drama']",Kkondae Intern,7.2,226
"['comedy', 'romance', 'medical', 'fantasy']",Kokdu: Season of Deity,6.6,305
"['action', 'military', 'romance', 'political']",Korean Peninsula,7,33
"['action', 'thriller', 'mystery', 'sci-fi']",L.U.C.A.: The Beginning,6.5,497
"['comedy', 'romance', 'family', 'melodrama']",Lady Cha Dal-rae's Lover,N/A,N/A
"['romance', 'drama', 'melodrama']",Land of Wine,N/A,N/A
"['action', 'thriller', 'crime']",Last,7.4,213
"['food', 'life', 'drama']",Late Night Restaurant,7.9,96
"['mystery', 'law', 'crime', 'drama']",Law School,8,"2,760"
"['action', 'thriller', 'law', 'romance']",Lawless Lawyer,7.6,"2,480"
"['thriller', 'law', 'romance']",Lawyers,N/A,N/A
"['mystery', 'business', 'romance', 'melodrama']","Lee San, Wind of the Palace",8,639
"['mystery', 'business', 'romance', 'melodrama']",Left-Handed Wife,5.8,21
"['mystery', 'comedy', 'law', 'drama']",Legal High,7,189
"['historical', 'comedy', 'romance']",Legend of Hyang Dan,N/A,N/A
"['thriller', 'mystery', 'psychological', 'drama']",Less Than Evil,7.2,131
"['music', 'comedy', 'romance', 'drama']",Let Me Be Your Knight,7.4,219
"['mystery', 'psychological', 'romance', 'melodrama']",Let Me Introduce Her,7.3,72
"['food', 'comedy', 'romance', 'drama']",Let's Eat,7.7,647
"['food', 'comedy', 'romance', 'drama']",2,N/A,N/A
"['food', 'comedy', 'romance', 'life']",3,N/A,N/A
"['business', 'comedy', 'romance']",Level Up,6.5,218
"['action', 'mystery', 'comedy', 'crime']",Leverage,7.4,154
"['thriller', 'mystery', 'psychological', 'drama']",Liar Game,N/A,N/A
"['thriller', 'romance', 'melodrama']",Lie After Lie,N/A,N/A
"['comedy', 'romance']",Lie to Me,7.1,"1,453"
"['thriller', 'mystery', 'psychological', 'drama']",Lies Hidden in My Garden,N/A,N/A
"['thriller', 'psychological', 'drama', 'medical']",Life,7.6,884
"['business', 'romance', 'drama']",Life Is Beautiful,8.1,8
"['action', 'mystery', 'psychological', 'comedy']",Life on Mars,8.1,"1,011"
"['military', 'comedy', 'romance', 'political']",Lights and Shadows,7.1,8
"['romance', 'youth', 'drama']",Light on Me,N/A,N/A
"['romance', 'family']",Likeable or Not,N/A,N/A
"['mystery', 'romance', 'drama', 'fantasy']","Link: Eat, Love, Kill",7.3,"1,281"
"['comedy', 'romance', 'life', 'drama']",Listen to Love,N/A,N/A
"['comedy', 'romance', 'drama', 'melodrama']",Listen to My Heart,N/A,N/A
"['romance', 'drama', 'family']",Little Women,7.8,"6,255"
"['romance', 'life', 'drama']",Live,8.3,"1,505"
"['comedy', 'romance', 'youth', 'drama']",Live On,7.2,464
"['historical', 'romance', 'medical', 'fantasy']",Live Up to Your Name,8,"1,782"
"['romance', 'family', 'melodrama']",Live Your Own Life,N/A,N/A
"['comedy', 'romance', 'drama']",Liver or Die,N/A,N/A
"['comedy', 'sitcom']",Living Among the Rich,N/A,N/A
"['action', 'thriller', 'romance', 'drama']",Lobbyist,N/A,N/A
"['action', 'thriller', 'mystery', 'comedy']",Local Hero,6.4,110
"['action', 'thriller', 'mystery', 'drama']",Longing for You,4.6,"9,080"
"['mystery', 'drama']",Look Back in Anger,N/A,N/A
"['romance', 'drama', 'melodrama']",Loss Time Life,N/A,N/A
"['life', 'drama', 'melodrama']",Lost,8.2,434
"['romance', 'drama', 'family', 'melodrama']",Love & Secret,N/A,N/A
"['mystery', 'romance', 'drama']",Love (ft. Marriage and Divorce),N/A,N/A
"['romance', 'life', 'drama', 'family', 'melodrama']",Love Again,5.5,9
"['comedy', 'romance', 'youth', 'drama']",Love Alarm,6.7,"6,975"
"['business', 'comedy', 'romance', 'melodrama']",Love Alert,N/A,N/A
"['romance', 'drama', 'sports', 'melodrama']",Love All Play,7.7,745
"['drama', 'melodrama']",Love and Obsession,N/A,N/A
"['comedy', 'romance']",Love Can't Wait,N/A,N/A
"['music', 'comedy', 'romance', 'supernatural']",Love for a Thousand More,N/A,N/A
['drama'],3,N/A,N/A
"['business', 'comedy', 'romance']",Love in Contract,6.9,"1,021"
"['romance', 'drama']",Love in Her Bag,N/A,N/A
"['romance', 'drama', 'melodrama']",Love in Sadness,6.5,104
"['historical', 'comedy', 'romance', 'drama']",Love in the Moonlight,7.8,"3,818"
"['comedy', 'romance']",Love Is for Suckers,6.6,391
['romance'],Love Me When You Can,N/A,N/A
"['romance', 'drama', 'family', 'melodrama']",Love on a Rooftop,6,9
"['romance', 'life', 'youth', 'drama']",Love Playlist,N/A,N/A
"['romance', 'drama', 'family', 'melodrama']",Love Rain,7.6,"1,605"
"['romance', 'drama', 'family', 'melodrama']",Love Returns,7,16
"['comedy', 'romance', 'youth', 'drama']",Love Revolution,N/A,N/A
"['romance', 'life', 'drama']",Love Scene Number,N/A,N/A
"['comedy', 'law', 'romance']",Love to Hate You,7.9,"4,017"
"['business', 'romance', 'family', 'melodrama']",Love to the End,6.9,18
"['family', 'melodrama']",Love Twist,N/A,N/A
"['comedy', 'romance', 'life', 'drama']",Love with Flaws,7.2,562
"['romance', 'drama']",Loveholic,N/A,N/A
"['horror', 'comedy', 'romance', 'supernatural']",Lovely Horribly,6.3,316
"['drama', 'family']",Lovers,7.6,31
"['comedy', 'romance', 'melodrama']",Lovers in Bloom,7.6,25
['romance'],Lovers in Paris,N/A,N/A
"['comedy', 'romance', 'drama']",Lovers in Prague,7.4,71
"['comedy', 'romance']",Lovers of Haeundae,N/A,N/A
"['music', 'comedy', 'romance']",Lovers of Music,N/A,N/A
"['historical', 'romance', 'drama', 'fantasy']",Lovers of the Red Sky,7.6,"1,240"
"['romance', 'life', 'youth', 'drama']",Lovestruck in the City,N/A,N/A
"['comedy', 'romance', 'drama', 'fantasy']",Loving You a Thousand Times,7.6,32
"['comedy', 'romance', 'drama', 'political']",Lucifer,N/A,N/A
"['business', 'comedy', 'romance', 'drama']",Lucky Romance,7,710
"['comedy', 'romance', 'youth']",Ma Boy,N/A,N/A
['family'],Mackerel Run,N/A,N/A
"['action', 'thriller', 'mystery']",Mad Dog,7.6,899
"['comedy', 'romance', 'drama']",Mad for Each Other,7.9,"2,431"
"['psychological', 'comedy', 'romance']",Madame Antoine: The Love Therapist,N/A,N/A
['romance'],Magic Cellphone,4.1,30
"['comedy', 'youth', 'fantasy']",Magic Kid Masuri,N/A,N/A
"['romance', 'drama', 'melodrama']",Make a Woman Cry,7,15
"['romance', 'family']",Make Your Wish,N/A,N/A
"['romance', 'drama', 'melodrama']",Mama,N/A,N/A
"['romance', 'drama', 'melodrama']",Man from the Equator,N/A,N/A
"['business', 'romance', 'drama', 'family']",Man in a Veil,N/A,N/A
"['food', 'romance', 'drama', 'family']",Man in the Kitchen,N/A,N/A
"['action', 'thriller', 'comedy', 'romance']",Man to Man,7.3,"1,517"
"['comedy', 'drama', 'family']",Man Who Dies to Live,4.8,36
"['thriller', 'comedy', 'romance', 'fantasy']",Manhole,N/A,N/A
"['comedy', 'romance']",Manny,N/A,N/A
"['romance', 'drama', 'melodrama']",Marriage Contract,7.5,934
"['comedy', 'romance', 'drama']","Marriage, Not Dating",7.5,"1,183"
"['comedy', 'romance', 'supernatural']",Marry Him If You Dare,6,248
"['romance', 'medical', 'melodrama']",Marry Me Now,7.8,73
"['comedy', 'romance']","Marry Me, Mary!",N/A,N/A
"['romance', 'drama']",Marrying a Millionaire,7.6,15
"['romance', 'drama', 'family', 'melodrama']",Marrying My Daughter Twice,N/A,N/A
"['romance', 'supernatural']",Mask,7.5,450
"['thriller', 'mystery', 'comedy', 'drama']",Mask Girl,7.4,"5,126"
"['horror', 'comedy', 'romance', 'supernatural']",Master's Sun,N/A,N/A
"['comedy', 'romance', 'drama']",Matrimonial Chaos,N/A,N/A
"['mystery', 'romance', 'drama', 'supernatural']",May I Help You?,N/A,N/A
"['mystery', 'law', 'drama']",May It Please the Court,N/A,N/A
"['romance', 'drama', 'melodrama']",May Queen,7.8,47
"['psychological', 'comedy', 'romance', 'drama']","Me Too, Flower!",6.9,170
"['drama', 'medical']",Medical Top Team,6.5,111
"['romance', 'drama', 'melodrama']",Melancholia,7.3,570
"['music', 'romance', 'drama', 'family']",Melody of Love,7.8,16
"['mystery', 'psychological', 'romance', 'supernatural']",Meloholic,6.5,206
"['mystery', 'comedy', 'romance', 'sci-fi']",Melting Me Softly,6.8,"1,852"
"['action', 'thriller', 'romance', 'sci-fi']",Memories of the Alhambra,7.8,"6,626"
"['comedy', 'romance', 'drama', 'political']",Memorials,N/A,N/A
"['action', 'thriller', 'mystery', 'supernatural']",Memorist,7.6,"1,193"
"['law', 'romance', 'life', 'drama']",Memory,7.6,106
"['comedy', 'romance', 'drama', 'fantasy']",Men Are Men,N/A,N/A
"['comedy', 'drama', 'sports']",Mental Coach Jegal,7.1,42
"['comedy', 'romance']",Merry Mary,N/A,N/A
"['comedy', 'romance', 'drama']",Midas,7.4,127
"['action', 'military', 'mystery', 'law']",Military Prosecutor Doberman,N/A,N/A
"['mystery', 'romance', 'supernatural']",Mimi,N/A,N/A
"['romance', 'drama', 'melodrama']",Mina,N/A,N/A
"['thriller', 'mystery', 'drama']",Mine,7.7,"1,608"
"['mystery', 'drama', 'fantasy', 'supernatural']",Miraculous Brothers,N/A,N/A
"['business', 'life', 'drama']",Misaeng: Incomplete Life,N/A,N/A
['drama'],Miss Ajumma,N/A,N/A
"['comedy', 'romance', 'life', 'drama']",Miss Korea,7.1,127
"['business', 'comedy', 'life', 'drama']",Miss Lee,N/A,N/A
"['romance', 'drama', 'melodrama']",Miss Mamma Mia,N/A,N/A
"['romance', 'drama']",Miss Mermaid,N/A,N/A
"['thriller', 'romance', 'drama', 'melodrama']",Miss Monte-Cristo,N/A,N/A
"['food', 'comedy', 'romance', 'drama']",Miss Panda and Mr. Hedgehog,N/A,N/A
"['romance', 'drama', 'melodrama']",Miss Ripley,6.4,97
"['adventure', 'mystery', 'comedy', 'drama']",9,6.9,434
"['romance', 'drama', 'melodrama']",Missing You,7.5,900
"['thriller', 'mystery', 'supernatural']",Missing: The Other Side,7.9,977
"['thriller', 'mystery', 'romance', 'drama']",Mistress,8.3,98
"['thriller', 'mystery', 'romance', 'melodrama']",Misty,7.9,822
"['romance', 'drama']",Model,7.3,46
"['comedy', 'romance', 'drama']",Modern Farmer,7.3,281
"['romance', 'drama', 'family']",Mom Has an Affair,N/A,N/A
"['romance', 'drama']",Mom's Dead Upset,N/A,N/A
"['business', 'law', 'romance', 'melodrama']",Money Flower,7.6,349
"['thriller', 'mystery', 'psychological']",Money Game,8,70
"['action', 'thriller', 'mystery', 'crime']",Money Heist: Korea – Joint Economic Area,N/A,N/A
"['music', 'romance', 'youth']",Monstar,6.8,263
"['business', 'romance', 'crime', 'melodrama']",Monster,7.8,85
"['thriller', 'mystery', 'horror', 'supernatural']",Monstrous,N/A,N/A
"['business', 'comedy', 'romance', 'drama']",Monthly Magazine Home,7.1,424
"['historical', 'romance', 'supernatural', 'political']",Moon Embracing the Sun,N/A,N/A
"['historical', 'romance', 'fantasy', 'melodrama']",Moon Lovers: Scarlet Heart Ryeo,8.6,"10,612"
"['action', 'historical', 'comedy', 'romance']",Moonshine,N/A,N/A
"['action', 'romance', 'drama', 'supernatural']",Moorim School: Saga of the Brave,N/A,N/A
"['historical', 'romance', 'drama']",More Than a Maid,N/A,N/A
"['comedy', 'romance', 'life', 'drama']",More Than Friends,6.6,596
"['thriller', 'mystery', 'psychological', 'melodrama']",Mother,N/A,N/A
"['business', 'romance', 'life', 'melodrama']",Mother of Mine,7.8,82
"['romance', 'drama', 'family', 'melodrama']",Mother's Garden,7,9
"['thriller', 'mystery', 'psychological', 'sci-fi']",Mouse,8.7,"9,119"
"['life', 'drama']",Move to Heaven,8.5,"8,260"
"['action', 'thriller', 'mystery', 'supernatural']",Moving,8.6,"4,640"
"['comedy', 'romance', 'drama', 'fantasy']",Mr. Back,N/A,N/A
"['comedy', 'romance']",Mr. Duke,N/A,N/A
"['historical', 'comedy', 'romance', 'fantasy']",Mr. Queen,8.6,"8,404"
"['military', 'historical', 'romance', 'melodrama']",Mr. Sunshine,8.7,"9,416"
"['action', 'mystery']",Mrs. Cop,7.7,114
"['romance', 'fantasy', 'melodrama']",Mrs. Durian,N/A,N/A
"['law', 'romance', 'life', 'drama']",Ms. Hammurabi,7.4,695
"['mystery', 'comedy']",Ms. Kim's Million Dollar Quest,N/A,N/A
"['thriller', 'mystery', 'drama']","Ms. Ma, Nemesis",7.2,59
"['mystery', 'comedy']",Ms. Perfect,6.7,46
"['thriller', 'mystery', 'comedy', 'supernatural']",Murder DIEary,N/A,N/A
"['comedy', 'romance', 'drama', 'fantasy']",My Absolute Boyfriend,6.9,368
"['action', 'mystery', 'romance', 'crime']",My Beautiful Bride,7.4,96
"['romance', 'life', 'drama', 'family', 'melodrama']",My Beloved Sister,6.2,8
['romance'],My Bittersweet Life,N/A,N/A
"['mystery', 'romance', 'drama', 'sci-fi']",My Catman,N/A,N/A
"['comedy', 'romance', 'drama', 'melodrama']","My Contracted Husband, Mr. Oh",N/A,N/A
"['action', 'historical', 'romance', 'drama']",My Country: The New Age,8.1,"2,325"
