kdrama_name,imdb_rating,imdb_users,imdb_description
"['action', 'mystery', 'crime', 'political']",2,N/A,N/A
"['comedy', 'romance', 'drama']",Bad Housewife,7.7,9
"['adventure', 'romance', 'drama', 'sports']",Bad Papa,7.2,142
"['action', 'mystery', 'comedy', 'law']",Bad Prosecutor,7.5,998
"['thriller', 'comedy', 'law', 'romance']","Bad Thief, Good Thief",8.2,101
['drama'],"Bad Woman, Good Woman",N/A,N/A
"['historical', 'romance']",Ballad of Seodong,N/A,N/A
"['romance', 'drama', 'melodrama']",Band of Sisters,8.3,35
"['romance', 'drama']",Banjun Drama,N/A,N/A
"['historical', 'romance', 'drama', 'sports']",Basketball,5.3,30
"['thriller', 'mystery', 'drama']",Battle for Happiness,N/A,N/A
"['comedy', 'romance', 'life', 'melodrama']",Be Melodramatic,N/A,N/A
"['comedy', 'romance', 'drama', 'family']",Be My Dream Family,N/A,N/A
"['comedy', 'romance', 'drama']",Be Positive,N/A,N/A
"['comedy', 'romance', 'drama', 'family']","Be Strong, Geum-soon!",8.1,17
"['business', 'comedy', 'romance', 'drama']",Beating Again,N/A,N/A
"['romance', 'life', 'drama']",Beating Heart,8,26
"['romance', 'drama']",Beautiful Days,8,95
"['comedy', 'romance', 'drama']",Beautiful Gong Shim,7.3,"1,076"
"['comedy', 'romance', 'drama', 'melodrama']","Beautiful Love, Wonderful Life",7.6,81
"['thriller', 'mystery', 'life', 'melodrama']",Beautiful World,8,184
"['comedy', 'romance', 'life', 'drama']",Because This Is My First Life,8.1,"6,550"
"['comedy', 'romance', 'life', 'drama']",Because This Is My First Twenty,N/A,N/A
"['comedy', 'romance', 'drama']",Becky's Back,N/A,N/A
"['mystery', 'comedy']",Becoming Witch,7,71
"['comedy', 'romance', 'life']",Behind Every Star,6.8,227
"['business', 'drama', 'medical', 'political']",Behind the White Tower,8.3,16
"['mystery', 'comedy', 'romance', 'supernatural']",Behind Your Touch,7.3,795
"['comedy', 'romance', 'drama', 'family']",Bel Ami,N/A,N/A
"['food', 'business', 'comedy', 'romance']",Best Chicken,6.2,50
"['thriller', 'mystery', 'psychological', 'drama']",Beyond Evil,8.1,"4,616"
"['thriller', 'romance', 'crime', 'drama']",Beyond the Clouds,7.6,84
"['comedy', 'romance', 'youth', 'fantasy']",Big,N/A,N/A
"['action', 'crime', 'drama']",Big Bet,7.2,597
"['thriller', 'mystery', 'romance', 'drama']",Big Issue,7.6,87
"['thriller', 'business', 'drama', 'melodrama']",Big Man,6.9,105
"['thriller', 'mystery', 'law', 'drama']",Big Mouth,7.9,"5,098"
"['thriller', 'mystery', 'law', 'drama']",Big Thing,N/A,N/A
"['comedy', 'romance']","Billie Jean, Look at Me",N/A,N/A
"['romance', 'sports']",Birdie Buddy,N/A,N/A
"['comedy', 'romance', 'drama', 'melodrama']",Birth of a Beauty,7,"1,083"
"['comedy', 'life', 'drama', 'melodrama']",Birthcare Center,7.5,300
"['romance', 'youth', 'fantasy']",Bitter Sweet Life,N/A,N/A
"['comedy', 'romance', 'drama']",Bizarre Bunch,N/A,N/A
"['thriller', 'mystery', 'supernatural']",Black,7.8,"4,393"
"['comedy', 'life', 'drama']",Black Dog: Being A Teacher,N/A,N/A
"['action', 'adventure', 'drama', 'sci-fi']",Black Knight,6.6,516
"['romance', 'drama', 'fantasy', 'melodrama']",Black Knight: The Man Who Guards Me,N/A,N/A
"['comedy', 'romance', 'drama', 'supernatural']",Blade Man,6.3,395
"['comedy', 'romance', 'melodrama']",Blessing of the Sea,N/A,N/A
"['thriller', 'mystery', 'drama']",Blind,8,"1,019"
"['action', 'romance', 'medical', 'supernatural']",Blood,6.6,"1,005"
"['historical', 'romance', 'drama', 'political']",Blooded Palace: The War of Flowers,N/A,N/A
"['action', 'thriller', 'crime', 'drama']",Bloodhounds,8.1,"9,020"
"['historical', 'drama', 'political']",Bloody Heart,7.4,337
"['military', 'romance', 'drama']",Bloody Romance,N/A,N/A
"['romance', 'drama', 'family']",Blossom Sisters,N/A,N/A
"['law', 'romance', 'drama', 'melodrama']",Blow Breeze,7.1,31
"['thriller', 'romance', 'drama', 'fantasy']",Blue Birthday,N/A,N/A
"['action', 'romance']",Bodyguard,N/A,N/A
"['comedy', 'romance', 'life', 'melodrama']",Bo-ra! Deborah,N/A,N/A
"['mystery', 'romance', 'fantasy', 'melodrama']",Born Again,6.7,356
"['historical', 'romance', 'life', 'drama']",Bossam: Steal the Fate,7.4,261
"['comedy', 'romance', 'youth', 'drama']",Boys Over Flowers,7.8,"13,573"
"['romance', 'drama', 'medical']",Brain,8.2,76
"['mystery', 'comedy']",Brain Works,N/A,N/A
"['drama', 'family']",Bravo My Life,6.4,13
"['drama', 'family']","Bravo, My Life",N/A,N/A
"['comedy', 'romance', 'melodrama']","Bravo, My Love!",N/A,N/A
"['comedy', 'romance', 'drama', 'fantasy']","Bread, Love and Dreams",N/A,N/A
"['action', 'historical', 'romance', 'political']",Bridal Mask,8.2,707
"['mystery', 'comedy', 'romance', 'supernatural']",Bride of the Century,7,582
"['romance', 'drama', 'family']",Bride of the Sun,N/A,N/A
"['comedy', 'romance', 'family', 'melodrama']",Brilliant Heritage,7.6,19
"['comedy', 'romance', 'family', 'melodrama']",Brilliant Legacy,N/A,N/A
"['horror', 'comedy', 'romance', 'supernatural']","Bring It On, Ghost",7.6,"3,074"
"['comedy', 'romance', 'drama']",Bubble Gum,N/A,N/A
"['business', 'romance', 'drama', 'melodrama']",Bubbly Lovely,N/A,N/A
"['thriller', 'mystery', 'drama', 'fantasy']",Bulgasal: Immortal Souls,N/A,N/A
"['comedy', 'romance', 'drama']",Business Proposal,8.1,"19,533"
"['music', 'drama']",Café Minamdang,N/A,N/A
"['romance', 'drama', 'melodrama']",Call It Love,7.8,912
"['romance', 'drama', 'family']","Can We Fall in Love, Again?",N/A,N/A
"['romance', 'life', 'drama']",Can We Get Married?,6.5,128
"['comedy', 'law', 'romance', 'life']",Can't Lose,7.3,13
"['romance', 'drama', 'family']",Can't Stand Anymore,N/A,N/A
"['historical', 'comedy', 'romance', 'drama']",Capital Scandal,7.9,87
"['thriller', 'mystery', 'comedy', 'romance']",Catch the Ghost,7.5,499
"['thriller', 'mystery', 'drama']",Celebrity,7.4,"3,856"
"['thriller', 'mystery', 'comedy', 'romance']",Cheat on Me If You Can,N/A,N/A
"['mystery', 'comedy', 'romance', 'youth']",Cheer Up,6.9,546
"['mystery', 'comedy', 'romance', 'youth']",Cheer Up!,N/A,N/A
['drama'],"Cheer Up, Mr. Kim!",N/A,N/A
"['psychological', 'romance', 'life', 'drama']",Cheese in the Trap,7.2,"4,510"
"['comedy', 'romance', 'drama', 'melodrama']",Cheongdam-dong Alice,6.4,280
"['mystery', 'romance', 'drama', 'melodrama']",Cheongdam-dong Scandal,N/A,N/A
"['mystery', 'drama', 'supernatural']",Cheo Yong,N/A,N/A
"['comedy', 'romance', 'supernatural', 'political']",Chicago Typewriter,8.3,"1,990"
"['thriller', 'mystery', 'comedy', 'fantasy']",Chicken Nugget,N/A,N/A
"['law', 'drama', 'political']",Chief of Staff,7.8,682
"['thriller', 'mystery', 'supernatural']",Children of a Lesser God,7,154
"['thriller', 'mystery', 'psychological', 'drama']",Children of Nobody,7.8,290
"['comedy', 'romance', 'life']",20,N/A,N/A
"['thriller', 'mystery']",Chimera,7.4,429
"['thriller', 'mystery', 'comedy', 'melodrama']",Chip In,7.4,75
"['business', 'comedy', 'romance', 'drama']",Choco Bank,6.2,160
"['romance', 'life', 'medical', 'melodrama']",Chocolate,7.6,"1,474"
"['romance', 'melodrama']",Chunja's Special Day,N/A,N/A
"['romance', 'family', 'melodrama']",Cinderella Man,6.3,115
"['comedy', 'romance', 'drama']",Cinderella with Four Knights,N/A,N/A
"['comedy', 'romance', 'drama']",Cinderella's Stepsister,N/A,N/A
"['thriller', 'mystery', 'sci-fi']",Circle,8,501
"['romance', 'life', 'youth', 'drama']",City Conquest,N/A,N/A
"['action', 'thriller', 'crime']",City Hunter,8.1,"6,369"
"['mystery', 'law', 'drama', 'melodrama']",City of the Sun,N/A,N/A
"['thriller', 'mystery', 'law', 'youth']",Class of Lies,7.8,592
"['business', 'comedy', 'romance', 'drama']",Clean with Passion for Now,7,"2,113"
"['comedy', 'crime', 'drama']",Cleaning Up,7.7,82
"['comedy', 'romance', 'fantasy']",Coffee House,6.6,96
"['food', 'comedy', 'romance', 'drama']",Coffee Prince,N/A,N/A
"['comedy', 'romance', 'fantasy']","Coffee, Do Me a Favor",N/A,N/A
"['mystery', 'romance', 'drama', 'supernatural']",Color Rush,6.9,"1,291"
"['thriller', 'horror', 'supernatural']",Coma,6.9,60
"['thriller', 'mystery', 'romance', 'melodrama']",Come and Hug Me,7.8,"1,307"
"['comedy', 'romance', 'drama', 'supernatural']",Come Back Mister,N/A,N/A
"['thriller', 'mystery', 'law', 'drama']",Confession,7.7,268
"['mystery', 'youth']",Connect,6.5,"1,578"
"['historical', 'drama']",Conspiracy in the Court,7.2,11
"['food', 'comedy', 'romance']","Cool Guys, Hot Ramen",N/A,N/A
"['comedy', 'romance']",Couple or Trouble,N/A,N/A
"['thriller', 'mystery', 'comedy', 'romance']",Crash Course in Romance,7.8,"3,551"
"['military', 'comedy', 'romance', 'political']",Crash Landing on You,8.7,"36,866"
"['romance', 'drama', 'family', 'melodrama']",Crazy Love,7.3,"1,268"
"['drama', 'medical']",Creating Destiny,6.8,85
"['action', 'mystery', 'drama']",Criminal Minds,6.6,513
"['thriller', 'mystery', 'medical']",Cross,7.3,105
"['historical', 'romance', 'melodrama', 'political']",Cruel Love,N/A,N/A
"['business', 'comedy', 'romance']",Cunning Single Lady,7.5,"1,001"
"['romance', 'life', 'drama', 'family']",Curtain Call,N/A,N/A
"['romance', 'drama', 'medical']",D-Day,7.7,333
"['action', 'military', 'drama']",D.P.,8.2,"8,146"
"['food', 'comedy', 'romance', 'supernatural']",Dae Jang Geum Is Watching,N/A,N/A
"['historical', 'war']",Dae Jo-yeong,N/A,N/A
"['historical', 'drama']",Daemyeong,N/A,N/A
"['drama', 'medical']",Daily Dose of Sunshine,N/A,N/A
"['business', 'comedy', 'romance', 'drama']",Dal-ja's Spring,N/A,N/A
"['comedy', 'romance', 'drama']",Dali & Cocky Prince,N/A,N/A
"['historical', 'mystery', 'romance', 'martial arts']",Damo,N/A,N/A
"['business', 'romance', 'drama', 'melodrama']",Dangerous Woman,N/A,N/A
['romance'],Daring Women,N/A,N/A
"['action', 'thriller', 'horror', 'sci-fi']",Dark Hole,6.1,534
"['comedy', 'romance', 'drama']",Dating Agency: Cyrano,6.9,218
"['life', 'drama', 'melodrama']",Dear Archimedes,N/A,N/A
"['romance', 'drama', 'melodrama']",Dear Heaven,N/A,N/A
"['life', 'drama', 'melodrama']",Dear My Friends,N/A,N/A
"['romance', 'drama']",Dear X Who Doesn't Love Me,6.5,62
"['romance', 'drama']",Dear. M,7.2,432
"['historical', 'mystery', 'political']",Deep Rooted Tree,N/A,N/A
['romance'],Definitely Neighbors,N/A,N/A
"['mystery', 'comedy', 'law', 'melodrama']",Delayed Justice,7.1,46
"['food', 'comedy', 'romance']",Delicious Proposal,7.3,36
"['comedy', 'crime', 'drama']",Delightfully Deceitful,7.2,310
"['action', 'comedy', 'martial arts', 'sci-fi']",Delivery,N/A,N/A
"['mystery', 'comedy', 'romance', 'supernatural']",Delivery Man,7,252
"['action', 'comedy', 'romance', 'melodrama']",Descendants of the Sun,8.2,"19,806"
"['thriller', 'mystery', 'drama', 'political']",60,8.1,"1,599"
"['comedy', 'romance', 'drama', 'fantasy']",Destined With You,8,774
"['action', 'thriller', 'mystery', 'drama']",Detectives in Trouble,N/A,N/A
"['comedy', 'romance', 'drama']",Devilish Charm,N/A,N/A
"['action', 'historical', 'romance', 'supernatural']",Diary of a Night Watchman,6.1,161
"['mystery', 'law', 'life', 'drama']",Diary of a Prosecutor,8,380
"['romance', 'life', 'drama']",Did We Really Love?,N/A,N/A
"['action', 'historical', 'romance', 'medical']",Different Dreams,7.9,64
"['comedy', 'romance', 'life', 'drama']",Dinner Mate,7.5,542
"['comedy', 'romance', 'drama']",Discovery of Love,7.1,328
"['thriller', 'mystery', 'law']",Distorted,N/A,N/A
"['music', 'comedy', 'romance', 'life']",Diva of the Deserted Island,N/A,N/A
"['law', 'drama']",Divorce Attorney Shin,7.4,749
"['comedy', 'law', 'romance']",Divorce Lawyer in Love,6.8,119
"['music', 'comedy', 'romance', 'melodrama']",Do Do Sol Sol La La Sol,N/A,N/A
"['music', 'romance', 'drama', 'melodrama']",Do You Like Brahms?,7.6,"1,204"
"['thriller', 'mystery', 'drama', 'medical']",Doctor Detective,6.8,40
"['mystery', 'romance', 'life', 'medical']",Doctor Doctor,N/A,N/A
"['mystery', 'romance', 'life', 'medical']",Doctor John,8.1,"1,844"
"['thriller', 'law', 'drama', 'medical']",Doctor Lawyer,7.2,568
"['thriller', 'law', 'crime', 'medical']",Doctor Prisoner,7.6,"1,000"
"['comedy', 'romance', 'drama', 'medical']",Doctor Slump,N/A,N/A
"['thriller', 'romance', 'drama', 'medical']",Doctor Stranger,7.4,"3,295"
"['action', 'crime', 'youth']",Dokgo Rewind,N/A,N/A
"['romance', 'family']",Don't Cry My Love,N/A,N/A
"['comedy', 'romance']",Don't Dare to Dream,7.8,"1,664"
"['romance', 'drama']",Don't Hesitate,6.9,9
"['thriller', 'romance', 'drama', 'melodrama']",Don't Look Back: The Legend of Orpheus,7.5,258
"['comedy', 'romance', 'drama', 'fantasy']",Doom at Your Service,7.9,"6,107"
