kdrama_name,genre
"['comedy', 'romance', 'fantasy', 'supernatural']", teacher female lead 
"['romance', 'drama', 'melodrama']",family relationship
"['romance', 'drama', 'melodrama']", love triangle 
"['romance', 'drama', 'family']",soap opera
"['romance', 'drama', 'family']", food 
"['horror', 'comedy', 'romance', 'fantasy']",ghostseeing female lead
"['horror', 'comedy', 'romance', 'fantasy']", supernatural power
"['horror', 'comedy', 'romance', 'fantasy']", demon
"['horror', 'comedy', 'romance', 'fantasy']", steamy kiss
"['horror', 'comedy', 'romance', 'fantasy']", aggressive male lead
"['horror', 'comedy', 'romance', 'fantasy']", ghost
"['horror', 'comedy', 'romance', 'fantasy']", tough male lead
"['horror', 'comedy', 'romance', 'fantasy']", lovehate relationship
"['horror', 'comedy', 'romance', 'fantasy']", bromance
"['horror', 'comedy', 'romance', 'fantasy']", eccentric male lead 
"['romance', 'drama', 'family']",
"['comedy', 'romance', 'life', 'youth']",unrequited love
"['comedy', 'romance', 'life', 'youth']", first love
"['comedy', 'romance', 'life', 'youth']", doctor male lead
"['comedy', 'romance', 'life', 'youth']", height difference
"['comedy', 'romance', 'life', 'youth']", bright female lead
"['comedy', 'romance', 'life', 'youth']", female chases male first
"['comedy', 'romance', 'life', 'youth']", love triangle
"['comedy', 'romance', 'life', 'youth']", smart male lead
"['comedy', 'romance', 'life', 'youth']", high school
"['comedy', 'romance', 'life', 'youth']", cold manwarm woman 
"['thriller', 'mystery', 'crime', 'drama']",investigation
"['thriller', 'mystery', 'crime', 'drama']", suspense
"['thriller', 'mystery', 'crime', 'drama']", professor male lead
"['thriller', 'mystery', 'crime', 'drama']", gun violence
"['thriller', 'mystery', 'crime', 'drama']", drug usage
"['thriller', 'mystery', 'crime', 'drama']", financial scandal
"['thriller', 'mystery', 'crime', 'drama']", bankruptcy
"['thriller', 'mystery', 'crime', 'drama']", organized crime
"['thriller', 'mystery', 'crime', 'drama']", family relationship
"['thriller', 'mystery', 'crime', 'drama']", miniseries 
"['business', 'law', 'drama']",lawyer male lead
"['business', 'law', 'drama']", slight romance
"['business', 'law', 'drama']", fatherson relationship
"['business', 'law', 'drama']", corruption
"['business', 'law', 'drama']", amnesia 
"['romance', 'life', 'drama', 'melodrama']",healing
"['romance', 'life', 'drama', 'melodrama']", depression
"['romance', 'life', 'drama', 'melodrama']", slow burn romance
"['romance', 'life', 'drama', 'melodrama']", artificial intelligence
"['romance', 'life', 'drama', 'melodrama']", character development
"['romance', 'life', 'drama', 'melodrama']", tragic past
"['romance', 'life', 'drama', 'melodrama']", insomnia
"['romance', 'life', 'drama', 'melodrama']", secret crush
"['romance', 'life', 'drama', 'melodrama']", trauma
"['romance', 'life', 'drama', 'melodrama']", music 
"['business', 'romance', 'drama', 'melodrama']",car accident
"['business', 'romance', 'drama', 'melodrama']", tough male lead
"['business', 'romance', 'drama', 'melodrama']", orphan male lead
"['business', 'romance', 'drama', 'melodrama']", smart male lead
"['business', 'romance', 'drama', 'melodrama']", birth secret
"['business', 'romance', 'drama', 'melodrama']", switched at birth
"['business', 'romance', 'drama', 'melodrama']", nice male lead
"['business', 'romance', 'drama', 'melodrama']", unexpected pregnancy
"['business', 'romance', 'drama', 'melodrama']", jealousy
"['business', 'romance', 'drama', 'melodrama']", corruption 
"['romance', 'life', 'family', 'melodrama']",hardship
"['romance', 'life', 'family', 'melodrama']", brothers relationship
"['romance', 'life', 'family', 'melodrama']", punishment
"['romance', 'life', 'family', 'melodrama']", hatred
"['romance', 'life', 'family', 'melodrama']", break up
"['romance', 'life', 'family', 'melodrama']", nice female lead
"['romance', 'life', 'family', 'melodrama']", grandmagrandson relationship
"['romance', 'life', 'family', 'melodrama']", repentance
"['romance', 'life', 'family', 'melodrama']", news media
"['romance', 'life', 'family', 'melodrama']", family dispute 
"['romance', 'life', 'drama', 'medical']",poetry
"['romance', 'life', 'drama', 'medical']", nice female lead
"['romance', 'life', 'drama', 'medical']", hardworking female lead
"['romance', 'life', 'drama', 'medical']", strong male lead
"['romance', 'life', 'drama', 'medical']", smart male lead
"['romance', 'life', 'drama', 'medical']", nice male lead
"['romance', 'life', 'drama', 'medical']", female chases male first
"['romance', 'life', 'drama', 'medical']", love triangle
"['romance', 'life', 'drama', 'medical']", hardworking male lead
"['romance', 'life', 'drama', 'medical']", tough male lead 
"['psychological', 'romance', 'youth', 'drama']",lgbtq
"['psychological', 'romance', 'youth', 'drama']", lovehate relationship
"['psychological', 'romance', 'youth', 'drama']", gay romance
"['psychological', 'romance', 'youth', 'drama']", age gap real life
"['psychological', 'romance', 'youth', 'drama']", enemies to friends
"['psychological', 'romance', 'youth', 'drama']", teenager male lead
"['psychological', 'romance', 'youth', 'drama']", archery
"['psychological', 'romance', 'youth', 'drama']", miniseries
"['psychological', 'romance', 'youth', 'drama']", student male lead
"['psychological', 'romance', 'youth', 'drama']", school setting 
"['thriller', 'mystery', 'psychological', 'drama']",gore
"['thriller', 'mystery', 'psychological', 'drama']", suspense
"['thriller', 'mystery', 'psychological', 'drama']", firefighter male lead
"['thriller', 'mystery', 'psychological', 'drama']", psychopath male lead
"['thriller', 'mystery', 'psychological', 'drama']", skilled killer
"['thriller', 'mystery', 'psychological', 'drama']", mental illness
"['thriller', 'mystery', 'psychological', 'drama']", trauma
"['thriller', 'mystery', 'psychological', 'drama']", fatherdaughter relationship
"['thriller', 'mystery', 'psychological', 'drama']", death
"['thriller', 'mystery', 'psychological', 'drama']", kidnapping 
"['romance', 'drama', 'family']",sisters relationship
"['romance', 'drama', 'family']", secondary couple
"['romance', 'drama', 'family']", soap opera
"['romance', 'drama', 'family']", birth secret
"['romance', 'drama', 'family']", love square
"['romance', 'drama', 'family']", rags to riches
"['romance', 'drama', 'family']", rich male lead
"['romance', 'drama', 'family']", unrequited love 
"['romance', 'melodrama']",alzheimers disease
"['romance', 'melodrama']", forbidden love
"['romance', 'melodrama']", neurological disorder 
"['romance', 'drama', 'family']",age gap drama life
"['romance', 'drama', 'family']", age gap real life
"['romance', 'drama', 'family']", older manyounger woman
"['romance', 'drama', 'family']", older womanyounger man
"['romance', 'drama', 'family']", multiple couples 
"['thriller', 'mystery', 'romance', 'fantasy']",time travel
"['thriller', 'mystery', 'romance', 'fantasy']", doppelganger
"['thriller', 'mystery', 'romance', 'fantasy']", transmigration
"['thriller', 'mystery', 'romance', 'fantasy']", butterfly effect
"['thriller', 'mystery', 'romance', 'fantasy']", second chance
"['thriller', 'mystery', 'romance', 'fantasy']", nice male lead
"['thriller', 'mystery', 'romance', 'fantasy']", time altering
"['thriller', 'mystery', 'romance', 'fantasy']", time loop
"['thriller', 'mystery', 'romance', 'fantasy']", friends to lovers
"['thriller', 'mystery', 'romance', 'fantasy']", first love 
"['business', 'comedy', 'romance']",older womanyounger man
"['business', 'comedy', 'romance']", nice male lead
"['business', 'comedy', 'romance']", steamy kiss
"['business', 'comedy', 'romance']", exboyfriend comes back
"['business', 'comedy', 'romance']", warm mancold woman
"['business', 'comedy', 'romance']", male chases female first
"['business', 'comedy', 'romance']", love triangle
"['business', 'comedy', 'romance']", cheerful male lead
"['business', 'comedy', 'romance']", cohabitation
"['business', 'comedy', 'romance']", workplace setting 
"['comedy', 'romance', 'life', 'youth']",web series
"['comedy', 'romance', 'life', 'youth']", multiple mains
"['comedy', 'romance', 'life', 'youth']", secret crush
"['comedy', 'romance', 'life', 'youth']", calm female lead
"['comedy', 'romance', 'life', 'youth']", high school
"['comedy', 'romance', 'life', 'youth']", friends to lovers
"['comedy', 'romance', 'life', 'youth']", misunderstanding
"['comedy', 'romance', 'life', 'youth']", multiple couples
"['comedy', 'romance', 'life', 'youth']", nice male lead
"['comedy', 'romance', 'life', 'youth']", first love 
"['comedy', 'romance', 'youth', 'drama']",multiple mains
"['comedy', 'romance', 'youth', 'drama']", high school
"['comedy', 'romance', 'youth', 'drama']", web series
"['comedy', 'romance', 'youth', 'drama']", multiple couples
"['comedy', 'romance', 'youth', 'drama']", exchange student female lead
"['comedy', 'romance', 'youth', 'drama']", student male lead
"['comedy', 'romance', 'youth', 'drama']", school setting
"['comedy', 'romance', 'youth', 'drama']", teenager female lead
"['comedy', 'romance', 'youth', 'drama']", teenager male lead
"['comedy', 'romance', 'youth', 'drama']", short length series 
"['music', 'romance', 'fantasy', 'melodrama']",female chases male first
"['music', 'romance', 'fantasy', 'melodrama']", exgirlfriend comes back
"['music', 'romance', 'fantasy', 'melodrama']", love triangle
"['music', 'romance', 'fantasy', 'melodrama']", weak female lead
"['music', 'romance', 'fantasy', 'melodrama']", performing arts
"['music', 'romance', 'fantasy', 'melodrama']", time manipulation
"['music', 'romance', 'fantasy', 'melodrama']", rich male lead
"['music', 'romance', 'fantasy', 'melodrama']", supernatural
"['music', 'romance', 'fantasy', 'melodrama']", friendship
"['music', 'romance', 'fantasy', 'melodrama']", sismance 
"['mystery', 'comedy', 'romance', 'fantasy']",murder
"['mystery', 'comedy', 'romance', 'fantasy']", reincarnation
"['mystery', 'comedy', 'romance', 'fantasy']", death
"['mystery', 'comedy', 'romance', 'fantasy']", nice male lead
"['mystery', 'comedy', 'romance', 'fantasy']", hidden identity
"['mystery', 'comedy', 'romance', 'fantasy']", investigation
"['mystery', 'comedy', 'romance', 'fantasy']", second chance
"['mystery', 'comedy', 'romance', 'fantasy']", hardworking female lead
"['mystery', 'comedy', 'romance', 'fantasy']", smart female lead
"['mystery', 'comedy', 'romance', 'fantasy']", sassy female lead 
"['business', 'comedy', 'romance', 'drama']",marketing industry
"['business', 'comedy', 'romance', 'drama']", workplace setting
"['business', 'comedy', 'romance', 'drama']", marketing
"['business', 'comedy', 'romance', 'drama']", advertising
"['business', 'comedy', 'romance', 'drama']", underdog
"['business', 'comedy', 'romance', 'drama']", art
"['business', 'comedy', 'romance', 'drama']", melodrama 
"['thriller', 'mystery', 'drama']",revenge
"['thriller', 'mystery', 'drama']", identical twin male lead
"['thriller', 'mystery', 'drama']", death of a stepfather
"['thriller', 'mystery', 'drama']", writer male lead
"['thriller', 'mystery', 'drama']", reporter female lead
"['thriller', 'mystery', 'drama']", prosecutor male lead
"['thriller', 'mystery', 'drama']", brothers relationship
"['thriller', 'mystery', 'drama']", secret
"['thriller', 'mystery', 'drama']", death
"['thriller', 'mystery', 'drama']", murder 
"['comedy', 'romance', 'youth']",steamy kiss
"['comedy', 'romance', 'youth']", miniseries
"['comedy', 'romance', 'youth']", web series
"['comedy', 'romance', 'youth']", multiple mains
"['comedy', 'romance', 'youth']", friends to lovers
"['comedy', 'romance', 'youth']", fake relationship
"['comedy', 'romance', 'youth']", student female lead
"['comedy', 'romance', 'youth']", student male lead
"['comedy', 'romance', 'youth']", school setting
"['comedy', 'romance', 'youth']", mild sexual content 
['romance'],family 
"['action', 'thriller', 'mystery', 'supernatural']",miniseries
"['action', 'thriller', 'mystery', 'supernatural']", web series
"['action', 'thriller', 'mystery', 'supernatural']", short length series
"['action', 'thriller', 'mystery', 'supernatural']", supernatural power
"['action', 'thriller', 'mystery', 'supernatural']", high school
