kdrama_name,platform
"['historical', 'comedy', 'romance', 'drama']",WeTV
"['historical', 'comedy', 'romance', 'drama']", Netflix
"['historical', 'comedy', 'romance', 'drama']", Apple TV
"['historical', 'comedy', 'romance', 'drama']", iQIYI
"['historical', 'comedy', 'romance', 'drama']", Viki
"['comedy', 'romance', 'life']",
"['food', 'romance', 'drama']",Viki
"['romance', 'life', 'drama', 'fantasy']",
"['romance', 'youth']",
"['thriller', 'mystery', 'drama', 'fantasy']",Viki
"['thriller', 'mystery', 'drama', 'fantasy']", Kocowa
"['food', 'romance', 'drama', 'family']",
"['military', 'historical', 'life', 'drama', 'political']",
"['action', 'comedy', 'romance', 'crime']",
"['mystery', 'psychological', 'romance', 'medical']",Kocowa
"['mystery', 'psychological', 'romance', 'medical']", Viki
"['romance', 'drama', 'family', 'melodrama']",
"['comedy', 'romance', 'family', 'melodrama']",
"['comedy', 'romance', 'drama', 'melodrama']",iQIYI
"['comedy', 'romance', 'drama', 'melodrama']", Viki
"['comedy', 'romance', 'drama', 'melodrama']", Kocowa
"['mystery', 'romance', 'supernatural']",Viki
"['mystery', 'romance', 'supernatural']", Netflix
"['mystery', 'romance', 'supernatural']", Kocowa
"['comedy', 'romance', 'fantasy', 'supernatural']",Viki
"['romance', 'drama', 'melodrama']",
"['romance', 'drama', 'family']",Kocowa
"['romance', 'drama', 'family']", Viki
"['horror', 'comedy', 'romance', 'fantasy']",Viki
"['horror', 'comedy', 'romance', 'fantasy']", Netflix
"['horror', 'comedy', 'romance', 'fantasy']", Apple TV
"['romance', 'drama', 'family']",
"['comedy', 'romance', 'life', 'youth']",Kakao TV
"['comedy', 'romance', 'life', 'youth']", Netflix
"['thriller', 'mystery', 'crime', 'drama']",Netflix
"['business', 'law', 'drama']",Kocowa
"['business', 'law', 'drama']", Viki
"['romance', 'life', 'drama', 'melodrama']",Viki
"['romance', 'life', 'drama', 'melodrama']", Apple TV
"['business', 'romance', 'drama', 'melodrama']",KBS World
"['romance', 'life', 'family', 'melodrama']",Kocowa
"['romance', 'life', 'drama', 'medical']",KDRAMA
"['psychological', 'romance', 'youth', 'drama']",Viki
"['thriller', 'mystery', 'psychological', 'drama']",Viki
"['romance', 'drama', 'family']",KBS World
"['romance', 'melodrama']",
"['romance', 'drama', 'family']",
"['thriller', 'mystery', 'romance', 'fantasy']",Netflix
"['business', 'comedy', 'romance']",iQIYI
"['business', 'comedy', 'romance']", Viki
"['business', 'comedy', 'romance']", Tubi
"['business', 'comedy', 'romance']", Apple TV
"['business', 'comedy', 'romance']", AsianCrush
"['business', 'comedy', 'romance']", Prime Video
"['comedy', 'romance', 'life', 'youth']",WeTV
"['comedy', 'romance', 'life', 'youth']", Netflix
"['comedy', 'romance', 'life', 'youth']", Kocowa
"['comedy', 'romance', 'life', 'youth']", Viki
"['comedy', 'romance', 'life', 'youth']", PlayList Global
"['comedy', 'romance', 'youth', 'drama']",PlayList Global
"['comedy', 'romance', 'youth', 'drama']", WeTV
"['comedy', 'romance', 'youth', 'drama']", Viki
"['music', 'romance', 'fantasy', 'melodrama']",WeTV
"['music', 'romance', 'fantasy', 'melodrama']", Netflix
"['music', 'romance', 'fantasy', 'melodrama']", Apple TV
"['music', 'romance', 'fantasy', 'melodrama']", iQIYI
"['music', 'romance', 'fantasy', 'melodrama']", Viki
"['mystery', 'comedy', 'romance', 'fantasy']",Netflix
"['business', 'comedy', 'romance', 'drama']",Kocowa
"['thriller', 'mystery', 'drama']",Disney
"['thriller', 'mystery', 'drama']", Disney Hotstar
"['thriller', 'mystery', 'drama']", Hulu
"['comedy', 'romance', 'youth']",TVING
['romance'],
"['action', 'thriller', 'mystery', 'supernatural']",
"['mystery', 'law', 'drama', 'fantasy']",Viki
"['military', 'historical', 'drama', 'political']",
"['business', 'life', 'drama']",Viki
"['business', 'life', 'drama']", Netflix
"['action', 'romance', 'drama']",Viki
"['action', 'romance', 'drama']", Kocowa
"['action', 'historical', 'romance', 'fantasy']",Netflix
"['mystery', 'sci-fi', 'fantasy', 'melodrama']",Kocowa
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", SBS World
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", Viki
"['comedy', 'romance', 'political']",Viki
"['comedy', 'romance', 'political']", Kocowa
"['comedy', 'romance', 'political']", SBS World
"['romance', 'drama', 'family', 'melodrama']",Viki
"['romance', 'drama', 'family', 'melodrama']", Kocowa
"['romance', 'drama', 'family', 'melodrama']", KBS World
"['comedy', 'romance', 'political']",Viki
"['comedy', 'romance', 'political']", Kocowa
"['comedy', 'romance', 'political']", SBS World
"['romance', 'crime', 'drama', 'melodrama']",Kocowa
['romance'],
"['action', 'thriller', 'horror', 'sci-fi']",Netflix
"['romance', 'youth']",TVING
"['romance', 'youth']", Viki
"['comedy', 'romance', 'life', 'drama']",Viki
"['adventure', 'life', 'fantasy', 'melodrama']",Viki
"['adventure', 'life', 'fantasy', 'melodrama']", Kakao TV
"['romance', 'drama']",Viki
"['romance', 'drama']", Kocowa
"['romance', 'drama']", Prime Video
"['comedy', 'romance', 'youth', 'melodrama']",Tubi
"['comedy', 'romance', 'youth', 'melodrama']", Viki
"['historical', 'mystery']",
"['romance', 'medical', 'melodrama']",SBS World
"['romance', 'medical', 'melodrama']", Viki
"['romance', 'medical', 'melodrama']", Kocowa
"['romance', 'drama']",
"['comedy', 'romance', 'drama', 'fantasy']",Viki
"['comedy', 'romance', 'drama', 'fantasy']", Kocowa
"['comedy', 'romance', 'drama', 'fantasy']", Apple TV
"['comedy', 'romance', 'drama', 'fantasy']", KBS World
"['comedy', 'romance', 'drama', 'fantasy']", Prime Video
"['comedy', 'romance', 'drama', 'fantasy']", iQIYI
"['romance', 'drama', 'melodrama']",KBS World
"['comedy', 'drama', 'melodrama']",Viki
"['comedy', 'drama', 'melodrama']", Netflix
"['comedy', 'drama', 'melodrama']", Kocowa
"['thriller', 'drama']",Prime Video
"['comedy', 'romance', 'melodrama', 'supernatural']",Disney Hotstar
"['comedy', 'romance', 'melodrama', 'supernatural']", WeTV
"['comedy', 'romance', 'melodrama', 'supernatural']", Netflix
"['comedy', 'romance', 'melodrama', 'supernatural']", Tubi
"['comedy', 'romance', 'melodrama', 'supernatural']", Viki
"['comedy', 'romance', 'melodrama', 'supernatural']", iQIYI
"['comedy', 'romance', 'life', 'drama']",
"['romance', 'drama']",
"['romance', 'drama', 'melodrama']",
"['historical', 'comedy', 'romance', 'supernatural']",Viki
"['historical', 'comedy', 'romance', 'supernatural']", Kocowa
"['comedy', 'romance', 'sci-fi', 'fantasy']",iQIYI
"['comedy', 'romance', 'sci-fi', 'fantasy']", Viki
"['mystery', 'drama', 'political']",Netflix
"['historical', 'romance', 'fantasy', 'political']",Netflix
"['thriller', 'mystery', 'psychological', 'drama']",Viki
"['thriller', 'mystery', 'psychological', 'drama']", TVING
"['comedy', 'romance', 'sci-fi']",
"['action', 'romance', 'drama', 'sports']",
"['law', 'drama', 'political']",Kocowa
"['law', 'drama', 'political']", Viki
"['comedy', 'romance', 'life', 'drama']",WeTV
"['comedy', 'romance', 'life', 'drama']", Netflix
"['comedy', 'romance', 'life', 'drama']", Viki
"['romance', 'life', 'youth']",iQIYI
"['romance', 'life', 'youth']", Viki
"['romance', 'life', 'youth']", Apple TV
"['drama', 'melodrama']",
"['comedy', 'life', 'drama']",
"['thriller', 'mystery', 'crime', 'fantasy']",WeTV
"['thriller', 'mystery', 'crime', 'fantasy']", Netflix
"['thriller', 'mystery', 'crime', 'fantasy']", iQIYI
"['thriller', 'mystery', 'crime', 'fantasy']", Viki
"['mystery', 'business', 'law', 'romance']",Viki
"['business', 'comedy', 'romance']",Kocowa
"['thriller', 'mystery', 'drama']",Kocowa
"['thriller', 'mystery', 'drama']", Viki
"['comedy', 'romance', 'drama', 'melodrama']",
"['action', 'business', 'comedy', 'romance']",Viki
"['action', 'business', 'comedy', 'romance']", Netflix
"['action', 'business', 'comedy', 'romance']", iQIYI
"['action', 'thriller', 'mystery', 'comedy']",iQIYI
"['action', 'thriller', 'mystery', 'comedy']", Netflix
"['action', 'thriller', 'mystery', 'comedy']", Prime Video
"['action', 'thriller', 'mystery', 'comedy']", TVING
"['action', 'mystery', 'crime', 'political']",KDRAMA
"['action', 'mystery', 'crime', 'political']", Netflix
"['action', 'thriller', 'psychological', 'crime']",Tubi
"['action', 'mystery', 'crime', 'political']",KDRAMA
"['action', 'mystery', 'crime', 'political']", Netflix
"['comedy', 'romance', 'drama']",
"['adventure', 'romance', 'drama', 'sports']",Kocowa
"['action', 'mystery', 'comedy', 'law']",Viki
"['action', 'mystery', 'comedy', 'law']", Kocowa
"['action', 'mystery', 'comedy', 'law']", Wavve
"['thriller', 'comedy', 'law', 'romance']",Kocowa
['drama'],
"['historical', 'romance']",
"['romance', 'drama', 'melodrama']",SBS World
"['romance', 'drama', 'melodrama']", Viki
"['romance', 'drama', 'melodrama']", Kocowa
"['romance', 'drama']",
"['historical', 'romance', 'drama', 'sports']",
"['thriller', 'mystery', 'drama']",Viki
"['comedy', 'romance', 'life', 'melodrama']",Disney Hotstar
"['comedy', 'romance', 'life', 'melodrama']", WeTV
"['comedy', 'romance', 'life', 'melodrama']", Netflix
"['comedy', 'romance', 'life', 'melodrama']", Apple TV
"['comedy', 'romance', 'life', 'melodrama']", Viki
"['comedy', 'romance', 'drama', 'family']",KBS World
"['comedy', 'romance', 'drama', 'family']", Kocowa
"['comedy', 'romance', 'drama']",
"['comedy', 'romance', 'drama', 'family']",
"['business', 'comedy', 'romance', 'drama']",WeTV
"['business', 'comedy', 'romance', 'drama']", Apple TV
"['business', 'comedy', 'romance', 'drama']", Viki
"['romance', 'life', 'drama']",
"['romance', 'drama']",
"['comedy', 'romance', 'drama']",Viki
"['comedy', 'romance', 'drama']", Kocowa
"['comedy', 'romance', 'drama', 'melodrama']",KBS World
"['comedy', 'romance', 'drama', 'melodrama']", Viki
"['comedy', 'romance', 'drama', 'melodrama']", Kocowa
"['thriller', 'mystery', 'life', 'melodrama']",Disney Hotstar
"['thriller', 'mystery', 'life', 'melodrama']", Viki
"['comedy', 'romance', 'life', 'drama']",Disney Hotstar
"['comedy', 'romance', 'life', 'drama']", WeTV
"['comedy', 'romance', 'life', 'drama']", Netflix
"['comedy', 'romance', 'life', 'drama']", Apple TV
"['comedy', 'romance', 'life', 'drama']", iQIYI
"['comedy', 'romance', 'life', 'drama']", Viki
"['comedy', 'romance', 'life', 'drama']",Disney Hotstar
"['comedy', 'romance', 'life', 'drama']", WeTV
"['comedy', 'romance', 'life', 'drama']", Netflix
"['comedy', 'romance', 'life', 'drama']", Apple TV
"['comedy', 'romance', 'life', 'drama']", iQIYI
"['comedy', 'romance', 'life', 'drama']", Viki
"['comedy', 'romance', 'drama']",Kocowa
"['comedy', 'romance', 'drama']", Viki
"['mystery', 'comedy']",Kocowa
"['mystery', 'comedy']", Netflix
"['mystery', 'comedy']", Viki
"['comedy', 'romance', 'life']",Netflix
"['business', 'drama', 'medical', 'political']",Viki
"['mystery', 'comedy', 'romance', 'supernatural']",TVING
"['mystery', 'comedy', 'romance', 'supernatural']", Netflix
"['comedy', 'romance', 'drama', 'family']",Viki
"['comedy', 'romance', 'drama', 'family']", Kocowa
"['food', 'business', 'comedy', 'romance']",Viki
"['thriller', 'mystery', 'psychological', 'drama']",Disney Hotstar
"['thriller', 'mystery', 'psychological', 'drama']", WeTV
"['thriller', 'mystery', 'psychological', 'drama']", Netflix
"['thriller', 'mystery', 'psychological', 'drama']", Viki
"['thriller', 'romance', 'crime', 'drama']",
"['comedy', 'romance', 'youth', 'fantasy']",Viki
"['comedy', 'romance', 'youth', 'fantasy']", Kocowa
"['action', 'crime', 'drama']",Disney Hotstar
"['action', 'crime', 'drama']", Disney
"['action', 'crime', 'drama']", Hulu
"['thriller', 'mystery', 'romance', 'drama']",Viki
"['thriller', 'mystery', 'romance', 'drama']", Kocowa
"['thriller', 'mystery', 'romance', 'drama']", Apple TV
"['thriller', 'business', 'drama', 'melodrama']",KBS World
"['thriller', 'mystery', 'law', 'drama']",Hulu
"['thriller', 'mystery', 'law', 'drama']",Hulu
"['comedy', 'romance']",
"['romance', 'sports']",Tubi
"['romance', 'sports']", AsianCrush
"['comedy', 'romance', 'drama', 'melodrama']",Viki
"['comedy', 'romance', 'drama', 'melodrama']", Netflix
"['comedy', 'romance', 'drama', 'melodrama']", Kocowa
"['comedy', 'romance', 'drama', 'melodrama']", SBS World
"['comedy', 'life', 'drama', 'melodrama']",Viki
"['comedy', 'life', 'drama', 'melodrama']", WeTV
"['comedy', 'life', 'drama', 'melodrama']", Netflix
"['comedy', 'life', 'drama', 'melodrama']", iQIYI
"['romance', 'youth', 'fantasy']",
"['comedy', 'romance', 'drama']",
"['thriller', 'mystery', 'supernatural']",
"['comedy', 'life', 'drama']",Viki
"['comedy', 'life', 'drama']", Netflix
"['action', 'adventure', 'drama', 'sci-fi']",Netflix
"['romance', 'drama', 'fantasy', 'melodrama']",Viki
"['romance', 'drama', 'fantasy', 'melodrama']", Netflix
"['romance', 'drama', 'fantasy', 'melodrama']", Kocowa
"['comedy', 'romance', 'drama', 'supernatural']",Viki
"['comedy', 'romance', 'drama', 'supernatural']", Kocowa
"['comedy', 'romance', 'drama', 'supernatural']", KBS World
"['comedy', 'romance', 'melodrama']",
"['thriller', 'mystery', 'drama']",TVING
"['action', 'romance', 'medical', 'supernatural']",Viki
"['action', 'romance', 'medical', 'supernatural']", Netflix
"['action', 'romance', 'medical', 'supernatural']", Kocowa
"['action', 'romance', 'medical', 'supernatural']", KBS World
"['historical', 'romance', 'drama', 'political']",
"['action', 'thriller', 'crime', 'drama']",Netflix
"['historical', 'drama', 'political']",Disney Hotstar
"['military', 'romance', 'drama']",
"['romance', 'drama', 'family']",
"['law', 'romance', 'drama', 'melodrama']",Viki
"['thriller', 'romance', 'drama', 'fantasy']",Viki
"['thriller', 'romance', 'drama', 'fantasy']", WeTV
"['action', 'romance']",
"['comedy', 'romance', 'life', 'melodrama']",TVING
"['comedy', 'romance', 'life', 'melodrama']", Prime Video
"['mystery', 'romance', 'fantasy', 'melodrama']",Viki
"['mystery', 'romance', 'fantasy', 'melodrama']", Kocowa
"['mystery', 'romance', 'fantasy', 'melodrama']", iQIYI
"['historical', 'romance', 'life', 'drama']",Viki
"['comedy', 'romance', 'youth', 'drama']",Netflix
"['comedy', 'romance', 'youth', 'drama']", Prime Video
"['comedy', 'romance', 'youth', 'drama']", Apple TV
"['comedy', 'romance', 'youth', 'drama']", Tubi
"['comedy', 'romance', 'youth', 'drama']", AsianCrush
"['comedy', 'romance', 'youth', 'drama']", Viki
"['romance', 'drama', 'medical']",Kocowa
"['mystery', 'comedy']",Viki
"['mystery', 'comedy']", Kocowa
"['mystery', 'comedy']", Wavve
"['drama', 'family']",SBS World
"['drama', 'family']", Viki
"['drama', 'family']", Kocowa
"['drama', 'family']", Apple TV
"['drama', 'family']",SBS World
"['drama', 'family']", Viki
"['drama', 'family']", Kocowa
"['drama', 'family']", Apple TV
"['comedy', 'romance', 'melodrama']",
"['comedy', 'romance', 'drama', 'fantasy']",Viki
"['comedy', 'romance', 'drama', 'fantasy']", Kocowa
"['action', 'historical', 'romance', 'political']",Kocowa
"['mystery', 'comedy', 'romance', 'supernatural']",Viki
"['romance', 'drama', 'family']",
"['comedy', 'romance', 'family', 'melodrama']",Viki
"['comedy', 'romance', 'family', 'melodrama']", Kocowa
"['comedy', 'romance', 'family', 'melodrama']",Viki
"['comedy', 'romance', 'family', 'melodrama']", Kocowa
"['horror', 'comedy', 'romance', 'supernatural']",Apple TV
"['horror', 'comedy', 'romance', 'supernatural']", Tubi
"['horror', 'comedy', 'romance', 'supernatural']", Prime Video
"['comedy', 'romance', 'drama']",Tubi
"['business', 'romance', 'drama', 'melodrama']",
"['thriller', 'mystery', 'drama', 'fantasy']",TVING
"['thriller', 'mystery', 'drama', 'fantasy']", Netflix
"['comedy', 'romance', 'drama']",Netflix
"['music', 'drama']",Viki
"['romance', 'drama', 'melodrama']",Hulu
"['romance', 'drama', 'family']",Viki
"['romance', 'life', 'drama']",Apple TV
"['romance', 'life', 'drama']", Viki
"['comedy', 'law', 'romance', 'life']",
"['romance', 'drama', 'family']",
"['historical', 'comedy', 'romance', 'drama']",Viki
"['historical', 'comedy', 'romance', 'drama']", Kocowa
"['historical', 'comedy', 'romance', 'drama']", KBS World
"['thriller', 'mystery', 'comedy', 'romance']",
"['thriller', 'mystery', 'drama']",Netflix
"['thriller', 'mystery', 'comedy', 'romance']",Viki
"['thriller', 'mystery', 'comedy', 'romance']", Kocowa
"['thriller', 'mystery', 'comedy', 'romance']", Apple TV
"['mystery', 'comedy', 'romance', 'youth']",Kocowa
"['mystery', 'comedy', 'romance', 'youth']", Viki
"['mystery', 'comedy', 'romance', 'youth']", SBS World
"['mystery', 'comedy', 'romance', 'youth']",Kocowa
"['mystery', 'comedy', 'romance', 'youth']", Viki
"['mystery', 'comedy', 'romance', 'youth']", SBS World
['drama'],KBS World
"['psychological', 'romance', 'life', 'drama']",Disney Hotstar
"['psychological', 'romance', 'life', 'drama']", WeTV
"['psychological', 'romance', 'life', 'drama']", Tubi
"['psychological', 'romance', 'life', 'drama']", KDRAMA
"['psychological', 'romance', 'life', 'drama']", Apple TV
"['psychological', 'romance', 'life', 'drama']", iQIYI
"['psychological', 'romance', 'life', 'drama']", Viki
"['comedy', 'romance', 'drama', 'melodrama']",Viki
"['comedy', 'romance', 'drama', 'melodrama']", Kocowa
"['comedy', 'romance', 'drama', 'melodrama']", SBS World
"['mystery', 'romance', 'drama', 'melodrama']",
"['mystery', 'drama', 'supernatural']",
"['comedy', 'romance', 'supernatural', 'political']",Viki
"['comedy', 'romance', 'supernatural', 'political']", WeTV
"['comedy', 'romance', 'supernatural', 'political']", Apple TV
