kdrama_name,actor
"['romance', 'drama', 'family']", Shin Da Eun
"['romance', 'drama', 'family']", Seo Ji Suk
"['romance', 'drama', 'family']", Hong Soo Hyun
"['romance', 'drama', 'family']", Choi Soo Rin
"['romance', 'drama', 'family']", Kang  Suk Woo
"['comedy', 'romance', 'life', 'youth']",Kim Yo Han
"['comedy', 'romance', 'life', 'youth']", So Ju Yeon
"['comedy', 'romance', 'life', 'youth']", Yeo Hoe Hyun
"['comedy', 'romance', 'life', 'youth']", Jo Hye Joo
"['comedy', 'romance', 'life', 'youth']", Jung Jae Oh
"['comedy', 'romance', 'life', 'youth']", Kim Dong Kyu
"['thriller', 'mystery', 'crime', 'drama']",Jung Woo
"['thriller', 'mystery', 'crime', 'drama']", Park Hee Soon 
"['thriller', 'mystery', 'crime', 'drama']", Yoon Jin Seo
"['thriller', 'mystery', 'crime', 'drama']", Park Ji Yeon
"['thriller', 'mystery', 'crime', 'drama']", Choi Moo Sung
"['thriller', 'mystery', 'crime', 'drama']", Kim Sung Oh
"['business', 'law', 'drama']",Kim Myung Min
"['business', 'law', 'drama']", Kim Sang Joong
"['business', 'law', 'drama']", Park Min Young
"['business', 'law', 'drama']", Oh Jung Se
"['business', 'law', 'drama']", Jin Yi Han
"['business', 'law', 'drama']", Kim Seo Hyung
"['romance', 'life', 'drama', 'melodrama']",Jung Hae In
"['romance', 'life', 'drama', 'melodrama']", Chae Soo Bin
"['romance', 'life', 'drama', 'melodrama']", Lee  Ha Na 
"['romance', 'life', 'drama', 'melodrama']", Kim Sung Gyu
"['romance', 'life', 'drama', 'melodrama']", Park Ju Hyun
"['romance', 'life', 'drama', 'melodrama']", Lee Sang Hee
"['business', 'romance', 'drama', 'melodrama']",Oh Chang Seok
"['business', 'romance', 'drama', 'melodrama']", Yoon So Yi
"['business', 'romance', 'drama', 'melodrama']", Choi Sung Jae
"['business', 'romance', 'drama', 'melodrama']", Ha Shi Eun
"['business', 'romance', 'drama', 'melodrama']", Jung Han Yong
"['business', 'romance', 'drama', 'melodrama']", Choi Jung Woo
"['romance', 'life', 'family', 'melodrama']",Han Chae Young
"['romance', 'life', 'family', 'melodrama']", Bae Soo Bin
"['romance', 'life', 'family', 'melodrama']", Oh Yoon Ah
"['romance', 'life', 'family', 'melodrama']", Lee Chun Hee
"['romance', 'life', 'family', 'melodrama']", Wang Seok Hyun
"['romance', 'life', 'family', 'melodrama']", Kim Dong Yoon
"['romance', 'life', 'drama', 'medical']",Lee Yoo Bi
"['romance', 'life', 'drama', 'medical']", Lee Joon Hyuk
"['romance', 'life', 'drama', 'medical']", Jang Dong Yoon
"['romance', 'life', 'drama', 'medical']", Seo Hyun Chul
"['romance', 'life', 'drama', 'medical']", Lee Chae Young
"['romance', 'life', 'drama', 'medical']", Kim Jae Bum
"['psychological', 'romance', 'youth', 'drama']",Kim Jae Han
"['psychological', 'romance', 'youth', 'drama']", Shin Ye Chan
"['psychological', 'romance', 'youth', 'drama']", Shin Si Ye
"['psychological', 'romance', 'youth', 'drama']", Jeong Ho Gyun
"['psychological', 'romance', 'youth', 'drama']", Kim Dong Won
"['psychological', 'romance', 'youth', 'drama']", Oh Joo Seok
"['thriller', 'mystery', 'psychological', 'drama']",Jin Goo
"['thriller', 'mystery', 'psychological', 'drama']", Ha Do Gwon
"['thriller', 'mystery', 'psychological', 'drama']", Lee Won Keun
"['thriller', 'mystery', 'psychological', 'drama']", Im Hwa Young
"['thriller', 'mystery', 'psychological', 'drama']", Cho Yu Ha
"['thriller', 'mystery', 'psychological', 'drama']", Han Yi Jin
"['romance', 'drama', 'family']",Yoo Geon
"['romance', 'drama', 'family']", Park Jae Jung
"['romance', 'drama', 'family']", Lee Hae In
"['romance', 'drama', 'family']", Park Se Young
"['romance', 'drama', 'family']", Hong Jin Hee 
"['romance', 'drama', 'family']", Yoon Chae Yi
"['romance', 'melodrama']",Kim Rae Won
"['romance', 'melodrama']", Park Soo Ae
"['romance', 'melodrama']", Lee Sang Woo
"['romance', 'melodrama']", Jung Yoo Mi
"['romance', 'melodrama']", Kim Hae Sook
"['romance', 'melodrama']", Oh Mi Yun
"['romance', 'drama', 'family']",Seo Young Hee
"['romance', 'drama', 'family']", Ji Hyun Woo
"['romance', 'drama', 'family']", Kim So Eun
"['romance', 'drama', 'family']", Ryu Jin
"['romance', 'drama', 'family']", Gu Seung Hyun
"['romance', 'drama', 'family']", Shim Hyung Tak
"['thriller', 'mystery', 'romance', 'fantasy']",Ahn Hyo Seop
