kdrama_name,tags
Descendants of the Sun, calm male lead
Descendants of the Sun, earthquake 
What's Wrong with Secretary Kim,adapted from a webtoon
What's Wrong with Secretary Kim, steamy kiss
What's Wrong with Secretary Kim, bossemployee relationship
What's Wrong with Secretary Kim, rich male lead
What's Wrong with Secretary Kim, male chases female first
What's Wrong with Secretary Kim, calm female lead
What's Wrong with Secretary Kim, smart female lead
What's Wrong with Secretary Kim, trauma
What's Wrong with Secretary Kim, phobia
What's Wrong with Secretary Kim, strong female lead 
The Silent Sea,dystopia
The Silent Sea, environmental issues
The Silent Sea, space mission
The Silent Sea, investigation
The Silent Sea, future
The Silent Sea, water shortage
The Silent Sea, space travel
The Silent Sea, outer space
The Silent Sea, deadly mission
The Silent Sea, drama 
Snowdrop,s
Snowdrop, political intrigue
Snowdrop, love at first sight
Snowdrop, student
Snowdrop, dormitory
Snowdrop, university
Snowdrop, conspiracy
Snowdrop, hostage
Snowdrop, impulsive female lead
Snowdrop, north and south korea 
Adamas,revenge
Adamas, twins
Adamas, death of a stepfather
Adamas, writer male lead
Adamas, reporter female lead
Adamas, brothers relationship
Adamas, secret
Adamas, death
Adamas, murder
Adamas, investigation 
Hellbound,dark fantasy
Hellbound, supernatural phenomena
Hellbound, extreme violence
Hellbound, adapted from a webtoon
Hellbound, investigation
Hellbound, suspense
Hellbound, religion
Hellbound, cult
Hellbound, fantasy
Hellbound, detective fiction 
Tomorrow,grim reaper male lead
Tomorrow, underworld
Tomorrow, death
Tomorrow, suicide
Tomorrow, afterlife
Tomorrow, suicide prevention
Tomorrow, grim reaper female lead
Tomorrow, attempted suicide
Tomorrow, coma
Tomorrow, team leader female lead 
Tomorrow,time travel
Tomorrow, time manipulation
Tomorrow, eccentric female lead
Tomorrow, steamy kiss
Tomorrow, successful male lead
Tomorrow, rich manpoor woman
Tomorrow, adult romance
Tomorrow, cold manwarm woman
Tomorrow, clingy female lead
Tomorrow, hardworking female lead 
Backstreet Rookie,hardworking female lead
Backstreet Rookie, badass female lead
Backstreet Rookie, bossemployee relationship
Backstreet Rookie, female chases male first
Backstreet Rookie, nice female lead
Backstreet Rookie, adapted from a webtoon
Backstreet Rookie, strong female lead
Backstreet Rookie, store manager
Backstreet Rookie, misunderstanding
Backstreet Rookie, slow burn romance 
Mr. Sunshine,strong male lead
Mr. Sunshine, independent female lead
Mr. Sunshine, strong female lead
Mr. Sunshine, smart male lead
Mr. Sunshine, bromance
Mr. Sunshine, gun violence
Mr. Sunshine, female lead action scenes
Mr. Sunshine, rebellion
Mr. Sunshine, japanese colonial rule
Mr. Sunshine, swordfight 
Start-Up,lying
Start-Up, competition
Start-Up, app developer
Start-Up, hardworking male lead
Start-Up, hardworking female lead
Start-Up, artificial intelligence
Start-Up, nice female lead
Start-Up, love triangle
Start-Up, unrequited love
Start-Up, grandmagranddaughter relationship 
Flower of Evil,deception
Flower of Evil, family secret
Flower of Evil, mystery
Flower of Evil, suspense
Flower of Evil, smart female lead
Flower of Evil, hidden personality
Flower of Evil, antisocial personality disorder
Flower of Evil, investigation
Flower of Evil, murder
Flower of Evil, hidden identity 
Our Blues,multiple mains
Our Blues, anthology
Our Blues, island setting
Our Blues, middleaged female lead
Our Blues, middleaged male lead
Our Blues, age gap drama life
Our Blues, age gap real life
Our Blues, slow burn story
Our Blues, family
Our Blues, friendship 
Nevertheless,steamy kiss
Nevertheless, sexual content
Nevertheless, fast paced romance
Nevertheless, weak female lead
Nevertheless, multiple couples
Nevertheless, friends with benefits
Nevertheless, love triangle
Nevertheless, adapted from a webtoon
Nevertheless, playboy male lead
Nevertheless, lovehate relationship 
Run On,strong female lead
Run On, secondary couple
Run On, calm male lead
Run On, quirky humour
Run On, multiple couples
Run On, nice male lead
Run On, hardworking female lead
Run On, smart female lead
Run On, eccentric male lead
Run On, famous male lead 
Our Beloved Summer,lovers reunited
Our Beloved Summer, high school sweethearts
Our Beloved Summer, first love
Our Beloved Summer, healing
Our Beloved Summer, flashback to past
Our Beloved Summer, lovehate relationship
Our Beloved Summer, interview
Our Beloved Summer, slice of life
Our Beloved Summer, coming of age
Our Beloved Summer, bickering couple 
Stranger,suspense
Stranger, investigation
Stranger, corruption
Stranger, crime solving duo
Stranger, murder
Stranger, calm male lead
Stranger, alexithymia
Stranger, emotionless male lead
Stranger, strong female lead
Stranger, smart female lead 
Doom at Your Service,terminal illness
Doom at Your Service, illness
Doom at Your Service, brain cancer
Doom at Your Service, hardworking female lead
Doom at Your Service, unlucky female lead
Doom at Your Service, glioblastoma
