Kdrama_name,Episodes,start airing,end airing,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers
Tell Me Your Wish,122,23-Jun-14,2-Jan-15,MBC,35,7.2,59,48021,10009,15+ - Teens 15 or older,421
Why Her,16,3-Jun-22,23-Jul-22,SBS Viki ViuTV,70,8.2,5680,1012,423,15+ - Teens 15 or older,"21,653"
While You Were Sleeping,120,16-May-11,9-Nov-11,SBS,33,7.7,283,39981,4867,13+ - Teens 13 or older,"1,437"
Tale of the Nine Tailed,16,7-Oct-20,3-Dec-20,tvN,70,8.4,29869,536,65,15+ - Teens 15 or older,"66,900"
Extraordinary You,32,2-Oct-19,21-Nov-19,MBC,35,8.4,40681,466,33,13+ - Teens 13 or older,"82,907"
Reply 1988,20,6-Nov-15,16-Jan-16,tvN,95,9.1,33789,15,46,15+ - Teens 15 or older,"76,404"
Hospital Playlist,12,12-Mar-20,28-May-20,Netflix tvN,90,9.1,32808,9,54,15+ - Teens 15 or older,"72,047"
Boys Over Flowers,25,5-Jan-09,31-Mar-09,KBS2,65,7.6,72974,3520,8,15+ - Teens 15 or older,"128,527"
My Mister,16,21-Mar-18,17-May-18,tvN,77,9.1,20622,13,99,15+ - Teens 15 or older,"54,028"
Sell Your Haunted House,16,14-Apr-21,9-Jun-21,KBS2,70,8.4,8171,508,490,15+ - Teens 15 or older,"19,283"
Because This Is My First Life,16,9-Oct-17,28-Nov-17,tvN,70,8.5,46139,350,32,15+ - Teens 15 or older,"83,211"
Monster,16,19-Feb-21,10-Apr-21,jTBC,65,8.8,15102,86,193,15+ - Teens 15 or older,"36,753"
Today's Webtoon,16,29-Jul-22,17-Sep-22,SBS Viki ViuTV,70,8.2,1099,863,956,15+ - Teens 15 or older,"10,633"
Taxi Driver,16,9-Apr-21,29-May-21,SBS,65,8.8,14646,79,222,18+ Restricted (violence & profanity),"34,101"
The Empress Ki,51,28-Oct-13,29-Apr-14,MBC,65,8.6,14284,223,205,15+ - Teens 15 or older,"35,494"
My Liberation Diary,16,9-Apr-22,29-May-22,jTBC Netflix,67,8.7,8439,155,448,15+ - Teens 15 or older,"20,498"
My Liberation Diary,16,9-Apr-22,29-May-22,jTBC Netflix,67,8.7,8439,155,448,15+ - Teens 15 or older,"20,498"
The Sound of Magic,6," May  6, 2022",N/A,Netflix,70,8.4,13626,493,268,15+ - Teens 15 or older,"30,098"
Something in the Rain,16,30-Mar-18,19-May-18,jTBC Netflix,75,8,23378,1655,98,15+ - Teens 15 or older,"54,155"
My Roommate Is a Gumiho,16,26-May-21,15-Jul-21,iQiyi tvN,70,8.4,26655,482,100,15+ - Teens 15 or older,"53,829"
My Love from Another Star,21,18-Dec-13,27-Feb-14,SBS,58,8.6,67602,240,11,15+ - Teens 15 or older,"125,066"
Star's Lover,21,18-Dec-13,27-Feb-14,SBS,58,8.6,67602,240,11,15+ - Teens 15 or older,"125,066"
Healer,20,8-Dec-14,10-Feb-15,KBS2,60,8.9,58226,51,15,15+ - Teens 15 or older,"114,997"
Shooting Stars,16,22-Apr-22,11-Jun-22,tvN,60,8.4,15035,416,226,15+ - Teens 15 or older,"33,886"
Juvenile Justice,10," Feb 25, 2022",N/A,Netflix,62,8.6,7843,229,655,18+ Restricted (violence & profanity),"15,305"
Extracurricular,10," Apr 29, 2020",N/A,Netflix,55,8.5,27158,371,97,18+ Restricted (violence & profanity),"54,315"
D.P.,6," Aug 27, 2021",N/A,Netflix,50,8.8,16556,69,242,15+ - Teens 15 or older,"31,996"
Dr. Romantic,20,7-Nov-16,16-Jan-17,SBS,60,8.7,22806,142,122,15+ - Teens 15 or older,"48,470"
Weightlifting Fairy Kim Bok-Joo,16,16-Nov-16,11-Jan-17,MBC,60,8.8,81306,71,4,15+ - Teens 15 or older,"145,516"
Heirs,20,9-Oct-13,12-Dec-13,SBS,60,7.6,68040,3656,10,15+ - Teens 15 or older,"126,414"
Anna,6,24-Jun-22,8-Jul-22,N/A,60,7.9,2230,2010,1287,15+ - Teens 15 or older,"7,970"
The Tale of Nokdu,32,30-Sep-19,25-Nov-19,KBS2,33,8.4,18514,506,131,15+ - Teens 15 or older,"46,221"
Romance Is a Bonus Book,16,26-Jan-19,17-Mar-19,Netflix tvN,62,8.2,38232,859,43,15+ - Teens 15 or older,"78,398"
Signal,16,22-Jan-16,12-Mar-16,tvN,75,9,26946,35,72,15+ - Teens 15 or older,"64,571"
Prison Playbook,16,22-Nov-17,18-Jan-18,Netflix tvN,92,9,21977,17,84,15+ - Teens 15 or older,"58,677"
Yumi's Cells,14,17-Sep-21,30-Oct-21,tvN,70,8.5,13439,362,258,13+ - Teens 13 or older,"30,762"
Ghost Doctor,16,3-Jan-22,22-Feb-22,tvN,70,8.6,9188,177,416,15+ - Teens 15 or older,"21,811"
Doctor Lawyer,16,3-Jun-22,23-Jul-22,MBC,63,7.9,1451,2084,1460,15+ - Teens 15 or older,"6,889"
Good Doctor,20,5-Aug-13,8-Oct-13,KBS2,65,8.3,17793,562,183,15+ - Teens 15 or older,"37,694"
Beauty Inside,16,1-Oct-18,20-Nov-18,jTBC,70,8.4,27151,519,81,15+ - Teens 15 or older,"60,364"
