Kdrama_name,Episodes,start airing,end airing,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers
Doctor Stranger,20,5-May-14,8-Jul-14,SBS,60,7.9,29100,1970,76,15+ - Teens 15 or older,"63,002"
He is Psychometric,16,11-Mar-19,30-Apr-19,tvN,64,8.4,27992,527,66,15+ - Teens 15 or older,"65,891"
"From Now On, Showtime!",16,23-Apr-22,12-Jun-22,MBC ViuTV,73,8.4,5037,423,725,15+ - Teens 15 or older,"14,120"
Father Is Strange,52,4-Mar-17,27-Aug-17,KBS2,66,8.6,10148,225,340,15+ - Teens 15 or older,"25,175"
Train,12,11-Jul-20,16-Aug-20,OCN,60,8.4,6477,437,597,15+ - Teens 15 or older,"16,806"
The Cursed,12,10-Feb-20,17-Mar-20,tvN,63,7.9,1927,2105,1694,15+ - Teens 15 or older,"5,812"
You Are Beautiful,16,7-Oct-09,26-Nov-09,SBS,65,8,49391,1424,37,15+ - Teens 15 or older,"80,492"
To the Beautiful You,16,15-Aug-12,4-Oct-12,SBS,64,7.6,31374,3663,87,15+ - Teens 15 or older,"57,094"
Nobody Knows,16,2-Mar-20,21-Apr-20,SBS,70,8.5,3784,279,687,15+ - Teens 15 or older,"14,683"
Heartless City,20,27-May-13,30-Jul-13,jTBC,60,8.6,9169,242,385,15+ - Teens 15 or older,"22,720"
Undercover,16,23-Apr-21,12-Jun-21,jTBC,75,7.9,1150,1683,1761,15+ - Teens 15 or older,"5,502"
Peurodyusa,12,15-May-15,20-Jun-15,KBS2,85,7.6,13807,3620,221,15+ - Teens 15 or older,"34,128"
Kill It,12,23-Mar-19,28-Apr-19,OCN,60,8.2,11151,888,260,15+ - Teens 15 or older,"30,672"
Mad Dog,16,11-Oct-17,30-Nov-17,KBS2,60,8.4,10517,445,319,15+ - Teens 15 or older,"26,410"
Man to Man,16,21-Apr-17,10-Jun-17,jTBC,65,7.8,11132,2285,314,15+ - Teens 15 or older,"26,570"
High Kick!,167,6-Nov-06,13-Jul-07,MBC,30,8.1,1202,1227,2418,13+ - Teens 13 or older,"3,832"
Color Rush,8,30-Dec-20,21-Jan-21,LINE TV Viki ViuTV,15,7.7,22802,2772,202,15+ - Teens 15 or older,"36,151"
VIP,32,28-Oct-19,24-Dec-19,SBS,30,8,3767,1445,1026,15+ - Teens 15 or older,"9,949"
Seven Day Queen,20,31-May-17,3-Aug-17,KBS2,60,8.3,6406,765,536,15+ - Teens 15 or older,"18,183"
Birth of a Beauty,21,1-Nov-14,11-Jan-15,SBS,60,7.5,13829,3940,277,15+ - Teens 15 or older,"29,315"
Imitation,12,7-May-21,23-Jul-21,KBS2 Viki,70,8.1,10623,1348,332,15+ - Teens 15 or older,"25,950"
Welcome to Wedding Hell,12,23-May-22,15-Jun-22,Daum Kakao TV Netflix,38,7.3,1161,5133,2261,15+ - Teens 15 or older,"4,180"
School 2021,16,24-Nov-21,13-Jan-22,KBS2 Viki,63,8,4495,1613,634,15+ - Teens 15 or older,"15,905"
Once Again,100,28-Mar-20,13-Sep-20,KBS2,35,8.6,4055,231,954,15+ - Teens 15 or older,"10,661"
Dear X Who Doesn't Love Me,10,14-Jul-22,28-Jul-22,iQiyi Viki,30,7.1,583,5491,3038,15+ - Teens 15 or older,"2,879"
The Light in Your Eyes,12,11-Feb-19,19-Mar-19,jTBC Viki,60,8.2,6991,957,430,15+ - Teens 15 or older,"21,325"
Watcher,16,6-Jul-19,25-Aug-19,OCN,65,8.3,4108,655,779,15+ - Teens 15 or older,"13,350"
Live,18,10-Mar-18,6-May-18,Netflix tvN,75,8.7,7114,160,502,15+ - Teens 15 or older,"18,992"
The King 2 Hearts,20,21-Mar-12,24-May-12,MBC,65,8.2,18225,785,174,15+ - Teens 15 or older,"38,489"
Life on Mars,16,9-Jun-18,5-Aug-18,OCN,65,8.8,8719,82,361,15+ - Teens 15 or older,"24,055"
Lost,16,4-Sep-21,24-Oct-21,iQiyi jTBC,70,8.4,2358,410,1067,15+ - Teens 15 or older,"9,558"
"Hello, Me!",16,17-Feb-21,8-Apr-21,KBS2 Netflix,70,8,6003,1475,741,15+ - Teens 15 or older,"13,751"
My Absolute Boyfriend,40,15-May-19,11-Jul-19,SBS Viki,35,7.4,6753,4698,459,15+ - Teens 15 or older,"20,147"
Oh My Baby,16,13-May-20,2-Jul-20,tvN,65,7.8,4174,2354,930,15+ - Teens 15 or older,"11,066"
"At A Distance, Spring Is Green",12,14-Jun-21,20-Jul-21,iQiyi KBS2 Viki,63,8.3,10123,559,341,15+ - Teens 15 or older,"25,119"
Search,10,17-Oct-20,15-Nov-20,OCN,60,8.2,5412,932,708,15+ - Teens 15 or older,"14,356"
Operation Proposal,16,8-Feb-12,29-Mar-12,TV Chosun,65,7.3,4204,4892,980,13+ - Teens 13 or older,"10,392"
Young Lady and Gentleman,52,25-Sep-21,27-Mar-22,KBS2,70,7.3,2721,4871,1165,15+ - Teens 15 or older,"8,765"
Live On,8,17-Nov-20,12-Jan-21,jTBC Naver TV Cast Viki,63,8.2,8105,940,557,15+ - Teens 15 or older,"17,691"
So Not Worth It,12," Jun 18, 2021",N/A,Netflix,35,7.9,7755,1809,641,15+ - Teens 15 or older,"15,669"
Reply 1994,21,18-Oct-13,28-Dec-13,tvN,77,8.1,14669,1182,182,13+ - Teens 13 or older,"37,706"
Melancholia,16,10-Nov-21,30-Dec-21,tvN,70,7.8,4136,2398,752,15+ - Teens 15 or older,"13,680"
The Best Hit,32,2-Jun-17,22-Jul-17,KBS2,30,8.1,14595,1177,189,15+ - Teens 15 or older,"36,903"
Life,16,23-Jul-18,11-Sep-18,jTBC Netflix,70,8.1,4772,1150,626,15+ - Teens 15 or older,"16,096"
Awaken,16,30-Nov-20,19-Jan-21,tvN,70,8.3,4319,737,865,15+ - Teens 15 or older,"11,947"
Graceful Family,16,21-Aug-19,17-Oct-19,MBN,80,8.3,7766,602,507,15+ - Teens 15 or older,"18,850"
The Lady in Dignity,20,16-Jun-17,19-Aug-17,jTBC,60,8.1,1903,1144,1577,15+ - Teens 15 or older,"6,344"
When a Man Loves,20,3-Apr-13,6-Jun-13,MBC,65,6.8,4314,6012,1008,15+ - Teens 15 or older,"10,075"
Rooftop Prince,20,21-Mar-12,24-May-12,SBS,65,8.2,27611,961,108,15+ - Teens 15 or older,"52,337"
Top Management,16,31-Oct-18,16-Nov-18,N/A,30,7.7,3980,3059,786,G - All Ages,"13,288"
The Scholar Who Walks the Night,20,8-Jul-15,10-Sep-15,MBC,60,7.8,11814,2244,250,15+ - Teens 15 or older,"31,276"
A Piece of Your Mind,12,23-Mar-20,28-Apr-20,tvN,71,8.2,9692,947,324,15+ - Teens 15 or older,"26,146"
Chimera,16,30-Oct-21,19-Dec-21,OCN,65,8.1,1829,1194,1568,15+ - Teens 15 or older,"6,378"
Hometown,12,22-Sep-21,28-Oct-21,tvN,70,7.5,1277,3973,1950,15+ - Teens 15 or older,"4,922"
A Witch's Love,16,14-Apr-14,10-Jun-14,tvN,60,8,11588,1590,339,15+ - Teens 15 or older,"25,346"
Blood,20,16-Feb-15,21-Apr-15,KBS2,65,7.4,19695,4502,148,15+ - Teens 15 or older,"43,814"
Modooui Geojitmal,16,12-Oct-19,1-Dec-19,Netflix OCN,60,8,2767,1601,1300,15+ - Teens 15 or older,"7,886"
Criminal Minds,20,26-Jul-17,28-Sep-17,tvN,60,7.8,6206,2301,483,15+ - Teens 15 or older,"19,404"
Only One Person,16,20-Dec-21,8-Feb-22,jTBC,70,7.9,2717,1830,906,15+ - Teens 15 or older,"11,463"
Black Knight,6,2022,?,Netflix,N/A,N/A,N/A,32031,3294,15+ - Teens 15 or older,"2,564"
Black Knight,20,6-Dec-17,8-Feb-18,KBS2,65,7.2,4501,5336,854,15+ - Teens 15 or older,"12,140"
Entourage,16,4-Nov-16,24-Dec-16,tvN,70,6.8,2030,6013,1082,15+ - Teens 15 or older,"9,448"
Catch the Ghost,16,21-Oct-19,10-Dec-19,tvN,65,8.1,6441,1082,531,15+ - Teens 15 or older,"18,324"
Come and Hug Me,32,16-May-18,19-Jul-18,MBC,35,8.4,16377,509,157,15+ - Teens 15 or older,"41,720"
I Wanna Hear Your Song,32,5-Aug-19,24-Sep-19,KBS2,35,7.5,3421,3818,985,15+ - Teens 15 or older,"10,340"
Secret Royal Inspector Joy,16,8-Nov-21,28-Dec-21,tvN,60,7.9,4126,2116,745,15+ - Teens 15 or older,"13,731"
The Sound of Your Heart,20,7-Nov-16,28-Nov-16,Naver TV Cast,15,8.3,6569,584,684,15+ - Teens 15 or older,"14,774"
Squad 38,16,17-Jun-16,6-Aug-16,OCN,60,8.1,6301,1090,591,15+ - Teens 15 or older,"16,952"
Tracer,8,7-Jan-22,29-Jan-22,MBC,60,7.8,594,2195,2127,15+ - Teens 15 or older,"4,483"
Monthly Magazine Home,16,16-Jun-21,5-Aug-21,iQiyi jTBC,60,7.7,3637,2971,1065,15+ - Teens 15 or older,"9,576"
Emergency Couple,21,24-Jan-14,5-Apr-14,tvN,60,7.9,23008,1710,133,Not Yet Rated,"46,083"
Hyena,16,11-Oct-06,30-Nov-06,tvN,60,7.4,180,45272,6217,18+ Restricted (violence & profanity),988
Don't Dare to Dream,24,24-Aug-16,10-Nov-16,SBS,60,8.1,15536,1081,192,15+ - Teens 15 or older,"36,773"
Reunited Worlds,40,19-Jul-17,21-Sep-17,SBS,35,7.6,4084,3555,875,15+ - Teens 15 or older,"11,830"
Something About 1%,16,5-Oct-16,24-Nov-16,DramaX,40,8.2,20225,890,175,15+ - Teens 15 or older,"38,231"
Something About 1%,16,5-Oct-16,24-Nov-16,DramaX,40,8.2,20225,890,175,15+ - Teens 15 or older,"38,231"
Hotel King,32,5-Apr-14,27-Jul-14,MBC,65,7.8,6649,2587,540,15+ - Teens 15 or older,"18,043"
A Gentleman's Dignity,20,26-May-12,12-Aug-12,SBS,65,8.3,15674,728,264,15+ - Teens 15 or older,"30,379"
Shopping King Louie,16,21-Sep-16,10-Nov-16,MBC,60,8.2,24087,945,116,15+ - Teens 15 or older,"49,969"
"I'm Sorry, I Love You",16,9-Nov-04,28-Dec-04,KBS2,70,8,5227,1508,790,15+ - Teens 15 or older,"13,211"
Angel Eyes,20,5-Apr-14,15-Jun-14,SBS,65,7.5,8632,3877,473,15+ - Teens 15 or older,"19,821"
Chicago Typewriter,16,7-Apr-17,3-Jun-17,tvN,70,8.7,20851,106,112,15+ - Teens 15 or older,"51,678"
Psychopath Diary,16,20-Nov-19,9-Jan-20,tvN,80,8.4,8142,524,375,15+ - Teens 15 or older,"23,381"
Money Flower,24,11-Nov-17,3-Feb-18,MBC,60,8.2,3163,1011,939,15+ - Teens 15 or older,"10,855"
The Girl Who Sees Smells,16,1-Apr-15,21-May-15,SBS,60,7.9,20059,1897,163,15+ - Teens 15 or older,"40,374"
Marriage Contract,16,5-Mar-16,24-Apr-16,MBC,75,8,9488,1384,456,15+ - Teens 15 or older,"20,200"
All In,24,15-Jan-03,3-Apr-03,SBS,60,7.6,974,3615,3012,15+ - Teens 15 or older,"2,910"
Potato Star 2013QR3,120,23-Sep-13,15-May-14,tvN,30,7.5,826,3987,2152,15+ - Teens 15 or older,"4,428"
Zombie Detective,24,21-Sep-20,27-Oct-20,KBS2,30,8.2,6826,821,576,15+ - Teens 15 or older,"17,128"
The Miracle,12,12-Dec-16,23-Dec-16,Naver TV Cast,15,7.1,6136,5538,933,15+ - Teens 15 or older,"11,027"
Scent of a Woman,16,23-Jul-11,11-Sep-11,SBS,65,8,9471,1470,493,Not Yet Rated,"19,178"
Dinner Mate,32,25-May-20,14-Jul-20,iQiyi MBC,35,8,6491,1592,563,15+ - Teens 15 or older,"17,492"
The Spies Who Loved Me,16,21-Oct-20,17-Dec-20,iQiyi MBC,70,7.6,2498,3695,1059,15+ - Teens 15 or older,"9,603"
Soolkkundoshiyeojadeul,12,22-Oct-21,26-Nov-21,tvN,35,8.5,3590,382,944,18+ Restricted (violence & profanity),"10,818"
Angry Mom,16,18-Mar-15,7-May-15,MBC,70,8.3,12850,649,311,15+ - Teens 15 or older,"26,972"
Angry Mom,66,2-Feb-08,28-Sep-08,KBS2,70,7.3,36,46892,99999,G - All Ages,193
I Have a Lover,50,22-Aug-15,28-Feb-16,SBS,65,7.8,1787,2505,1754,Not Yet Rated,"5,537"
Missing You,21,7-Nov-12,17-Jan-13,MBC,65,8,12905,1665,297,15+ - Teens 15 or older,"27,561"
Beautiful Gong Shim,20,14-May-16,17-Jul-16,SBS,60,7.8,14168,2404,284,13+ - Teens 13 or older,"28,592"
Reflection of You,16,13-Oct-21,2-Dec-21,jTBC Netflix,70,7.5,1368,4014,1849,15+ - Teens 15 or older,"5,234"
Princess Aurora,150,20-May-13,20-Dec-13,MBC,39,7.1,95,48959,7215,15+ - Teens 15 or older,764
The Secret Life of My Secretary,32,6-May-19,25-Jun-19,SBS,35,8.1,19276,1332,151,15+ - Teens 15 or older,"42,773"
Justice,32,17-Jul-19,5-Sep-19,KBS2,35,7.8,981,2583,2134,15+ - Teens 15 or older,"4,472"
Empress Myeongseong,124,9-May-01,18-Jul-02,KBS2,70,7.1,24,48720,12013,15+ - Teens 15 or older,291
The Last Empress,52,21-Nov-18,21-Feb-19,SBS,35,8,8441,1436,428,15+ - Teens 15 or older,"21,436"
Class of Lies,16,17-Jul-19,5-Sep-19,OCN,70,8.3,7345,548,462,15+ - Teens 15 or older,"20,104"
Cleaning Up,16,4-Jun-22,24-Jul-22,jTBC,70,7.6,296,40964,3893,15+ - Teens 15 or older,"2,013"
"Gwanggaeto, the Great Conqueror",92,4-Jun-11,29-Apr-12,KBS1,55,7.9,233,37741,6963,15+ - Teens 15 or older,815
Smile Again,16,17-May-06,6-Jul-06,SBS,60,7.1,466,5659,5625,Not Yet Rated,"1,154"
Fantastic,16,2-Sep-16,22-Oct-16,jTBC,60,7.6,2310,3309,1497,15+ - Teens 15 or older,"6,720"
Mask,20,27-May-15,30-Jul-15,SBS,60,8.1,10949,1165,376,15+ - Teens 15 or older,"23,268"
The Chaser,16,28-May-12,17-Jul-12,SBS,65,7.7,459,2835,3495,Not Yet Rated,"2,368"
Dark Hole,12,30-Apr-21,5-Jun-21,OCN tvN,60,7.7,2948,3124,1076,15+ - Teens 15 or older,"9,508"
EXO Next Door,16,9-Apr-15,28-May-15,Naver TV Cast,15,7.7,23597,2850,156,13+ - Teens 13 or older,"41,879"
You're All Surrounded,20,7-May-14,17-Jul-14,SBS,60,8.2,18441,930,176,15+ - Teens 15 or older,"38,228"
Return,20,18-Jun-22,28-Aug-22,Netflix tvN,80,8.9,5024,36,322,15+ - Teens 15 or older,"26,299"
The King Loves,40,17-Jul-17,19-Sep-17,MBC Viki,35,7.8,3936,2169,866,15+ - Teens 15 or older,"11,935"
The Killer's Shopping List,8,27-Apr-22,19-May-22,tvN,65,8.1,2094,1291,1605,15+ - Teens 15 or older,"6,241"
The Princess' Man,24,20-Jul-11,6-Oct-11,KBS2,65,8.5,8081,358,476,15+ - Teens 15 or older,"19,609"
Ms. Hammurabi,16,21-May-18,16-Jul-18,jTBC,80,8.1,10035,1137,280,15+ - Teens 15 or older,"28,978"
Temperature of Love,40,18-Sep-17,21-Nov-17,SBS,30,7.6,7815,3740,391,15+ - Teens 15 or older,"22,578"
High School King of Savvy,17,16-Jun-14,11-Aug-14,tvN,65,7.7,9887,2689,373,13+ - Teens 13 or older,"23,446"
Touch,16,3-Jan-20,22-Feb-20,Channel A Viki,63,7.4,2180,4723,1571,15+ - Teens 15 or older,"6,367"
"Bad Thief, Good Thief",50,13-May-17,5-Nov-17,MBC,75,7.6,1135,3528,1933,15+ - Teens 15 or older,"4,965"
Orange Marmalade,12,15-May-15,24-Jul-15,KBS2,50,6.8,13796,6019,209,Not Yet Rated,"35,215"
Perfume,32,3-Jun-19,23-Jul-19,KBS2,35,7.9,4666,1959,679,15+ - Teens 15 or older,"14,895"
Never twice,72,2-Nov-19,7-Mar-20,MBC,26,8.1,2025,1320,1377,15+ - Teens 15 or older,"7,385"
When I Was the Most Beautiful,32,19-Aug-20,15-Oct-20,MBC,35,6.9,1712,5910,1466,15+ - Teens 15 or older,"6,842"
When the Devil Calls Your Name,16,31-Jul-19,19-Sep-19,tvN,75,8,3090,1451,853,15+ - Teens 15 or older,"12,179"
"Marriage, Not Dating",16,4-Jul-14,23-Aug-14,tvN,67,8.1,24020,1085,144,15+ - Teens 15 or older,"44,949"
Miss Korea,20,18-Dec-13,26-Feb-14,MBC,60,7.4,2772,4740,1318,15+ - Teens 15 or older,"7,725"
Radio Romance,16,29-Jan-18,20-Mar-18,KBS2,70,7.6,14755,3550,194,15+ - Teens 15 or older,"36,735"
The Package,12,13-Oct-17,18-Nov-17,jTBC,60,8.1,5650,1197,664,15+ - Teens 15 or older,"15,184"
Duel,16,3-Jun-17,23-Jul-17,OCN,60,8.4,4190,429,734,Not Yet Rated,"13,952"
Untouchable,16,24-Nov-17,20-Jan-18,jTBC,60,7.4,799,4512,2689,15+ - Teens 15 or older,"3,405"
Rosy Lovers,52,18-Oct-14,12-Apr-15,MBC,64,7.3,777,5081,3154,15+ - Teens 15 or older,"2,735"
Oh My Ladylord,16,24-Mar-21,13-May-21,iQiyi MBC,80,6.7,3143,6105,949,15+ - Teens 15 or older,"10,716"
High Class,16,6-Sep-21,1-Nov-21,tvN,70,7.7,1205,3053,2233,15+ - Teens 15 or older,"4,232"
Two Cops,32,27-Nov-17,16-Jan-18,MBC,35,7.9,5054,2032,778,15+ - Teens 15 or older,"13,350"
Wok of Love,38,7-May-18,17-Jul-18,SBS,35,8,10812,1472,345,15+ - Teens 15 or older,"24,907"
Warm and Cozy,16,13-May-15,2-Jul-15,MBC,60,7.5,8545,4070,530,15+ - Teens 15 or older,"18,344"
My Only One,106,15-Sep-18,17-Mar-19,KBS2,35,7.6,1014,3536,2685,15+ - Teens 15 or older,"3,409"
The Man Living in Our House,16,24-Oct-16,13-Dec-16,KBS2,60,7.4,6827,4524,539,15+ - Teens 15 or older,"18,071"
The Man Living in Our House,16,24-Oct-16,13-Dec-16,KBS2,60,7.4,6827,4524,539,15+ - Teens 15 or older,"18,071"
L.U.C.A.: The Beginning,12,1-Feb-21,9-Mar-21,tvN,75,7.4,3791,4743,886,15+ - Teens 15 or older,"11,727"
My Only Love Song,20," Jun  9, 2017",N/A,Netflix,30,7.8,9291,2288,513,15+ - Teens 15 or older,"18,690"
Hospital Ship,40,30-Aug-17,2-Nov-17,MBC,35,7.9,5887,1946,742,15+ - Teens 15 or older,"13,750"
One the Woman,16,17-Sep-21,6-Nov-21,SBS,70,8.2,4058,1021,955,15+ - Teens 15 or older,"10,633"
Tomorrow's Cantabile,16,13-Oct-14,2-Dec-14,KBS2,60,7.5,5923,3807,781,15+ - Teens 15 or older,"13,325"
Soul Mechanic,32,6-May-20,25-Jun-20,KBS2,35,7.8,2346,2305,1275,15+ - Teens 15 or older,"8,032"
Protect the Boss,18,3-Aug-11,29-Sep-11,SBS,65,7.6,15462,3215,251,15+ - Teens 15 or older,"31,124"
Let Me Be Your Knight,12,7-Nov-21,24-Jan-22,iQiyi SBS,70,7.9,2901,1774,1083,15+ - Teens 15 or older,"9,443"
Excellent Shaman Ga Doo Shim,12,30-Jul-21,8-Oct-21,Daum Kakao TV Viki,20,7.9,6395,1696,654,15+ - Teens 15 or older,"15,332"
Graceful Friends,17,10-Jul-20,5-Sep-20,jTBC,70,7.5,1112,4123,2410,18+ Restricted (violence & profanity),"3,858"
Jang Bo Ri Is Here,52,5-Apr-14,12-Oct-14,MBC,65,7.8,1716,2241,2081,15+ - Teens 15 or older,"4,586"
Ugly Alert,133,20-May-13,29-Nov-13,SBS,35,8.3,1983,614,1357,15+ - Teens 15 or older,"7,489"
Gunman in Joseon,22,25-Jun-14,4-Sep-14,KBS2,70,7.7,3397,2999,1056,15+ - Teens 15 or older,"9,641"
Confession,16,23-Mar-19,12-May-19,tvN,60,8.3,2664,647,1111,15+ - Teens 15 or older,"9,157"
Welcome 2 Life,32,5-Aug-19,24-Sep-19,MBC,35,8.3,2721,675,1143,15+ - Teens 15 or older,"8,914"
Haechi,48,11-Feb-19,30-Apr-19,SBS,30,8.1,2095,1307,1366,15+ - Teens 15 or older,"7,466"
Gracious Revenge,103,4-Nov-19,27-Mar-20,KBS2,33,7.3,242,46092,6539,15+ - Teens 15 or older,902
Bride of the Century,16,22-Feb-14,12-Apr-14,TV Chosun,67,7.9,12617,2028,353,15+ - Teens 15 or older,"24,602"
Devilish Joy,16,5-Sep-18,25-Oct-18,DramaX MBN Viki,65,7.9,9170,1782,384,15+ - Teens 15 or older,"22,766"
Five Fingers,30,18-Aug-12,25-Nov-12,SBS,66,7.5,1679,4202,1685,15+ - Teens 15 or older,"5,847"
Wild Romance,16,4-Jan-12,23-Feb-12,KBS2,65,7.5,6197,4177,842,Not Yet Rated,"12,421"
Hush,16,11-Dec-20,6-Feb-21,iQiyi jTBC,70,7.6,706,3657,3024,15+ - Teens 15 or older,"2,896"
Missing 9,16,18-Jan-17,9-Mar-17,MBC,60,7.4,7016,4693,485,15+ - Teens 15 or older,"19,379"
My Fellow Citizens,36,1-Apr-19,28-May-19,KBS2,35,7.7,3255,3043,1007,15+ - Teens 15 or older,"10,076"
The Good Wife,16,8-Jul-16,27-Aug-16,tvN,60,8.1,1830,1354,1613,15+ - Teens 15 or older,"6,223"
Let's Eat,16,28-Nov-13,13-Mar-14,tvN,54,7.9,7817,1694,571,15+ - Teens 15 or older,"17,366"
Rich Man,16,9-May-18,28-Jun-18,DramaX Viki,65,7.4,9143,4745,466,15+ - Teens 15 or older,"20,045"
The Greatest Love,16,4-May-11,23-Jun-11,MBC,65,8.1,14234,1231,299,Not Yet Rated,"27,497"
Sabotage City,20,8-Dec-21,10-Feb-22,jTBC,70,7.2,334,5232,3561,15+ - Teens 15 or older,"2,305"
The King's Face,23,19-Nov-14,5-Feb-15,KBS2,60,7.5,1343,4092,1795,15+ - Teens 15 or older,"5,392"
Lie to Me,16,9-May-11,28-Jun-11,SBS,64,7.5,20446,4204,208,15+ - Teens 15 or older,"35,277"
Summer Scent,20,7-Jul-03,9-Sep-03,KBS2,64,7.3,1517,5099,2531,Not Yet Rated,"3,635"
Children of Nobody,32,21-Nov-18,16-Jan-19,MBC,30,8.6,4207,210,728,15+ - Teens 15 or older,"14,103"
Shut Up Family,120,13-Aug-12,6-Feb-13,KBS2,25,7.9,399,2005,4009,Not Yet Rated,"1,916"
Trap,7,9-Feb-19,3-Mar-19,OCN,70,7.8,1394,2213,2435,15+ - Teens 15 or older,"3,814"
"Jang Ok-jung, Living by Love",52,2-Jan-95,27-Jun-95,N/A,60,10,2,99999,99999,Not Yet Rated,21
The Royal Gambler,24,28-Mar-16,14-Jun-16,SBS,75,7.8,2439,2573,1368,15+ - Teens 15 or older,"7,449"
Goodbye Mr. Black,20,16-Mar-16,19-May-16,MBC,65,7.5,3200,4107,1073,15+ - Teens 15 or older,"9,526"
Beautiful World,16,5-Apr-19,25-May-19,jTBC Viki,60,8.5,2761,280,1152,15+ - Teens 15 or older,"8,848"
Room No. 9,16,6-Oct-18,25-Nov-18,tvN,65,7.8,1223,2549,1734,15+ - Teens 15 or older,"5,601"
The Greatest Divorce,32,8-Oct-18,27-Nov-18,KBS2,35,7.9,1069,1962,2454,15+ - Teens 15 or older,"3,789"
The Suspicious Housekeeper,20,23-Sep-13,26-Nov-13,SBS,65,7.7,3534,2958,1192,15+ - Teens 15 or older,"8,570"
Please Don't Date Him,10,10-Nov-20,12-Jan-21,MBC MBC every1,60,7.8,3619,2612,967,15+ - Teens 15 or older,"10,517"
My Daughter Seo Young,50,15-Sep-12,3-Mar-13,KBS2,65,7.9,1788,1685,2071,15+ - Teens 15 or older,"4,616"
My Fair Lady,16,13-Aug-03,2-Oct-03,SBS,45,7,220,50381,6386,Not Yet Rated,942
Oh! My Lady,16,16-Nov-16,11-Jan-17,KBS2,60,8.2,1816,832,1858,15+ - Teens 15 or older,"5,214"
Spring Must Be Coming,32,23-Jan-19,21-Mar-19,MBC,35,7.9,1173,1676,2557,15+ - Teens 15 or older,"3,600"
Player,14,29-Sep-18,11-Nov-18,OCN,65,8.4,5519,517,614,Not Yet Rated,"16,409"
Love Rain,20,26-Mar-12,29-May-12,KBS2,65,7.6,17442,3270,215,15+ - Teens 15 or older,"34,673"
Glass Slippers,40,2-Mar-02,28-Jul-02,SBS,60,7.5,500,3870,5434,15+ - Teens 15 or older,"1,217"
Wonderful Days,50,22-Feb-14,10-Aug-14,KBS2,65,7.5,983,4223,2748,Not Yet Rated,"3,288"
Love in Sadness,40,23-Feb-19,27-Apr-19,MBC,30,7.6,1261,3680,2157,Not Yet Rated,"4,414"
Marry Me Now,50,17-Mar-18,9-Sep-18,KBS2,70,7.9,1508,2002,1925,15+ - Teens 15 or older,"4,980"
The Three Musketeers,12,17-Aug-14,2-Nov-14,tvN,72,7.9,2669,1718,1237,15+ - Teens 15 or older,"8,283"
Blade Man,18,10-Sep-14,13-Nov-14,KBS2,60,7,5879,5745,648,15+ - Teens 15 or older,"15,477"
Good Casting,16,27-Apr-20,16-Jun-20,SBS,65,7.9,2861,2063,1304,15+ - Teens 15 or older,"7,861"
Level Up,12,10-Jul-19,15-Aug-19,DramaX MBN Viki,60,7.3,2975,4820,1339,13+ - Teens 13 or older,"7,586"
Happy Ending,16,20-Jan-16,10-Mar-16,MBC,70,7.9,8340,2035,561,15+ - Teens 15 or older,"17,528"
Uwolhan Halu,8,13-Mar-22,1-May-22,OCN,60,7,794,5742,2633,18+ Restricted (violence & profanity),"3,474"
Mother of Mine,108,23-Mar-19,22-Sep-19,KBS2,30,7.7,911,2798,3194,15+ - Teens 15 or older,"2,688"
Mistress,12,28-Apr-18,3-Jun-18,OCN,60,8.1,1721,1215,1565,18+ Restricted (violence & profanity),"6,392"
Handsome Guy and Jung-Eum,32,23-May-18,19-Jul-18,SBS,35,7.6,5219,3445,732,15+ - Teens 15 or older,"13,995"
Girls' Generation 1979,8,11-Sep-17,3-Oct-17,KBS2,60,8.1,3075,1143,1284,15+ - Teens 15 or older,"7,981"
Iljimae,8,9-Aug-93,31-Aug-93,MBC,60,7.9,15,37958,99999,Not Yet Rated,186
Diary of a Night Watchman,24,4-Aug-14,21-Oct-14,MBC,59,7.3,2984,5082,1214,15+ - Teens 15 or older,"8,407"
Get Revenge,16,21-Nov-20,17-Jan-21,TV Chosun,62,7.7,958,3052,2739,15+ - Teens 15 or older,"3,307"
The Genius,10,17-May-19,19-Jul-19,jTBC,15,7.4,13,45416,9272,13+ - Teens 13 or older,487
Night Light,20,21-Nov-16,24-Jan-17,MBC,60,7.1,1038,5484,2323,Not Yet Rated,"4,050"
Save the Last Dance for Me,20,23-Oct-04,2-Jan-05,SBS,65,7.7,2171,2747,1891,15+ - Teens 15 or older,"5,106"
Uncle,16,24-Feb-16,14-Apr-16,SBS,60,8,9899,1555,347,15+ - Teens 15 or older,"24,896"
Uncle,16,11-Dec-21,30-Jan-22,TV Chosun Viki,70,8.1,956,1225,2874,15+ - Teens 15 or older,"3,080"
Sketch,16,25-May-18,14-Jul-18,jTBC,80,7.8,2044,2381,1540,15+ - Teens 15 or older,"6,531"
"The King of Tears, Lee Bang-won",32,11-Dec-21,1-May-22,KBS1,60,7.8,142,38889,6034,15+ - Teens 15 or older,"1,035"
Five Children,54,20-Feb-16,21-Aug-16,KBS2,70,8.3,3304,701,1224,15+ - Teens 15 or older,"8,329"
Temptation of Wife,129,3-Nov-08,1-May-09,SBS,35,7.6,1175,3478,3175,15+ - Teens 15 or older,"2,711"
Geunyeoneun Geojitmaleul Neomoo Saranghae,16,20-Mar-17,9-May-17,tvN,60,7.5,16057,3970,199,15+ - Teens 15 or older,"36,273"
