kdrama_name,original_networks
A Wonderful Sight,jTBC
A Wonderful Sight, Netflix
Nothing to Lose,SBS
River Where the Moon Rises,KBS
River Where the Moon Rises, Viki
River Where the Moon Rises, ViuTV
Woori the Virgin,SBS
Rookie Cops,NA
Jirisan,iQiyi
Jirisan, tvN
Cunning Single Lady,MBC
The Ghost Detective,KBS
Tell Me What You Saw,OCN
Dakteoseu,SBS
Strongest Deliveryman,KBS
Becoming Witch,TV Chosun
Rugal,Netflix
Rugal, OCN
Where Stars Land,SBS
Where Stars Land, Viki
Still 17,SBS
"It's Okay, That's Love",SBS
Angel's Last Mission: Love,KBS
Good Manager,KBS
Hello Monster,KBS
Another Miss Oh,tvN
Doctor Prisoner,KBS
Chocolate,jTBC
Chocolate, Netflix
The School Nurse Files,Netflix
Memorist,tvN
Misaeng,tvN
Love with Flaws,MBC
You Are My Spring,Netflix
You Are My Spring, tvN
Doctor Stranger,SBS
He is Psychometric,tvN
"From Now On, Showtime!",MBC
"From Now On, Showtime!", ViuTV
Father Is Strange,KBS
Train,OCN
The Cursed,tvN
You Are Beautiful,SBS
To the Beautiful You,SBS
Nobody Knows,SBS
Heartless City,jTBC
Undercover,jTBC
Peurodyusa,KBS
Kill It,OCN
Mad Dog,KBS
Man to Man,jTBC
High Kick!,MBC
Color Rush,LINE TV
Color Rush, Viki
Color Rush, ViuTV
VIP,SBS
Seven Day Queen,KBS
Birth of a Beauty,SBS
Imitation,KBS
Imitation, Viki
Welcome to Wedding Hell,Daum Kakao TV
Welcome to Wedding Hell, Netflix
School 2021,KBS
School 2021, Viki
Once Again,KBS
Dear X Who Doesn't Love Me,iQiyi
Dear X Who Doesn't Love Me, Viki
The Light in Your Eyes,jTBC
The Light in Your Eyes, Viki
Watcher,OCN
Live,Netflix
Live, tvN
The King 2 Hearts,MBC
Life on Mars,OCN
Lost,iQiyi
Lost, jTBC
"Hello, Me!",KBS
"Hello, Me!", Netflix
My Absolute Boyfriend,SBS
My Absolute Boyfriend, Viki
Oh My Baby,tvN
"At A Distance, Spring Is Green",iQiyi
"At A Distance, Spring Is Green", KBS
"At A Distance, Spring Is Green", Viki
Search,OCN
Operation Proposal,TV Chosun
Young Lady and Gentleman,KBS
Live On,jTBC
Live On, Naver TV Cast
Live On, Viki
So Not Worth It,Netflix
Reply 1994,tvN
Melancholia,tvN
The Best Hit,KBS
Life,jTBC
Life, Netflix
Awaken,tvN
Graceful Family,MBN
The Lady in Dignity,jTBC
When a Man Loves,MBC
Rooftop Prince,SBS
Top Management,NA
The Scholar Who Walks the Night,MBC
A Piece of Your Mind,tvN
Chimera,OCN
Hometown,tvN
A Witch's Love,tvN
Blood,KBS
Modooui Geojitmal,Netflix
Modooui Geojitmal, OCN
Criminal Minds,tvN
Only One Person,jTBC
Black Knight,Netflix
Black Knight,KBS
Entourage,tvN
Catch the Ghost,tvN
Come and Hug Me,MBC
I Wanna Hear Your Song,KBS
Secret Royal Inspector Joy,tvN
The Sound of Your Heart,Naver TV Cast
Squad 38,OCN
Tracer,MBC
Monthly Magazine Home,iQiyi
Monthly Magazine Home, jTBC
Emergency Couple,tvN
Hyena,tvN
Don't Dare to Dream,SBS
Reunited Worlds,SBS
Something About 1%,DramaX
Something About 1%,DramaX
Hotel King,MBC
A Gentleman's Dignity,SBS
Shopping King Louie,MBC
"I'm Sorry, I Love You",KBS
Angel Eyes,SBS
Chicago Typewriter,tvN
Psychopath Diary,tvN
Money Flower,MBC
The Girl Who Sees Smells,SBS
Marriage Contract,MBC
All In,SBS
Potato Star 2013QR3,tvN
Zombie Detective,KBS
The Miracle,Naver TV Cast
Scent of a Woman,SBS
Dinner Mate,iQiyi
Dinner Mate, MBC
The Spies Who Loved Me,iQiyi
The Spies Who Loved Me, MBC
Soolkkundoshiyeojadeul,tvN
Angry Mom,MBC
Angry Mom,KBS
I Have a Lover,SBS
Missing You,MBC
Beautiful Gong Shim,SBS
Reflection of You,jTBC
Reflection of You, Netflix
Princess Aurora,MBC
The Secret Life of My Secretary,SBS
Justice,KBS
Empress Myeongseong,KBS
The Last Empress,SBS
Class of Lies,OCN
Cleaning Up,jTBC
"Gwanggaeto, the Great Conqueror",KBS
Smile Again,SBS
Fantastic,jTBC
Mask,SBS
The Chaser,SBS
Dark Hole,OCN
Dark Hole, tvN
EXO Next Door,Naver TV Cast
You're All Surrounded,SBS
Return,Netflix
Return, tvN
The King Loves,MBC
The King Loves, Viki
The Killer's Shopping List,tvN
The Princess' Man,KBS
Ms. Hammurabi,jTBC
Temperature of Love,SBS
High School King of Savvy,tvN
Touch,Channel A
Touch, Viki
"Bad Thief, Good Thief",MBC
Orange Marmalade,KBS
Perfume,KBS
Never twice,MBC
When I Was the Most Beautiful,MBC
When the Devil Calls Your Name,tvN
"Marriage, Not Dating",tvN
Miss Korea,MBC
Radio Romance,KBS
The Package,jTBC
Duel,OCN
Untouchable,jTBC
Rosy Lovers,MBC
Oh My Ladylord,iQiyi
Oh My Ladylord, MBC
High Class,tvN
Two Cops,MBC
Wok of Love,SBS
Warm and Cozy,MBC
My Only One,KBS
The Man Living in Our House,KBS
The Man Living in Our House,KBS
L.U.C.A.: The Beginning,tvN
My Only Love Song,Netflix
Hospital Ship,MBC
One the Woman,SBS
Tomorrow's Cantabile,KBS
Soul Mechanic,KBS
Protect the Boss,SBS
Let Me Be Your Knight,iQiyi
Let Me Be Your Knight, SBS
Excellent Shaman Ga Doo Shim,Daum Kakao TV
Excellent Shaman Ga Doo Shim, Viki
Graceful Friends,jTBC
Jang Bo Ri Is Here,MBC
Ugly Alert,SBS
Gunman in Joseon,KBS
Confession,tvN
Welcome 2 Life,MBC
Haechi,SBS
Gracious Revenge,KBS
Bride of the Century,TV Chosun
Devilish Joy,DramaX
Devilish Joy, MBN
Devilish Joy, Viki
Five Fingers,SBS
Wild Romance,KBS
Hush,iQiyi
Hush, jTBC
Missing 9,MBC
My Fellow Citizens,KBS
The Good Wife,tvN
Let's Eat,tvN
Rich Man,DramaX
Rich Man, Viki
The Greatest Love,MBC
Sabotage City,jTBC
The King's Face,KBS
Lie to Me,SBS
Summer Scent,KBS
Children of Nobody,MBC
Shut Up Family,KBS
Trap,OCN
"Jang Ok-jung, Living by Love",NA
The Royal Gambler,SBS
Goodbye Mr. Black,MBC
Beautiful World,jTBC
Beautiful World, Viki
Room No. 9,tvN
The Greatest Divorce,KBS
The Suspicious Housekeeper,SBS
Please Don't Date Him,MBC
Please Don't Date Him, MBC every
My Daughter Seo Young,KBS
My Fair Lady,SBS
Oh! My Lady,KBS
Spring Must Be Coming,MBC
Player,OCN
Love Rain,KBS
Glass Slippers,SBS
Wonderful Days,KBS
Love in Sadness,MBC
Marry Me Now,KBS
The Three Musketeers,tvN
Blade Man,KBS
Good Casting,SBS
Level Up,DramaX
Level Up, MBN
Level Up, Viki
Happy Ending,MBC
Uwolhan Halu,OCN
Mother of Mine,KBS
Mistress,OCN
Handsome Guy and Jung-Eum,SBS
Girls' Generation 1979,KBS
Iljimae,MBC
Diary of a Night Watchman,MBC
Get Revenge,TV Chosun
The Genius,jTBC
Night Light,MBC
Save the Last Dance for Me,SBS
Uncle,SBS
Uncle,TV Chosun
Uncle, Viki
Sketch,jTBC
"The King of Tears, Lee Bang-won",KBS
Five Children,KBS
Temptation of Wife,SBS
Geunyeoneun Geojitmaleul Neomoo Saranghae,tvN
Priest,OCN
Padam Padam,jTBC
The Emperor: Owner of the Mask,MBC
Lucky Romance,MBC
You Are My Destiny,MBC
Entertainer,SBS
Choco Bank,Naver TV Cast
The Third Charm,jTBC
Lookout,MBC
Fates and Furies,SBS
Fates and Furies, Viki
The Time We Were Not in Love,SBS
Begin Again,jTBC
Begin Again, Netflix
Diary of a Prosecutor,jTBC
Alone in Love,SBS
Local Hero,OCN
Children of a Lesser God,OCN
"My Daughter, Geum Sa-wol",MBC
Joseon Exorcist,SBS
Joseon Exorcist, Viki
Hotelier,MBC
Dream,SBS
Unasked Family,KBS
Mystery Queen,KBS
Unexpected You,KBS
Kkondae Intern,MBC
You Are the Best!,KBS
Pride and Prejudice,MBC
Second to Last Love,SBS
Second 20s,tvN
My Secret Hotel,tvN
Whisper,SBS
Goodbye to Goodbye,MBC
Discovery of Love,KBS
May Queen,MBC
Your Honor,SBS
Monster,MBC
My Runway,MBC Dramanet
Band of Sisters,SBS
Jugglers,KBS
"Me Too, Flower!",MBC
Dr. Jin,MBC
Last,jTBC
Gu Am Heo Joon,MBC
Less Than Evil,MBC
Woman of 9.9 Billion,KBS
A Pledge to God,MBC
Thank You,MBC
My Dangerous Wife,MBN
Revolutionary Sisters,KBS
Money Game,tvN
I Need Romance 3,tvN
Sweet Munchies,jTBC
Sweet Munchies, Viki
Different Dreams,MBC
Cheongdam-dong Alice,SBS
Nonstop,MBC
Pretty Boy,KBS
On the Verge of Insanity,MBC
Medical Top Team,MBC
Emperor of the Sea,KBS
Can We Get Married?,jTBC
Fashion King,SBS
The Wind Blows,jTBC
My Lovely Girl,SBS
Lovely Horribly,KBS
Immortal Yi Soon-shin,KBS
The King and I,SBS
Ms. Temper & Nam Jung-Gi,jTBC
Passionate Love,SBS
All About My Romance,SBS
One Warm Word,SBS
I Need Romance 2012,tvN
The Great Show,tvN
Flower Boy Ramyun Shop,tvN
"I Do, I Do",MBC
Big Issue,SBS
Divorce Lawyer in Love,SBS
Can You Hear My Heart?,MBC
Dae Wang Sejong,KBS
Lies of Lies,Channel A
Special Affairs Team TEN,OCN
A Poem a Day,tvN
Brilliant Heritage,KBS
Heard It Through the Grapevine,SBS
