kdrama_name,platform
Not Yet Thirty,Kakao TV
Not Yet Thirty, Viki
Monstar,KDRAMA
Let Me Introduce Her,Apple TV
Let Me Introduce Her, SBS World
Let Me Introduce Her, Viki
My Little Baby,Prime Video
My Little Baby, Netflix
Hide and Seek,Apple TV
Hide and Seek, Viki
Thousand Years of Love,
Thousand Years of Love,
The Great Seer,
Stars Falling from the Sky,Apple TV
Stars Falling from the Sky, Viki
Stars Falling from the Sky, KDRAMA
A New Leaf,Viki
One Sunny Day,
The King of Dramas,SBS World
Ice Adonis,KDRAMA
Happy If You Died,Viki
Delicious Proposal,
On the Way to the Airport,
Seoul 1945,
Poseidon,
Sweet Enemy,
Spotlight,Viki
Return,Viki
How to Buy a Friend,Viki
Taejo Wang Geon,
Tazza,Viki
You and I,
Glory Jane,
Three Days,SBS World
Three Days, Viki
The Sons of Sol Pharmacy House,
The Queen's Classroom,
Ruby Ring,KBS Drama
Ruby Ring, KBS World
My Beautiful Bride,
Woman with a Suitcase,
Memory,
Pegasus Market,
Left-Handed Wife,KBS World
My Unfortunate Boyfriend,AsianCrush
My Unfortunate Boyfriend, Prime Video
Golden Time,Viki
Secrets of Women,KBS World
Pink Lipstick,
Vampire Idol,
A Place in the Sun,KBS World
Chungil Electronics Miss Lee,
Avengers Social Club,KDRAMA
Mr. Baek,Viki
The Devil,
Golden Cross,Viki
Secret Boutique,SBS World
Secret Boutique, Viki
Happy Sisters,
First Love Again,Viki
The Return of Hwang Geum-Bok,
We Are Dating Now,
Blow Breeze,
Miss Ripley,
Lovers in Prague,
The Musical,
Radiant Office,
The Birth of a Family,
The 3rd Hospital,
Our Gap-soon,Viki
Doctor Frost,
Twelve Nights,Viki
"Oh, the Mysterious",SBS World
"Oh, the Mysterious", Viki
Unstoppable Marriage,
The Full Sun,
Dalkomhan seupai,
Spy,
Drinking Solo,KDRAMA
Pied Piper,
Doctor Detective,Apple TV
Doctor Detective, Viki
Super Daddy Yeol,
Chip In,Viki
Lovers,
First Love,
My Love by My Side,
Wanted,SBS World
Wanted, Viki
Wanted, SBS VOD
Angel's Revenge,KBS World
King's Family,KBS World
Baby Faced Beauty,Viki
Can't Lose,
Neighborhood Lawyer Jo Deul-ho,Viki
The Queen of Office,KBS Drama Classic
The Queen of Office, Viki
Brain,Viki
Wonderful Mama,
Marrying a Millionaire,
Man Who Dies to Live,
Basketball,
Robber,Viki
The Banker,Viki
Model,
Mysterious Personal Shopper,KBS World
Coma,
Masked Prosecutor,KBS World
Masked Prosecutor, Viki
Heaven's Promise,KBS World
Behind the White Tower,Viki
It's My Life,KBS World
I Order You,Viki
Korean Peninsula,
On Air,Viki
Empire of Gold,SBS World
Empire of Gold, Viki
You Are the Only One,KBS World
Shining Days,SBS VOD
Incarnation of Money,SBS World
Capital Scandal,KBS World
Capital Scandal, Viki
"Run, Jang-Mi",
Assembly,Viki
My Heart Twinkle Twinkle,SBS World
My Heart Twinkle Twinkle, Viki
Who Are You?,
Love Returns,KBS World
Unkind Ladies,KBS World
Reset,
Bad Housewife,
Hero,
My Dear Cat,KBS World
Best Chicken,Viki
Ruler of Your Own World,Viki
Melody of Love,KBS World
Spy Myung-wol,
Syndrome,
"Be Strong, Geum-Soon!",
Laurel Tree Tailors,KBS World
Laurel Tree Tailors, Viki
Lights and Shadows,Viki
Two Mothers,KBS World
My Beloved Sister,
Unknown Woman,KBS World
A Thousand Kisses,
Aillaendeu,
The Secret of My Love,KBS World
Gangnam Scandal,
Tomorrow Boy,Viki
Jeogdoui Namja,
Amoreupati,Prime Video
Amoreupati, Viki
"Sweet, Savage Family",Viki
Someday,AsianCrush
A Daughter Just Like You,
Romance,Viki
Surgeon Bong Dal-hee,Viki
Apgujeong Midnight Sun,
Love to the End,KBS World
Sweden Laundry,Viki
Family's Honor,
One Fine Day,
Magic Cellphone,Netflix
Grandpas Over Flowers Investigation Team,
Love on a Rooftop,KBS World
Conspiracy in the Court,
Precious Family,
Byeoleun nae gaseume,
Beating Heart,
Enemies from the Past,
Obeo deo reinbou,    
Happy Ending,
I Love Lee Tae-ri,Viki
Autumn Shower,
Make a Woman Cry,
Love Again,Viki
Your Neighbor's Wife,Viki
Ad Genius Lee Tae Baek,Viki
Yurihwa,
How to Meet a Perfect Neighbor,
The End of the World,
"Please Come Back, Soon-ae",
The Wedding Scheme,
Don't Hesitate,Viki
Into the Flames,
