Genres,Tags,Country,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,drama_name,imdb_rating,imdb_user_count,imdb_description
"['romance', 'drama']","['age gap [real life]', 'multiple couples', 'family ']",South Korea,30,"Nov 16, 2005","Feb 23, 2006","['wednesday', 'thursday']",['KBS2'],70,6.9,42,57723,15951,15+ - Teens 15 or older,232,"['Park Sol Mi', 'Kim Ji Hoon', 'Ji Hyun Woo', 'Go Eun Ah', 'Lee Young Ah', 'Park Ji Bin']",[],Golden Apple,N/A,N/A,N/A
"['comedy', 'romance', 'drama', 'melodrama']","['supportive mother-in-law', 'hardworking female lead', 'arranged marriage', 'skinship', 'multiple couples', 'mother-daughter relationship', 'older man/younger woman', 'nice male lead', 'family relationship', 'married female lead ']",South Korea,64,"Jun 23, 2007","Feb  3, 2008","['saturday', 'sunday']",['SBS'],70,7.4,585,6058,5525,13+ - Teens 13 or older,"1,637","['Lee Young Ah', 'Song Chang Eui', 'Song Jong Ho', 'Choi Yeo Jin', 'Ahn Mi Na', 'Kim Hee Chul']",[],Golden Bride,N/A,N/A,N/A
"['thriller', 'romance', 'drama', 'melodrama']","['revenge', 'double identity', 'suspense ']",South Korea,20,"Apr  9, 2014","Jun 19, 2014","['wednesday', 'thursday']",['KBS2'],60,7.3,693,7212,4249,Not Yet Rated,"2,485","['Han Da Gam', 'Kim Kang Woo', 'Uhm Ki Joon', 'Jeong Bo Seok', 'Lee Si Young', 'Choi Woo Suk']","['Kocowa', 'Viki']",Golden Cross,7.1,48,
"['romance', 'drama', 'melodrama']","[""stepsisters' relationship"", 'self-sacrifice', 'greed', 'forbidden love', 'pseudo incest', 'soap opera', 'family relationship', 'step-siblings love ']",South Korea,133,"May  3, 2010","Nov 11, 2010","['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['MBC'],30,7.3,58,52568,10840,Not Yet Rated,510,"['Park Sang Won', 'Lee Tae Gon', 'Jo Yoon Hee', 'So Yoo Jin', 'Kang Samuel', 'Lee Il Hwa']",[],Golden Fish,N/A,N/A,N/A
"['food', 'romance', 'drama', 'melodrama']","['older man/younger woman', 'birth secret', 'multiple couples', 'love triangle', 'family ']",South Korea,122,"Nov 14, 2016","May 30, 2017","['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['MBC'],35,7.6,408,4748,5375,15+ - Teens 15 or older,"1,707","['Jin Yi Han', 'Jung Woo Yeon', 'Lee Sun Ho', 'Son Ga Young', 'Ahn Nae Sang', 'Oh Young Shil']",[],Golden Pouch,8.2,27,
"['romance', 'drama', 'melodrama']","[""childhood friends' relationship"", 'friends to lovers', 'rich man/poor woman', 'family', 'friendship ']",South Korea,41,"Nov  2, 2013","Mar 30, 2014","['saturday', 'sunday']",['MBC'],66,7.4,1976,6017,2162,15+ - Teens 15 or older,"5,985","['Uee', 'Jung Il Woo', 'Lee Jae Yoon', 'Cha Ye Ryun', 'Do Ji Won', 'Kim Sang Joong']",['Viki'],Golden Rainbow,N/A,N/A,N/A
"['comedy', 'romance', 'medical']","['hospital setting', 'surgeon male lead', 'emergency department', 'resident doctor ']",South Korea,23,"Jul  9, 2012","Sep 25, 2012","['monday', 'tuesday']",['MBC'],65,7.4,750,6164,4359,Not Yet Rated,"2,387","['Lee Sun Kyun', 'Lee Sung Min', 'Hwang Jung Eum', 'Song Sun Mi', 'Chun Jae Ho', 'Sun Woo Yong Nyeo']","['Kocowa', 'Viki']",Golden Time,8,102,
"['action', 'mystery', 'comedy', 'crime']","['espionage', 'strong female lead', 'first love', 'investigation', 'national intelligence service', 'older woman/younger man', 'sismance', 'romance', 'slight romance', 'rich male lead ']",South Korea,16,"Apr 27, 2020","Jun 16, 2020","['monday', 'tuesday']",['SBS'],65,7.9,3270,2995,1528,15+ - Teens 15 or older,"9,055","['Choi Kang Hee', 'Yoo In Young', 'Kim Ji Young', 'Lee Sang Yeob', 'Lee Jun Young', 'Lee Jong Hyuk']","['Viki', 'Kocowa', 'SBS World']",Good Casting,7.1,143,
"['romance', 'life', 'drama', 'medical']","['autism', 'eccentric male lead', 'ableism', 'child abuse', 'slow burn romance', 'doctor female lead', 'doctor male lead', 'autistic male lead', 'savant syndrome', 'neurodevelopmental disorder ']",South Korea,20,"Aug  5, 2013","Oct  8, 2013","['monday', 'tuesday']",['KBS2'],65,8.3,19476,889,234,15+ - Teens 15 or older,"41,510","['Joo Won', 'Moon Chae Won', 'Joo Sang Wook', 'Kim Min Seo', 'Ha Kyu Won', 'Kim Hyun Soo']","['Kocowa', 'Viki']",Good Doctor,8,"2,167",
"['mystery', 'comedy', 'romance', 'fantasy']","['supernatural power', 'crime solving duo', 'investigation', 'heir male lead', 'detective fiction', 'company president (ceo) male lead', 'detective male lead', 'cheerful female lead', 'nice female lead', 'smart male lead ']",South Korea,12,"Aug 24, 2022","Sep 29, 2022","['wednesday', 'thursday']","['ENA', 'Viki']",60,7.9,5110,2760,1085,15+ - Teens 15 or older,"12,920","['Jung Il Woo', 'Kwon Yu Ri', 'Eum Moon Suk', 'Song Sang Eun', 'Yoon Sun Woo', 'Lee Joon Hyuk']","['iQIYI', 'Viki']",Good Job,6.9,302,
