Genres,Tags,Country,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,drama_name,imdb_rating,imdb_user_count,imdb_description
"['historical', 'comedy', 'romance', 'drama']","['amnesia', 'hidden identity', 'marriage of convenience', 'joseon dynasty', 'fake marriage', 'eccentric male lead', 'hardworking female lead', 'double identity', 'strong female lead', 'riches to rags ']",South Korea,16,"Sep 10, 2018","Oct 30, 2018","['tuesday', 'monday']",['tvN'],75,8.3,26470,901,140,15+ - Teens 15 or older,"56,428","['Doh Kyung Soo', 'Nam Ji Hyun', 'Kim Seon Ho', 'Han So Hee', 'Jo Sung Ha', 'Kim Jae Young']","['WeTV', 'Netflix', 'Apple TV', 'iQIYI', 'Viki']",100 Days My Prince,7.8,"3,309",
"['comedy', 'romance', 'life']",['writer female lead '],South Korea,16,"Feb 15, 2012","Apr  5, 2012","['wednesday', 'thursday']",['tvN'],65,7.0,907,8242,4108,Not Yet Rated,"2,588","['Ohn Joo Wan', 'Yoon Jin Seo', 'Lee Yong Woo', 'Bae Geu Rin', 'Go Joon Hee', 'Kim Sung  Je']",[],12 Signs of Love,N/A,N/A,N/A
"['food', 'romance', 'drama']","['unexpected pregnancy', 'miscarriage', 'teenage pregnancy', 'pregnancy', 'high school to working life', 'rags to riches', 'high school', 'rich male lead', 'first love', 'student female lead ']",South Korea,26,"Mar 22, 2014","Jun 29, 2014","['saturday', 'sunday']",['jTBC'],70,7.2,2869,7778,2232,15+ - Teens 15 or older,"5,764","['Lee So Yeon', 'Namkoong Min', 'Lee Tae Im', 'Park Hae Mi', 'Shin Dong Mi', 'Song Young Kyu']",['Viki'],12 Years Promise,7.2,190,
"['romance', 'life', 'drama', 'fantasy']","['second chance', 'first love', 'father-son relationship', 'hardworking female lead', 'father-daughter relationship', 'mother-daughter relationship', 'life lesson', 'becoming young', 'hidden identity', 'character development ']",South Korea,16,"Sep 21, 2020","Nov 10, 2020","['monday', 'tuesday']",['jTBC'],70,8.7,28705,244,114,15+ - Teens 15 or older,"63,698","['Yoon Sang Hyun', 'Lee Do Hyun', 'Kim Ha Neul', 'Roh Jeong Eui', 'Ryeoun', 'Wi Ha Joon']",[],18 Again,8.2,"2,666",
"['romance', 'youth']","['miniseries', 'web series ']",South Korea,4,2023,?,N/A,N/A,N/A,N/A,N/A,99999,99999,Not Yet Rated,28,['Ryu In Young'],[],1st Republic,N/A,N/A,N/A
"['thriller', 'mystery', 'drama', 'fantasy']","['strong female lead', 'time travel', 'nice male lead', 'suspense', 'murder', 'fate', 'supernatural', 'lying', 'bromance', 'strong male lead ']",South Korea,24,"Mar 23, 2020","Apr 28, 2020","['monday', 'tuesday']",['MBC'],35,8.5,9007,449,491,15+ - Teens 15 or older,"24,945","['Lee Joon Hyuk', 'Nam Ji Hyun', 'Kim Jee Soo', 'Lee Sung Wook', 'Yoon Joo Sang', 'Ahn Seung Gyun']","['Viki', 'Kocowa']",365: Repeat the Year,7.9,842,
"['food', 'romance', 'drama', 'family']","['hardworking female lead', 'wrongfully accused', 'corruption', 'cohabitation', 'poor female lead', 'prison setting', 'manager supporting character', 'student-teacher relationship ']",South Korea,40,"Oct 25, 2014","Mar  8, 2015","['saturday', 'sunday']",['MBC'],64,7.7,1199,3715,3456,15+ - Teens 15 or older,"3,334","['Han Ji Hye', 'Ha Seok Jin', 'Go Doo Shim', 'Oh Hyun Kyung', 'Ha Yeon Soo', 'Byun Jung Soo']",[],4 Legendary Witches,N/A,N/A,N/A
"['military', 'historical', 'life', 'drama', 'political']","['massacre', 'gwangju uprising', 'death', 'based on true story ']",South Korea,41,"Apr 23, 2005","Sep  1, 2005","['saturday', 'sunday']",['MBC'],65,6.9,6,57995,99999,15+ - Teens 15 or older,99,"['Lee Deok Hwa', 'Seo In Seok', 'Kim Young Ran', 'Song Ok Sook', 'Jung Yoo Chan', 'Park In Hwan']",[],5th Republic,N/A,N/A,N/A
"['action', 'comedy', 'romance', 'crime']","['spy female lead', 'spy male lead', 'national intelligence service', 'rivals to lovers', 'second chance', 'espionage', 'rich male lead ']",South Korea,20,"Jan 23, 2013","Mar 28, 2013","['wednesday', 'thursday']",['MBC'],65,6.9,4828,8735,1299,15+ - Teens 15 or older,"10,676","['Joo Won', 'Choi Kang Hee', 'Kim Min Seo', 'Hwang Chan Sung', 'Noh Young Hak', 'Choi Jong Hwan']",[],7th Grade Civil Servant,6.2,154,
"['mystery', 'psychological', 'romance', 'medical']","['antisocial personality disorder', 'eccentric male lead', 'father-son relationship', 'surgeon male lead', 'emotional blunting', 'investigation', 'hospital setting', 'cold man/warm woman', 'slow burn romance', 'character development ']",South Korea,14,"Jun 20, 2016","Aug  2, 2016","['monday', 'tuesday']",['KBS2'],60,8.2,9936,1328,451,15+ - Teens 15 or older,"26,281","['Jang Hyuk', 'Park So Dam', 'Yoon Hyun Min', 'Park Se Young', 'Heo Joon Ho', 'Kim Jong Soo']","['Kocowa', 'Viki']",A Beautiful Mind,N/A,N/A,N/A
"['romance', 'drama', 'family', 'melodrama']","['wrongfully accused', 'soap opera', 'revenge', 'riches to rags ']",South Korea,100,"May  4, 2015","Oct 22, 2015","['monday', 'tuesday', 'wednesday', 'thursday']",['tvN'],50,7.2,86,53309,9732,Not Yet Rated,623,"['Oh Hyun Kyung', 'Hong Ah Reum', 'Kang Ji Sub', 'Kim Yoo Suk', 'Ahn Jae Min', 'Baek Seung Hee']",[],A Bird That Doesn't Sing,N/A,N/A,N/A
"['comedy', 'romance', 'family', 'melodrama']","['death of a wife', 'widower male lead', 'cold female lead', 'single father', 'warm man/cold woman', 'independent female lead', 'hardworking female lead', 'strict father', 'selfish mother', 'supportive father-in-law ']",South Korea,120,"May 18, 2015","Nov  6, 2015","['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['MBC'],35,7.5,380,5734,5803,15+ - Teens 15 or older,"1,521","['Lee Soo Kyung', 'Woo Hee Jin', 'Kim Hye Ok', 'Kang Kyung Joon', 'Jung Hye Sung', 'Kang Tae Sung']",[],A Daughter Just Like You,6.8,20,
"['comedy', 'romance', 'drama', 'melodrama']","['adult romance', 'bromance', 'friendship', 'age gap [drama life]', 'age gap [real life]', 'male centered plot', 'dissociative amnesia', 'independent female lead', 'mental illness', 'love at first sight ']",South Korea,20,"May 26, 2012","Aug 12, 2012","['saturday', 'sunday']",['SBS'],65,8.2,16342,1207,351,15+ - Teens 15 or older,"32,001","['Jang Dong Gun', 'Kim Ha Neul', 'Kim Soo Ro', 'Kim Min Jong', 'Lee Jong Hyuk', 'Yoon Se Ah']","['iQIYI', 'Viki', 'Kocowa']",A Gentleman's Dignity,8,"1,454",
"['mystery', 'romance', 'supernatural']","['amnesia', 'tragic past', 'nice male lead', 'prosopagnosia', 'female chases male first', 'synesthesia', 'orphan female lead', 'strong female lead', 'murder', 'first love ']",South Korea,16,"Apr  1, 2015","May 21, 2015","['wednesday', 'thursday']",['SBS'],60,7.9,22154,2850,206,15+ - Teens 15 or older,"44,811","['Park Yoo Chun', 'Shin Sae Kyeong', 'Namkoong Min', 'Yoon Jin Seo', 'Song Jong Ho', 'Lee Won Jong']","['Viki', 'Netflix', 'Kocowa']",A Girl Who Sees Smells,N/A,N/A,N/A
"['comedy', 'romance', 'fantasy', 'supernatural']","['workplace setting', 'animal transformation', 'uncle-nephew relationship', 'transfer student supporting character', 'student supporting character', 'school setting', 'cynophobia', ""co-workers' relationship"", 'teacher supporting character', 'teacher female lead ']",South Korea,14,N/A,N/A,N/A,['MBC'],70,N/A,N/A,36749,1432,Not Yet Rated,"9,707","['Cha Eun Woo', 'Park Gyu Young', 'Lee Hyun Woo', 'Yoon Hyun Soo', 'Ryu Abel', 'Cho Jin Se']",['Viki'],A Good Day to Be a Dog,N/A,N/A,N/A
"['romance', 'drama', 'melodrama']","['family relationship', 'love triangle ']",South Korea,58,"Jan  6, 2007","Jul 22, 2007","['saturday', 'sunday']",['KBS2'],60,6.7,32,60497,99999,15+ - Teens 15 or older,191,"['Kim Suk Hoon', 'Yoon Jung Hee', 'Jung Gyu Woon', 'Park Sung Woong', 'Joo Hyun', 'Kim Yoon Kyung']",[],A Happy  Woman,N/A,N/A,N/A
"['romance', 'drama', 'family']","['soap opera', 'food ']",South Korea,50,"Jan  5, 2013","Jun 23, 2013","['saturday', 'sunday']",['MBC'],80,7.2,1561,7730,3270,15+ - Teens 15 or older,"3,588","['Eugene', 'Lee Jung Jin', 'Yoon Ah Jung', 'Choi Won Young', 'Kim Myung Soo', 'Jung Hye Sun']","['Kocowa', 'Viki']",A Hundred Year Legacy,N/A,N/A,N/A
"['horror', 'comedy', 'romance', 'fantasy']","['ghost-seeing female lead', 'supernatural power', 'demon', 'steamy kiss', 'aggressive male lead', 'ghost', 'tough male lead', 'love/hate relationship', 'bromance', 'eccentric male lead ']",South Korea,20,"Dec 23, 2017","Mar  4, 2018","['saturday', 'sunday']","['Netflix', 'tvN']",80,8.2,40966,1264,56,15+ - Teens 15 or older,"86,158","['Lee Seung Gi', 'Cha Seung Won', 'Oh Yeon Seo', 'Lee Hong Ki', 'Jang Gwang', 'Lee El']","['Viki', 'Netflix', 'Apple TV']",A Korean Odyssey,8,"5,710",
"['romance', 'drama', 'family']",[''],South Korea,50,"Sep 28, 2013","Mar 30, 2014","['saturday', 'sunday']",['MBC'],65,6.9,351,8626,5823,15+ - Teens 15 or older,"1,512","['Lee Sang Yeob', 'Shin Da Eun', 'Seo Ji Suk', 'Hong Soo Hyun', 'Choi Soo Rin', 'Kang  Suk Woo']",[],A Little Love Never Hurts,N/A,N/A,N/A
"['comedy', 'romance', 'life', 'youth']","['unrequited love', 'first love', 'doctor male lead', 'height difference', 'bright female lead', 'female chases male first', 'love triangle', 'smart male lead', 'high school', 'cold man/warm woman ']",South Korea,24,"Dec 28, 2020","Feb 20, 2021","['monday', 'thursday', 'saturday']","['Daum Kakao TV', 'Netflix']",20,7.8,17644,3668,341,13+ - Teens 13 or older,"32,671","['Kim Yo Han', 'So Ju Yeon', 'Yeo Hoe Hyun', 'Jo Hye Joo', 'Jung Jae Oh', 'Kim Dong Kyu']","['Kakao TV', 'Netflix']",A Love So Beautiful,7.3,"1,479",
"['thriller', 'mystery', 'crime', 'drama']","['investigation', 'suspense', 'professor male lead', 'gun violence', 'drug usage', 'financial scandal', 'bankruptcy', 'organized crime', 'family relationship', 'miniseries ']",South Korea,10," Aug 12, 2022",N/A,['friday'],['Netflix'],45,7.5,1759,5747,2601,18+ Restricted (violence & profanity),"4,851","['Jung Woo', 'Park Hee Soon ', 'Yoon Jin Seo', 'Park Ji Yeon', 'Choi Moo Sung', 'Kim Sung Oh']",['Netflix'],A Model Family,6.6,"1,320",
"['business', 'law', 'drama']","['lawyer male lead', 'slight romance', 'father-son relationship', 'corruption', 'amnesia ']",South Korea,16,"Apr 30, 2014","Jun 26, 2014","['wednesday', 'thursday']",['MBC'],60,6.7,1249,9014,3208,15+ - Teens 15 or older,"3,680","['Kim Myung Min', 'Kim Sang Joong', 'Park Min Young', 'Oh Jung Se', 'Jin Yi Han', 'Kim Seo Hyung']","['Kocowa', 'Viki']",A New Leaf,6.3,86,
"['romance', 'life', 'drama', 'melodrama']","['healing', 'depression', 'slow burn romance', 'artificial intelligence', 'character development', 'tragic past', 'insomnia', 'secret crush', 'trauma', 'music ']",South Korea,12,"Mar 23, 2020","Apr 28, 2020","['monday', 'tuesday']",['tvN'],71,8.1,11719,1586,353,15+ - Teens 15 or older,"31,942","['Jung Hae In', 'Chae Soo Bin', 'Lee  Ha Na ', 'Kim Sung Gyu', 'Park Ju Hyun', 'Lee Sang Hee']","['Viki', 'Apple TV']",A Piece of Your Mind,7.3,952,
"['business', 'romance', 'drama', 'melodrama']","['car accident', 'tough male lead', 'orphan male lead', 'smart male lead', 'birth secret', 'switched at birth', 'nice male lead', 'unexpected pregnancy', 'jealousy', 'corruption ']",South Korea,102,"Jun  3, 2019","Nov  1, 2019","['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['KBS2'],35,7.3,267,6739,5025,15+ - Teens 15 or older,"1,886","['Oh Chang Seok', 'Yoon So Yi', 'Choi Sung Jae', 'Ha Shi Eun', 'Jung Han Yong', 'Choi Jung Woo']",['KBS World'],A Place in the Sun,6.8,17,
"['romance', 'life', 'family', 'melodrama']","['hardship', ""brothers' relationship"", 'punishment', 'hatred', 'break up', 'nice female lead', 'grandma-grandson relationship', 'repentance', 'news media', 'family dispute ']",South Korea,48,"Nov 24, 2018","Feb 16, 2019",['saturday'],['MBC'],25,7.6,466,4718,4644,15+ - Teens 15 or older,"2,134","['Han Chae Young', 'Bae Soo Bin', 'Oh Yoon Ah', 'Lee Chun Hee', 'Wang Seok Hyun', 'Kim Dong Yoon']",['Kocowa'],A Pledge to God,5.7,38,
"['romance', 'life', 'drama', 'medical']","['poetry', 'nice female lead', 'hardworking female lead', 'strong male lead', 'smart male lead', 'nice male lead', 'female chases male first', 'love triangle', 'hardworking male lead', 'tough male lead ']",South Korea,16,"Mar 26, 2018","May 15, 2018","['monday', 'tuesday']",['tvN'],65,7.9,6560,2940,713,15+ - Teens 15 or older,"18,727","['Lee Yoo Bi', 'Lee Joon Hyuk', 'Jang Dong Yoon', 'Seo Hyun Chul', 'Lee Chae Young', 'Kim Jae Bum']",['K-DRAMA'],A Poem a Day,7.1,249,
"['psychological', 'romance', 'youth', 'drama']","['lgbtq+', 'love/hate relationship', 'gay romance', 'age gap [real life]', 'enemies to friends', 'teenager male lead', 'archery', 'miniseries', 'student male lead', 'school setting ']",South Korea,7,"Mar 15, 2023","Mar 29, 2023","['tuesday', 'wednesday']",N/A,30,7.7,12219,4256,527,15+ - Teens 15 or older,"23,669","['Kim Jae Han', 'Shin Ye Chan', 'Shin Si Ye', 'Jeong Ho Gyun', 'Kim Dong Won', 'Oh Joo Seok']",['Viki'],A Shoulder to Cry On,7.4,568,
"['thriller', 'mystery', 'psychological', 'drama']","['gore', 'suspense', 'firefighter male lead', 'psychopath male lead', 'skilled killer', 'mental illness', 'trauma', 'father-daughter relationship', 'death', 'kidnapping ']",South Korea,8,"Mar 13, 2022","May  1, 2022",['sunday'],['OCN'],60,7.0,1096,8480,2820,18+ Restricted (violence & profanity),"4,368","['Jin Goo', 'Ha Do Gwon', 'Lee Won Keun', 'Im Hwa Young', 'Cho Yu Ha', 'Han Yi Jin']",['Viki'],A Superior Day,N/A,N/A,N/A
"['romance', 'drama', 'family']","[""sisters' relationship"", 'secondary couple', 'soap opera', 'birth secret', 'love square', 'rags to riches', 'rich male lead', 'unrequited love ']",South Korea,135,"Apr 29, 2013","Nov  1, 2013","['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['KBS1'],35,6.8,232,8856,8374,Not Yet Rated,825,"['Yoo Geon', 'Park Jae Jung', 'Lee Hae In', 'Park Se Young', 'Hong Jin Hee ', 'Yoon Chae Yi']",['KBS World'],A Tale of Two Sisters,6.8,9,
"['romance', 'melodrama']","[""alzheimer's disease"", 'forbidden love', 'neurological disorder ']",South Korea,20,"Oct 17, 2011","Dec 20, 2011","['monday', 'tuesday']",['SBS'],65,7.6,1491,4852,2815,15+ - Teens 15 or older,"4,375","['Kim Rae Won', 'Park Soo Ae', 'Lee Sang Woo', 'Jung Yoo Mi', 'Kim Hae Sook', 'Oh Mi Yun']",[],A Thousand Days' Promise,8.2,94,
"['romance', 'drama', 'family']","['age gap [drama life]', 'age gap [real life]', 'older man/younger woman', 'older woman/younger man', 'multiple couples ']",South Korea,50,"Aug 20, 2011","Feb  5, 2012","['saturday', 'sunday']",['MBC'],62,6.8,1519,8868,2867,G - All Ages,"4,261","['Seo Young Hee', 'Ji Hyun Woo', 'Kim So Eun', 'Ryu Jin', 'Gu Seung Hyun', 'Shim Hyung Tak']",[],A Thousand Kisses,7.3,32,
"['thriller', 'mystery', 'romance', 'fantasy']","['time travel', 'doppelganger', 'transmigration', 'butterfly effect', 'second chance', 'nice male lead', 'time altering', 'time loop', 'friends to lovers', 'first love ']",South Korea,12," Sep  8, 2023",N/A,['friday'],['Netflix'],60,8.4,7047,658,519,15+ - Teens 15 or older,"23,904","['Ahn Hyo Seop', 'Jeon Yeo Been', 'Kang Hoon', 'Seo Ye Hwa', 'Lee Min Goo', 'Jang Hye Jin']",['Netflix'],A Time Called You,7.8,"1,730",
"['business', 'comedy', 'romance']","['older woman/younger man', 'nice male lead', 'steamy kiss', 'ex-boyfriend comes back', 'warm man/cold woman', 'male chases female first', 'love triangle', 'cheerful male lead', 'cohabitation', 'workplace setting ']",South Korea,16,"Apr 14, 2014","Jun 10, 2014","['monday', 'tuesday']",['tvN'],60,7.9,12671,2506,416,15+ - Teens 15 or older,"28,089","['Uhm Jung Hwa', 'Park Seo Joon', 'Han Jae Suk', 'Lee Se Chang', 'Ra Mi Ran', 'Bang Eun Hee']","['iQIYI', 'Viki', 'Tubi', 'Apple TV', 'AsianCrush', 'Prime Video']",A Witch's Love,7.3,606,
"['comedy', 'romance', 'life', 'youth']","['web series', 'multiple mains', 'secret crush', 'calm female lead', 'high school', 'friends to lovers', 'misunderstanding', 'multiple couples', 'nice male lead', 'first love ']",South Korea,24,"Jul  1, 2018","Sep 16, 2018","['wednesday', 'sunday']","['Naver TV Cast', 'vLive']",10,8.1,11825,1874,497,13+ - Teens 13 or older,"24,802","['Shin Ye Eun', 'Lee Na Eun', 'Kim Soo Hyun', 'Kim Dong Hee', 'Shin Seung Ho', 'Ryu Eui Hyun']","['WeTV', 'Netflix', 'Kocowa', 'Viki', 'PlayList Global']",A-Teen,7.6,272,
"['comedy', 'romance', 'youth', 'drama']","['multiple mains', 'high school', 'web series', 'multiple couples', 'exchange student female lead', 'student male lead', 'school setting', 'teenager female lead', 'teenager male lead', 'short length series ']",South Korea,20,"Apr 21, 2019","Jun 27, 2019","['thursday', 'sunday']","['Naver TV Cast', 'vLive']",15,8.0,7548,2273,899,15+ - Teens 15 or older,"15,566","['Lee Na Eun', 'Kim Dong Hee', 'Choi Bo Min', 'Kim Soo Hyun', 'Ryu Eui Hyun', 'Kang  Min Ah']","['PlayList Global', 'WeTV', 'Viki']",A-Teen 2,N/A,N/A,N/A
"['music', 'romance', 'fantasy', 'melodrama']","['female chases male first', 'ex-girlfriend comes back', 'love triangle', 'weak female lead', 'performing arts', 'time manipulation', 'rich male lead', 'supernatural', 'friendship', 'sismance ']",South Korea,16,"May 21, 2018","Jul 10, 2018","['monday', 'tuesday']",['tvN'],70,7.5,10794,5936,405,15+ - Teens 15 or older,"28,523","['Lee Sung Kyung', 'Lee Sang Yoon', 'Im Se Mi', 'Han Seung Yeon', 'Rowoon', 'Tae In Ho']","['WeTV', 'Netflix', 'Apple TV', 'iQIYI', 'Viki']",About Time,6.9,701,
"['mystery', 'comedy', 'romance', 'fantasy']","['murder', 'reincarnation', 'death', 'nice male lead', 'hidden identity', 'investigation', 'second chance', 'hardworking female lead', 'smart female lead', 'sassy female lead ']",South Korea,16,"May  6, 2019","Jun 25, 2019","['monday', 'tuesday']","['Netflix', 'tvN']",60,7.8,37092,3071,67,15+ - Teens 15 or older,"82,090","['Park Bo Young', 'Ahn Hyo Seop', 'Lee Sung Jae', 'Kwon Soo Hyun', 'Lee Si Eon', 'Han So Hee']",['Netflix'],Abyss,7.1,"3,192",
"['business', 'comedy', 'romance', 'drama']","['marketing industry', 'workplace setting', 'marketing', 'advertising', 'underdog', 'art', 'melodrama ']",South Korea,16,"Feb  4, 2013","Mar 26, 2013","['monday', 'tuesday']",['KBS2'],65,6.8,1352,8845,3392,Not Yet Rated,"3,412","['Jin Goo', 'Park Ha Sun', 'Jo Hyun Jae', 'Han Chae Young', 'Lee Jung Gil', 'Jo A Young']",['Kocowa'],Ad Genius Lee Tae-baek,N/A,N/A,N/A
"['thriller', 'mystery', 'drama']","['revenge', 'identical twin male lead', 'death of a stepfather', 'writer male lead', 'reporter female lead', 'prosecutor male lead', ""brothers' relationship"", 'secret', 'death', 'murder ']",South Korea,16,"Jul 27, 2022","Sep 15, 2022","['wednesday', 'thursday']",['tvN'],70,7.7,2648,4351,1321,15+ - Teens 15 or older,"10,428","['Ji Sung', 'Seo Ji Hye', 'Lee Soo Kyung', 'Heo Sung Tae', 'Oh Dae Hwan', 'Lee Kyung Young']","['Disney+', 'Disney+ Hotstar', 'Hulu']",Adamas,7.1,735,
"['comedy', 'romance', 'youth']","['steamy kiss', 'miniseries', 'web series', 'multiple mains', 'friends to lovers', 'fake relationship', 'student female lead', 'student male lead', 'school setting', 'mild sexual content ']",South Korea,7,"Nov 12, 2021","Nov 26, 2021",['friday'],['TVING'],40,7.8,9935,3205,651,Not Yet Rated,"20,381","['Ryu Eui Hyun', 'Cho Mi Yeon', 'Jo Yoo Jung', 'Ryeoun', 'Kim Min Ki', 'Kwon Young Eun']",['TVING'],Adult Trainee,6.8,388,
['romance'],['family '],South Korea,140,"Apr 21, 2008","Oct 31, 2008","['monday', 'friday']",['SBS'],40,7.6,18,46481,99999,Not Yet Rated,135,"['Cha Hwa Yun', 'Lee Eung Kyung', 'So Yi Hyun', 'Song Yi Woo', 'In Gyo Jin', 'Jung Jae Soon']",[],"Aeja's Older Sister, Minja",N/A,N/A,N/A
"['action', 'thriller', 'mystery', 'supernatural']","['miniseries', 'web series', 'short length series', 'supernatural power', 'high school', 'adapted from a webtoon', 'suspense', 'student male lead', 'school setting', 'teenager male lead ']",South Korea,5,"Jan  6, 2014","Jan 12, 2014",N/A,['Naver TV Cast'],10,7.0,2805,8452,1980,13+ - Teens 13 or older,"6,677","['Kim Dong Jun', 'Sun Joo Ah', 'Joo Yeon Woo', 'Kim Min Seok', 'Kim Ri Ah', 'Choi Kyu Hwan']",[],Aftermath,6.3,54,
"['mystery', 'law', 'drama', 'fantasy']","['time travel', 'fight for justice', 'death', 'prosecutor male lead', 'second chance', 'strong male lead', 'corruption', 'violence', 'investigation', 'bullied male lead ']",South Korea,16,"Apr  8, 2022","May 28, 2022","['friday', 'saturday']","['SBS', 'ViuTV']",65,8.3,8839,1074,514,15+ - Teens 15 or older,"24,079","['Lee Joon Gi', 'Lee Kyung Young', 'Kim Ji Eun', 'Jung Sang Hoon', 'Choi Kwang Il', 'Hong Bi Ra']",['Viki'],Again My Life,7.7,"1,367",
"['military', 'historical', 'drama', 'political']","['goryeo dynasty', 'historical fiction', 'inspired by real events ']",South Korea,158,"Feb  8, 2003","Aug 15, 2004","['saturday', 'sunday']",['KBS1'],60,7.4,22,51206,99999,Not Yet Rated,130,"['Im Hyuk', 'Kim Gab Soo', 'Lee Deok Hwa', 'Kim Myung Kook', 'Seo In Seok', 'Kim Heung Ki']",[],Age of Warriors,N/A,N/A,N/A
"['business', 'life', 'drama']","['workplace setting', 'office setting', 'office worker female lead', 'successful female lead', 'hardworking female lead', 'orphan female lead', 'mental illness', 'teamwork', 'strong female lead ']",South Korea,16,"Jan  7, 2023","Feb 26, 2023","['saturday', 'sunday']",['jTBC'],65,8.2,2207,1369,1893,Not Yet Rated,"7,016","['Lee Bo Young', 'Jo Sung Ha', 'Son Na Eun', 'Han Joon Woo', 'Jeon Hye Jin', 'Lee Chang Hoon']","['Viki', 'Netflix']",Agency,7.8,429,
"['action', 'romance', 'drama']","['airport setting', 'agent male lead ']",South Korea,16,"May 19, 2007","Jul  8, 2007","['saturday', 'sunday']",['MBC'],60,7.0,374,8280,7389,15+ - Teens 15 or older,"1,024","['Lee Jung Jae', 'Choi Ji Woo', 'Lee Jin Wook', 'Moon Jung Hee', 'Yoon Joo Sang', 'Lee Da Hee']","['Viki', 'Kocowa']",Air City,N/A,N/A,N/A
"['action', 'historical', 'romance', 'fantasy']","['transmigration', 'master-disciple relationship', 'multiple mains', 'hidden identity', 'supernatural', 'body swap', 'elemental power', 'strong female lead', 'fake identity', 'comedy ']",South Korea,20,"Jun 18, 2022","Aug 28, 2022","['saturday', 'sunday']","['Netflix', 'tvN']",80,9.1,41781,26,74,15+ - Teens 15 or older,"78,829","['Lee Jae Wook', 'Jung So Min', 'Hwang Min Hyun', 'Shin Seung Ho', 'Yoo  Joon Sang', 'Oh Na Ra']",['Netflix'],Alchemy of Souls,8.8,"13,656",
"['mystery', 'sci-fi', 'fantasy', 'melodrama']","['time travel', 'mother-son relationship', 'double identity', 'alexithymia', 'older woman/younger man', 'murder', 'police department setting', 'death of a mother', 'death of a father', 'detective male lead ']",South Korea,16,"Aug 28, 2020","Oct 24, 2020","['friday', 'saturday']",['SBS'],70,7.4,5773,6569,912,15+ - Teens 15 or older,"15,362","['Kim Hee Sun', 'Joo Won', 'Kwak Shi Yang', 'Lee Da In', 'Kim  Sang Ho', 'Hwang Seung Eon']","['Kocowa', 'SBS World', 'Viki']",Alice,N/A,N/A,N/A
"['comedy', 'romance', 'political']","['forbidden love', 'secret relationship', 'male chases female first', 'enemies to lovers', 'eccentric male lead', 'love square', 'unrequited love', 'love/hate relationship', 'secret romance', 'blackmail ']",South Korea,16,"Apr  4, 2013","May 29, 2013","['wednesday', 'thursday']",['SBS'],63,7.6,2031,5176,2300,15+ - Teens 15 or older,"5,541","['Shin Ha Kyun', 'Lee Min Jung', 'Park Hee Soon ', 'Han Chae Ah', 'Min Ji Ah', 'Gong Hyung Jin']","['Viki', 'Kocowa', 'SBS World']",All About Eve,8.2,20,
"['romance', 'drama', 'family', 'melodrama']","['cancer', 'nice male lead', 'married female lead', 'married male lead', 'pregnancy ']",South Korea,54,"Aug 15, 2015","Feb 14, 2016","['saturday', 'sunday']",['KBS2'],80,7.9,1509,2699,3244,Not Yet Rated,"3,619","['Eugene', 'Lee Sang Woo', 'Go Doo Shim', 'Kim Mi Sook', 'Choi  Tae Joon', 'Oh Min Suk']","['Viki', 'Kocowa', 'KBS World']",All About My Mom,7.7,54,
"['comedy', 'romance', 'political']","['forbidden love', 'secret relationship', 'male chases female first', 'enemies to lovers', 'eccentric male lead', 'love square', 'unrequited love', 'love/hate relationship', 'secret romance', 'blackmail ']",South Korea,16,"Apr  4, 2013","May 29, 2013","['wednesday', 'thursday']",['SBS'],63,7.6,2031,5176,2300,15+ - Teens 15 or older,"5,541","['Shin Ha Kyun', 'Lee Min Jung', 'Park Hee Soon ', 'Han Chae Ah', 'Min Ji Ah', 'Gong Hyung Jin']","['Viki', 'Kocowa', 'SBS World']",All About My Romance,7.4,93,
"['romance', 'crime', 'drama', 'melodrama']","['gambling', 'star crossed lovers', 'greed', 'scheme', 'rich female lead', 'rivalry', 'power struggle', 'jealousy', 'revenge', 'character development ']",South Korea,24,"Jan 15, 2003","Apr  3, 2003","['wednesday', 'thursday']",['SBS'],60,7.6,1056,4866,3533,15+ - Teens 15 or older,"3,228","['Song Hye Kyo', 'Lee Byung Hun', 'Park Sol Mi', 'Ji Sung', 'Fueki Yuko', 'Im Hyun Shik']",['Kocowa'],All In,7.8,413,
['romance'],"['poor female lead', 'rich man/poor woman', 'rich male lead ']",South Korea,16,"Jun  6, 1994","Jul 26, 1994","['monday', 'tuesday']",['MBC'],60,8.7,4,38355,99999,Not Yet Rated,61,"['Shin Ae Ra', 'Cha In Pyo', 'Lee Seung Yeon', 'Chun Ho Jin', 'Lee Jin Woo', 'Park Sang Ah']",[],All My Love For You,N/A,N/A,N/A
"['action', 'thriller', 'horror', 'sci-fi']","['survival', 'zombies', 'death', 'zombie apocalypse', 'virus', 'high school', 'gore', 'adapted from a webtoon', 'slight romance', 'suspense ']",South Korea,12," Jan 28, 2022",N/A,['friday'],['Netflix'],62,8.5,46956,495,94,18+ Restricted (violence & profanity),"71,617","['Park Ji Hu', 'Yoon Chan Young', 'Lomon', 'Cho Yi Hyun', 'Yoo In Soo', 'Kim Byung Chul']",['Netflix'],All of Us Are Dead,7.5,"60,424",
